X,Y,key,scientificName,issues,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,hostingOrganizationKey,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,iucnRedListCategory,elevation,elevationAccuracy,stateProvince,year,month,day,eventDate,modified,lastInterpreted,license,identifiers,facts,relations,gadm,collectionKey,isInCluster,class,countryCode,recordedByIDs,identifiedByIDs,country,rightsHolder,identifier,recordNumber,locality,municipality,datasetName,gbifID,language,collectionCode,occurrenceID,type,catalogNumber,recordedBy,institutionCode,ownerInstitutionCode,occurrenceRemarks,identifiedBy,name,dateIdentified,continent,decimalLatitude,decimalLongitude,geodeticDatum,otherCatalogNumbers,institutionKey,fieldNotes,references,habitat,dynamicProperties,http...unknown.org.recordId,county,taxonID,rights,startDayOfYear,http...unknown.org.recordEnteredBy,higherClassification,collectionID,reproductiveCondition,coordinateUncertaintyInMeters,institutionID,preparations,verbatimEventDate,nomenclaturalCode,georeferenceProtocol,endDayOfYear,georeferenceSources,nomenclaturalStatus,bibliographicCitation,X.17abcf75.2f1e.46dd.bf75.a5b21dd02655.,fieldNumber,verbatimLocality,X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.,individualCount,higherGeography,accessRights,typeStatus,organismID,locationID,datasetID,eventRemarks,previousIdentifications,georeferencedDate,disposition,georeferencedBy,georeferenceVerificationStatus,typifiedName,recordedByIDs.type,recordedByIDs.value,informationWithheld,X.3aee7756.565e.4dc5.b22c.f997fbd7105c.,data_cleaning_note,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.975556,-23.117222,"1570743913",Siphoneugena crassifolia (DC.) Proença & Sobral,"gass84,colmafu,inmafu",1064b787-c882-493e-b17d-4ffba363b776,c47cd3b0-2178-4a4b-87a6-740b482970a9,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-24T16:45:47Z,2021-03-30T09:40:54Z,"266",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"6306538","6","7707728","220","690","5014","3181140","6306538","6306538",Siphoneugena crassifolia (DC.) Proença & Sobral,Plantae,Tracheophyta,Myrtales,Myrtaceae,Siphoneugena,Siphoneugena crassifolia,Siphoneugena,crassifolia,SPECIES,ACCEPTED,LC,NA,NA,São Paulo,"2015","4","2",2015-04-02T00:00:00Z,2020-11-23T14:39:25Z,2021-03-30T09:40:54Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,cb38d6b5-89fd-4aac-9ea7-7d37201df368,FALSE,Magnoliopsida,BR,none,none,Brazil,IAC - Herbário do Instituto Agronômico de Campinas,BRA:IAC:IAC:56125,"246",Fragmento O,Louveira,IAC - Herbário do Instituto Agronômico de Campinas,"1570743913",pt,IAC,BRA:IAC:IAC:56125,Collection,"56125","C.F. Nardin; J.F. Benedito & L.C. Bernacci",IAC,Instituto Agronômico de Campinas,"coordenadas originais: 23°07#?#02""S, 46°58#?#32""W",C.F. Nardin et al.,Siphoneugena crassifolia (DC.) Proença & Sobral,2015-04-02T00:00:00Z,NA,-23.117222,-46.975556,WGS84,NA,841aebec-2beb-4b59-96f1-fdf9d91ccff8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-47.438056,-21.855,"1086917102",Siphoneugena widgreniana Berg,"gass84,colmafu,inmano",16ed67e5-fd70-4fd4-85c3-70ea2da627fe,52603cfd-d564-4e89-a466-5e71813677be,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:14:05Z,2021-04-08T12:14:46Z,"260",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3181179","6","7707728","220","690","5014","3181140","6306538","6306538",Siphoneugena crassifolia (DC.) Proença & Sobral,Plantae,Tracheophyta,Myrtales,Myrtaceae,Siphoneugena,Siphoneugena crassifolia,Siphoneugena,widgreniana,SPECIES,SYNONYM,NA,"531","0",Sp,"2013","8","8",2013-08-08T00:00:00Z,2021-03-04T18:45:40Z,2021-04-08T12:14:46Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,835c4b58-e96d-49cc-b711-0f3de04547c0,FALSE,Magnoliopsida,BR,none,none,Brazil,SPSF - Herbário Dom Bento José Pickel,BRA:IF:SPSF:49071,s/n,Parque Estadual de Porto Ferreira,Porto Ferreira,SPSF - Herbário Dom Bento José Pickel,"1086917102",pt,SPSF,BRA:IF:SPSF:49071,Collection,"49071",R.M.G. Konopczyk,IF,Instituto Florestal,"COLETA: Árvore com 3m de altura, comumente encontrada com fruto em vários estádios de maturação.; GEOGRAFIA: Dique marginal do Rio Mogi Guaçu.;",Osny T. Aguiar,Siphoneugena widgreniana Berg,2017-08-23T00:00:00Z,SOUTH_AMERICA,-21.855,-47.438056,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-44.955833,-23.136667,"1090576194",Siphoneugena crassifolia (DC.) Proença & Sobral,"gass84,colmafu,inmafu",1064b787-c882-493e-b17d-4ffba363b776,c47cd3b0-2178-4a4b-87a6-740b482970a9,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-24T16:45:47Z,2021-03-30T09:40:51Z,"266",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"6306538","6","7707728","220","690","5014","3181140","6306538","6306538",Siphoneugena crassifolia (DC.) Proença & Sobral,Plantae,Tracheophyta,Myrtales,Myrtaceae,Siphoneugena,Siphoneugena crassifolia,Siphoneugena,crassifolia,SPECIES,ACCEPTED,LC,NA,NA,São Paulo,"2008","2","28",2008-02-28T00:00:00Z,2020-11-23T14:39:25Z,2021-03-30T09:40:51Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,cb38d6b5-89fd-4aac-9ea7-7d37201df368,TRUE,Magnoliopsida,BR,none,none,Brazil,IAC - Herbário do Instituto Agronômico de Campinas,BRA:IAC:IAC:49352,"4469","a partir de Guaratinguetá, indo para Paraty, beira da rodovia",Cunha,IAC - Herbário do Instituto Agronômico de Campinas,"1090576194",pt,IAC,BRA:IAC:IAC:49352,Collection,"49352",L.C. Bernacci & R. Tsuji,IAC,Instituto Agronômico de Campinas,"coordenadas: W44°57#?#21"", S23°08#?#12""",M.E.G. Sobral,Siphoneugena crassifolia (DC.) Proença & Sobral,2012-06-28T00:00:00Z,NA,-23.136667,-44.955833,WGS84,NA,841aebec-2beb-4b59-96f1-fdf9d91ccff8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-44.955833,-23.136667,"1836162269",Siphoneugena crassifolia (DC.) Proença & Sobral,"cdround,gass84,preswcd,ambcol,inmano",4300f8d5-1ae5-49e5-a101-63894b005868,838537fc-4aeb-4980-8b58-97fbdcd1d91a,da7fe11a-b42c-46cb-9e9d-02243edb738a,BR,DWC_ARCHIVE,2021-04-06T14:13:20Z,2021-04-06T14:39:24Z,"343",838537fc-4aeb-4980-8b58-97fbdcd1d91a,PRESERVED_SPECIMEN,PRESENT,"6306538","6","7707728","220","690","5014","3181140","6306538","6306538",Siphoneugena crassifolia (DC.) Proença & Sobral,Plantae,Tracheophyta,Myrtales,Myrtaceae,Siphoneugena,Siphoneugena crassifolia,Siphoneugena,crassifolia,SPECIES,ACCEPTED,LC,NA,NA,São Paulo,"2008","2","28",2008-02-28T00:00:00Z,NA,2021-04-06T14:39:24Z,http://creativecommons.org/licenses/by/4.0/legalcode,none,none,none,NA,NA,TRUE,Magnoliopsida,BR,none,none,Brazil,Rio de Janeiro Botanical Garden,urn:catalog:JBRJ:RB:1383398,"4469","A partir de Guaratinguetá, indo para Paraty, beira da rodovia",Cunha,RB - Rio de Janeiro Botanical Garden Herbarium Collection,"1836162269",NA,RB,urn:catalog:JBRJ:RB:1383398,Physical Object,RB01383398,"L.C. Bernacci; R. Tsuji",JBRJ,NA,NA,M.Sobral,Siphoneugena crassifolia (DC.) Proença & Sobral,NA,NA,-23.136667,-44.955833,WGS84,RB 760997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-46.716667,-23.016667,"1213624511",Siphoneugena widgreniana Berg,"gass84,colmafu,inmano",d82d5a18-0428-4e52-be16-f509153e8126,e97090cb-7731-41c7-ac24-31a841730654,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-25T14:29:39Z,2021-03-30T12:56:09Z,"241",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3181179","6","7707728","220","690","5014","3181140","6306538","6306538",Siphoneugena crassifolia (DC.) Proença & Sobral,Plantae,Tracheophyta,Myrtales,Myrtaceae,Siphoneugena,Siphoneugena crassifolia,Siphoneugena,widgreniana,SPECIES,SYNONYM,NA,"800","0",São Paulo,"2004","3","2",2004-03-02T00:00:00Z,2019-11-01T18:07:01Z,2021-03-30T12:56:09Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,8b3ca7ca-6147-496a-8c97-7109f988ea2a,FALSE,Magnoliopsida,BR,none,none,Brazil,UB - Herbário da Universidade de Brasília,BRA:UNB:UB:168020,"757",Mata do sítio Jatobá,Itatiba,UB - Herbário da Universidade de Brasília,"1213624511",pt,UB,BRA:UNB:UB:168020,Collection,"168020","Cerqueira, RM",UnB,Universidade de Brasília,Floresta estacional semidecídua montana,"Proença, CEB",Siphoneugena widgreniana Berg,NA,SOUTH_AMERICA,-23.016667,-46.716667,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-46.716667,-23.016667,"1213624563",Siphoneugena widgreniana Berg,"gass84,colmafu,inmano",d82d5a18-0428-4e52-be16-f509153e8126,e97090cb-7731-41c7-ac24-31a841730654,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-25T14:29:39Z,2021-03-30T12:56:09Z,"241",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3181179","6","7707728","220","690","5014","3181140","6306538","6306538",Siphoneugena crassifolia (DC.) Proença & Sobral,Plantae,Tracheophyta,Myrtales,Myrtaceae,Siphoneugena,Siphoneugena crassifolia,Siphoneugena,widgreniana,SPECIES,SYNONYM,NA,"800","0",São Paulo,"2004","3","30",2004-03-30T00:00:00Z,2019-11-01T18:07:01Z,2021-03-30T12:56:09Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,8b3ca7ca-6147-496a-8c97-7109f988ea2a,FALSE,Magnoliopsida,BR,none,none,Brazil,UB - Herbário da Universidade de Brasília,BRA:UNB:UB:168023,"87",Mata do sítio Jatobá,Itatiba,UB - Herbário da Universidade de Brasília,"1213624563",pt,UB,BRA:UNB:UB:168023,Collection,"168023","Cerqueira, RM",UnB,Universidade de Brasília,Floresta estacional semidecídua Montana,"Proença, CEB",Siphoneugena widgreniana Berg,NA,SOUTH_AMERICA,-23.016667,-46.716667,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-46.716667,-23.016667,"1213624546",Siphoneugena widgreniana Berg,"gass84,colmafu,inmano",d82d5a18-0428-4e52-be16-f509153e8126,e97090cb-7731-41c7-ac24-31a841730654,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-25T14:29:39Z,2021-03-30T12:56:09Z,"241",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3181179","6","7707728","220","690","5014","3181140","6306538","6306538",Siphoneugena crassifolia (DC.) Proença & Sobral,Plantae,Tracheophyta,Myrtales,Myrtaceae,Siphoneugena,Siphoneugena crassifolia,Siphoneugena,widgreniana,SPECIES,SYNONYM,NA,"800","0",São Paulo,"2004","5","4",2004-05-04T00:00:00Z,2019-11-01T18:07:01Z,2021-03-30T12:56:09Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,8b3ca7ca-6147-496a-8c97-7109f988ea2a,FALSE,Magnoliopsida,BR,none,none,Brazil,UB - Herbário da Universidade de Brasília,BRA:UNB:UB:168024,"1201",Mata do sítio Jatobá,Itatiba,UB - Herbário da Universidade de Brasília,"1213624546",pt,UB,BRA:UNB:UB:168024,Collection,"168024","Cerqueira, RM",UnB,Universidade de Brasília,Floresta estacional semidecídua Montana,"Proença, CEB",Siphoneugena widgreniana Berg,NA,SOUTH_AMERICA,-23.016667,-46.716667,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-46.716667,-23.016667,"1213624506",Siphoneugena widgreniana Berg,"gass84,colmafu,inmano",d82d5a18-0428-4e52-be16-f509153e8126,e97090cb-7731-41c7-ac24-31a841730654,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-25T14:29:39Z,2021-03-30T12:56:09Z,"241",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3181179","6","7707728","220","690","5014","3181140","6306538","6306538",Siphoneugena crassifolia (DC.) Proença & Sobral,Plantae,Tracheophyta,Myrtales,Myrtaceae,Siphoneugena,Siphoneugena crassifolia,Siphoneugena,widgreniana,SPECIES,SYNONYM,NA,"800","0",São Paulo,"2003","9","2",2003-09-02T00:00:00Z,2019-11-01T18:07:01Z,2021-03-30T12:56:09Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,8b3ca7ca-6147-496a-8c97-7109f988ea2a,FALSE,Magnoliopsida,BR,none,none,Brazil,UB - Herbário da Universidade de Brasília,BRA:UNB:UB:168021,"319",Mata do sítio Jatobá,Itatiba,UB - Herbário da Universidade de Brasília,"1213624506",pt,UB,BRA:UNB:UB:168021,Collection,"168021","Cerqueira, RM",UnB,Universidade de Brasília,Floresta estacional semidecídua Montana,"Proença, CEB",Siphoneugena widgreniana Berg,NA,SOUTH_AMERICA,-23.016667,-46.716667,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-46.716667,-23.016667,"1213624562",Siphoneugena widgreniana Berg,"gass84,colmafu,inmano",d82d5a18-0428-4e52-be16-f509153e8126,e97090cb-7731-41c7-ac24-31a841730654,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-25T14:29:39Z,2021-03-30T12:56:08Z,"241",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3181179","6","7707728","220","690","5014","3181140","6306538","6306538",Siphoneugena crassifolia (DC.) Proença & Sobral,Plantae,Tracheophyta,Myrtales,Myrtaceae,Siphoneugena,Siphoneugena crassifolia,Siphoneugena,widgreniana,SPECIES,SYNONYM,NA,"800","0",São Paulo,"2003","9","2",2003-09-02T00:00:00Z,2019-11-01T18:07:01Z,2021-03-30T12:56:08Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,8b3ca7ca-6147-496a-8c97-7109f988ea2a,FALSE,Magnoliopsida,BR,none,none,Brazil,UB - Herbário da Universidade de Brasília,BRA:UNB:UB:168019,"603",Mata do sítio Jatobá,Itatiba,UB - Herbário da Universidade de Brasília,"1213624562",pt,UB,BRA:UNB:UB:168019,Collection,"168019","Cerqueira, RM",UnB,Universidade de Brasília,Floresta estacional semidecídua Montana,"Proença, CEB",Siphoneugena widgreniana Berg,NA,SOUTH_AMERICA,-23.016667,-46.716667,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-46.716667,-23.016667,"1213624537",Siphoneugena widgreniana Berg,"gass84,colmafu,inmano",d82d5a18-0428-4e52-be16-f509153e8126,e97090cb-7731-41c7-ac24-31a841730654,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-25T14:29:39Z,2021-03-30T12:56:09Z,"241",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3181179","6","7707728","220","690","5014","3181140","6306538","6306538",Siphoneugena crassifolia (DC.) Proença & Sobral,Plantae,Tracheophyta,Myrtales,Myrtaceae,Siphoneugena,Siphoneugena crassifolia,Siphoneugena,widgreniana,SPECIES,SYNONYM,NA,"800","0",São Paulo,"2003","12","2",2003-12-02T00:00:00Z,2019-11-01T18:07:01Z,2021-03-30T12:56:09Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,8b3ca7ca-6147-496a-8c97-7109f988ea2a,FALSE,Magnoliopsida,BR,none,none,Brazil,UB - Herbário da Universidade de Brasília,BRA:UNB:UB:168022,"630",Mata do sítio Jatobá,Itatiba,UB - Herbário da Universidade de Brasília,"1213624537",pt,UB,BRA:UNB:UB:168022,Collection,"168022","Cerqueira, RM",UnB,Universidade de Brasília,Floresta estacional semidecídua Montana,"Proença, CEB",Siphoneugena widgreniana Berg,NA,SOUTH_AMERICA,-23.016667,-46.716667,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-47.092403,-23.689749,"1090570057",Siphoneugena widgreniana Berg,"gass84,colmafu,inmafu",1064b787-c882-493e-b17d-4ffba363b776,c47cd3b0-2178-4a4b-87a6-740b482970a9,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-24T16:45:47Z,2021-03-30T09:40:55Z,"266",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3181179","6","7707728","220","690","5014","3181140","6306538","6306538",Siphoneugena crassifolia (DC.) Proença & Sobral,Plantae,Tracheophyta,Myrtales,Myrtaceae,Siphoneugena,Siphoneugena crassifolia,Siphoneugena,widgreniana,SPECIES,SYNONYM,NA,NA,NA,São Paulo,"2001","1","9",2001-01-09T00:00:00Z,2019-01-25T17:35:35Z,2021-03-30T09:40:55Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,cb38d6b5-89fd-4aac-9ea7-7d37201df368,FALSE,Magnoliopsida,BR,none,none,Brazil,IAC - Herbário do Instituto Agronômico de Campinas,BRA:IAC:IAC:43156,"3449","próximo ao distrito de Caucaia do Alto (Cotia - SP), fragmento Reizinho, indivíduo R 21.2",Ibiúna,IAC - Herbário do Instituto Agronômico de Campinas,"1090570057",pt,IAC,BRA:IAC:IAC:43156,Collection,"43156","L.C. Bernacci; G. Durigan; G.F. Árbocz & E. Furlan",IAC,Instituto Agronômico de Campinas,NA,L.C. Bernacci et al.,Siphoneugena widgreniana Berg,2001-01-09T00:00:00Z,NA,-23.689749,-47.092403,WGS84,NA,841aebec-2beb-4b59-96f1-fdf9d91ccff8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
