X,Y,key,scientificName,decimalLatitude,decimalLongitude,issues,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,hostingOrganizationKey,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,iucnRedListCategory,dateIdentified,elevation,elevationAccuracy,stateProvince,year,month,day,eventDate,modified,lastInterpreted,license,identifiers,facts,relations,institutionKey,collectionKey,isInCluster,geodeticDatum,class,countryCode,recordedByIDs,identifiedByIDs,country,rightsHolder,identifier,recordNumber,locality,municipality,datasetName,gbifID,language,collectionCode,occurrenceID,type,catalogNumber,recordedBy,institutionCode,ownerInstitutionCode,occurrenceRemarks,identifiedBy,name,otherCatalogNumbers,fieldNotes,continent,gadm,coordinateUncertaintyInMeters,references,habitat,georeferencedBy,dynamicProperties,http...unknown.org.recordId,georeferenceVerificationStatus,taxonID,rights,startDayOfYear,http...unknown.org.recordEnteredBy,higherClassification,collectionID,georeferenceSources,X.17abcf75.2f1e.46dd.bf75.a5b21dd02655.,institutionID,nomenclaturalCode,nomenclaturalStatus,bibliographicCitation,X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.,individualCount,higherGeography,endDayOfYear,county,preparations,verbatimEventDate,georeferenceProtocol,datasetID,identificationID,accessRights,verbatimLocality,reproductiveCondition,typeStatus,fieldNumber,previousIdentifications,verbatimElevation,projectId,namePublishedInYear,nameAccordingTo,acceptedNameUsage,verbatimCoordinateSystem,locationID,parentNameUsage,identificationRemarks,organismID,data_cleaning_note,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-45.31,-23.2217,"1090582476",Casearia paranaensis Sleumer,-23.2217,-45.31,"gass84,colmafu,inmafu",1064b787-c882-493e-b17d-4ffba363b776,c47cd3b0-2178-4a4b-87a6-740b482970a9,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-24T16:45:47Z,2021-03-30T09:40:51Z,"266",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"8151716","6","7707728","220","1414","6664","2874105","8151716","8151716",Casearia paranaensis Sleumer,Plantae,Tracheophyta,Malpighiales,Salicaceae,Casearia,Casearia paranaensis,Casearia,paranaensis,SPECIES,ACCEPTED,NT,2014-01-28T00:00:00Z,NA,NA,São Paulo,"2014","1","28",2014-01-28T00:00:00Z,2019-01-25T17:46:36Z,2021-03-30T09:40:51Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,841aebec-2beb-4b59-96f1-fdf9d91ccff8,cb38d6b5-89fd-4aac-9ea7-7d37201df368,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,IAC - Herbário do Instituto Agronômico de Campinas,BRA:IAC:IAC:55754,"4","Parque Estadual da Serra do Mar, Núcleo Santa Virgínia",São Luís do Paraitinga,IAC - Herbário do Instituto Agronômico de Campinas,"1090582476",pt,IAC,BRA:IAC:IAC:55754,Collection,"55754",I.P. Renó,IAC,Instituto Agronômico de Campinas,"Parcela L, Indivíduo L0594",I.P. Renó,Casearia paranaensis Sleumer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-45.945278,-23.330333,"1089099011",Casearia paranaensis Sleumer,-23.330333,-45.945278,"gass84,colmafu,inmano",7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:41:01Z,2021-04-08T12:43:53Z,"245",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"8151716","6","7707728","220","1414","6664","2874105","8151716","8151716",Casearia paranaensis Sleumer,Plantae,Tracheophyta,Malpighiales,Salicaceae,Casearia,Casearia paranaensis,Casearia,paranaensis,SPECIES,ACCEPTED,NT,2011-05-01T00:00:00Z,"999","0",São Paulo,"2011","7","15",2011-07-15T00:00:00Z,2021-03-01T19:42:57Z,2021-04-08T12:43:53Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,a995cf02-345c-46db-8674-3415572615a6,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,UEC - Herbário da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:160436,"501",Parque Estadual da Serra do Mar,São Luiz do Paraitinga,UEC - Herbário da Universidade Estadual de Campinas,"1089099011",pt,UEC,BRA:UNICAMP:UEC:160436,Collection,"160436","Marchiori, NM; Toledo, W; Munhoz, I; Cano, GB; Santos, FC",UNICAMP,Universidade Estadual de Campinas,"Material vegetativo. Cerca de 10 m de altura e 3 indivíduos distribuídos em 1 ha.; Floresta Ombrófila Densa Montana.","Marchiori, NM",Casearia paranaensis Sleumer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-45.183333,-23.4,"1899744868",Casearia paranaensis Sleumer,-23.4,-45.183333,"gass84,colmafu,inmano",7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:41:01Z,2021-04-08T12:43:54Z,"245",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"8151716","6","7707728","220","1414","6664","2874105","8151716","8151716",Casearia paranaensis Sleumer,Plantae,Tracheophyta,Malpighiales,Salicaceae,Casearia,Casearia paranaensis,Casearia,paranaensis,SPECIES,ACCEPTED,NT,NA,"1017.5","27.5",São Paulo,"2009","3","25",2009-03-25T00:00:00Z,2021-03-01T19:42:57Z,2021-04-08T12:43:54Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,a995cf02-345c-46db-8674-3415572615a6,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,UEC - Herbário da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:200133,M167,Parque Estadual da Serra do Mar,São Luiz do Paraitinga,UEC - Herbário da Universidade Estadual de Campinas,"1899744868",pt,UEC,BRA:UNICAMP:UEC:200133,Collection,"200133","Padgurschi, MCG; Belinello, R",UNICAMP,Universidade Estadual de Campinas,Parcela M - Projeto Biota-FAPESP. Árvore com 2 metros de altura. Frequência da espécie na parcela: n=1,NA,Casearia paranaensis Sleumer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-45.183333,-23.4,"1889187125",Casearia paranaensis Sleumer,-23.4,-45.183333,"gass84,colmafu,inmano",7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:41:01Z,2021-04-08T12:43:58Z,"245",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"8151716","6","7707728","220","1414","6664","2874105","8151716","8151716",Casearia paranaensis Sleumer,Plantae,Tracheophyta,Malpighiales,Salicaceae,Casearia,Casearia paranaensis,Casearia,paranaensis,SPECIES,ACCEPTED,NT,2008-01-01T00:00:00Z,"1017.5","27.5",São Paulo,"2007","12",NA,2007-12-01T00:00:00Z,2021-03-01T19:42:57Z,2021-04-08T12:43:58Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,a995cf02-345c-46db-8674-3415572615a6,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,UEC - Herbário da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:200491,N1085,Parque Estadual da Serra do Mar,São Luiz do Paraitinga,UEC - Herbário da Universidade Estadual de Campinas,"1889187125",pt,UEC,BRA:UNICAMP:UEC:200491,Collection,"200491","Pereira, LS; Belinello, R",UNICAMP,Universidade Estadual de Campinas,"Parcela N - Projeto Biota-FAPESP. Árvore com 13 metros de altura. Frequência da espécie na parcela: n=6; Mata Atlântica","Torres, RB",Casearia paranaensis Sleumer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-46.1386,-23.8544,"1090574114",Casearia paranaensis Sleumer,-23.8544,-46.1386,"gass84,colmafu,inmafu",1064b787-c882-493e-b17d-4ffba363b776,c47cd3b0-2178-4a4b-87a6-740b482970a9,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-24T16:45:47Z,2021-03-30T09:40:54Z,"266",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"8151716","6","7707728","220","1414","6664","2874105","8151716","8151716",Casearia paranaensis Sleumer,Plantae,Tracheophyta,Malpighiales,Salicaceae,Casearia,Casearia paranaensis,Casearia,paranaensis,SPECIES,ACCEPTED,NT,2005-02-03T00:00:00Z,NA,NA,São Paulo,"2005","2","3",2005-02-03T00:00:00Z,2019-01-25T17:46:36Z,2021-03-30T09:40:54Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,841aebec-2beb-4b59-96f1-fdf9d91ccff8,cb38d6b5-89fd-4aac-9ea7-7d37201df368,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,IAC - Herbário do Instituto Agronômico de Campinas,BRA:IAC:IAC:47262,"111",Parque das Neblinas,Bertioga,IAC - Herbário do Instituto Agronômico de Campinas,"1090574114",pt,IAC,BRA:IAC:IAC:47262,Collection,"47262",S. Souza,IAC,Instituto Agronômico de Campinas,Nome popular: Lagarteira,R.B. Torres,Casearia paranaensis Sleumer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-45.0711,-23.4339,"1090572706",Casearia paranaensis Sleumer,-23.4339,-45.0711,"gass84,colmafu,inmafu",1064b787-c882-493e-b17d-4ffba363b776,c47cd3b0-2178-4a4b-87a6-740b482970a9,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-24T16:45:47Z,2021-03-30T09:40:52Z,"266",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"8151716","6","7707728","220","1414","6664","2874105","8151716","8151716",Casearia paranaensis Sleumer,Plantae,Tracheophyta,Malpighiales,Salicaceae,Casearia,Casearia paranaensis,Casearia,paranaensis,SPECIES,ACCEPTED,NT,1997-04-16T00:00:00Z,NA,NA,São Paulo,"1997","4","16",1997-04-16T00:00:00Z,2019-06-24T11:13:59Z,2021-03-30T09:40:52Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,841aebec-2beb-4b59-96f1-fdf9d91ccff8,cb38d6b5-89fd-4aac-9ea7-7d37201df368,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,IAC - Herbário do Instituto Agronômico de Campinas,BRA:IAC:IAC:45825,s/nº,Picinguaba,Ubatuba,IAC - Herbário do Instituto Agronômico de Campinas,"1090572706",pt,IAC,BRA:IAC:IAC:45825,Collection,"45825",F. Pedroni & M. Sanchez,IAC,Instituto Agronômico de Campinas,NA,F. Pedroni & M. Sanchez,Casearia paranaensis Sleumer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-47.5553,-24.7081,"1090573082",Casearia paranaensis Sleumer,-24.7081,-47.5553,"gass84,colmafu,inmafu",1064b787-c882-493e-b17d-4ffba363b776,c47cd3b0-2178-4a4b-87a6-740b482970a9,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-24T16:45:47Z,2021-03-30T09:40:52Z,"266",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"8151716","6","7707728","220","1414","6664","2874105","8151716","8151716",Casearia paranaensis Sleumer,Plantae,Tracheophyta,Malpighiales,Salicaceae,Casearia,Casearia paranaensis,Casearia,paranaensis,SPECIES,ACCEPTED,NT,1997-03-17T00:00:00Z,NA,NA,São Paulo,"1994","5","17",1994-05-17T00:00:00Z,2019-06-24T11:13:59Z,2021-03-30T09:40:52Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,841aebec-2beb-4b59-96f1-fdf9d91ccff8,cb38d6b5-89fd-4aac-9ea7-7d37201df368,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,IAC - Herbário do Instituto Agronômico de Campinas,BRA:IAC:IAC:46196,"545","Estação Ecológica Juréia-Itatins, Serra da Juréia, trilha para o morrinho, próximo ao primeiro paredão",Iguape,IAC - Herbário do Instituto Agronômico de Campinas,"1090573082",pt,IAC,BRA:IAC:IAC:46196,Collection,"46196","E.A. Anunciação; M. Sugiyama & E.L. Silva",IAC,Instituto Agronômico de Campinas,NA,R.B. Torres,Casearia paranaensis Sleumer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-47.25,-24.55,"1090573077",Casearia paranaensis Sleumer,-24.55,-47.25,"gass84,colmafu,inmafu",1064b787-c882-493e-b17d-4ffba363b776,c47cd3b0-2178-4a4b-87a6-740b482970a9,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-24T16:45:47Z,2021-03-30T09:40:52Z,"266",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"8151716","6","7707728","220","1414","6664","2874105","8151716","8151716",Casearia paranaensis Sleumer,Plantae,Tracheophyta,Malpighiales,Salicaceae,Casearia,Casearia paranaensis,Casearia,paranaensis,SPECIES,ACCEPTED,NT,1997-03-26T00:00:00Z,NA,NA,São Paulo,"1993","6","26",1993-06-26T00:00:00Z,2019-01-25T17:46:36Z,2021-03-30T09:40:52Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,841aebec-2beb-4b59-96f1-fdf9d91ccff8,cb38d6b5-89fd-4aac-9ea7-7d37201df368,TRUE,WGS84,Magnoliopsida,BR,none,none,Brazil,IAC - Herbário do Instituto Agronômico de Campinas,BRA:IAC:IAC:46195,"243","Estação Ecológica Juréia-Itatins, trilha para o morrinho",Iguape,IAC - Herbário do Instituto Agronômico de Campinas,"1090573077",pt,IAC,BRA:IAC:IAC:46195,Collection,"46195",E.A. Anunciação et al.,IAC,Instituto Agronômico de Campinas,NA,R.B. Torres,Casearia paranaensis Sleumer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-47.25,-24.55,"1090573084",Casearia paranaensis Sleumer,-24.55,-47.25,"gass84,colmafu,inmafu",1064b787-c882-493e-b17d-4ffba363b776,c47cd3b0-2178-4a4b-87a6-740b482970a9,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-24T16:45:47Z,2021-03-30T09:40:52Z,"266",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"8151716","6","7707728","220","1414","6664","2874105","8151716","8151716",Casearia paranaensis Sleumer,Plantae,Tracheophyta,Malpighiales,Salicaceae,Casearia,Casearia paranaensis,Casearia,paranaensis,SPECIES,ACCEPTED,NT,1997-03-26T00:00:00Z,NA,NA,São Paulo,"1993","6","26",1993-06-26T00:00:00Z,2019-01-25T17:46:36Z,2021-03-30T09:40:52Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,841aebec-2beb-4b59-96f1-fdf9d91ccff8,cb38d6b5-89fd-4aac-9ea7-7d37201df368,TRUE,WGS84,Magnoliopsida,BR,none,none,Brazil,IAC - Herbário do Instituto Agronômico de Campinas,BRA:IAC:IAC:46194,"241","Estação Ecológica Juréia-Itatins, trilha para o morrinho",Iguape,IAC - Herbário do Instituto Agronômico de Campinas,"1090573084",pt,IAC,BRA:IAC:IAC:46194,Collection,"46194",E.A. Anunciação et al.,IAC,Instituto Agronômico de Campinas,NA,R.B. Torres,Casearia paranaensis Sleumer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-47.25,-24.55,"2452859550",Casearia paranaensis Sleumer,-24.55,-47.25,"gass84,colmafu,inmafu",17efa320-7312-4b55-bf0a-a4cfc4613169,2437c128-bf8c-4f53-b668-da95fb2e40b7,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-12T14:19:10Z,2021-04-12T14:22:15Z,"252",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"8151716","6","7707728","220","1414","6664","2874105","8151716","8151716",Casearia paranaensis Sleumer,Plantae,Tracheophyta,Malpighiales,Salicaceae,Casearia,Casearia paranaensis,Casearia,paranaensis,SPECIES,ACCEPTED,NT,1993-01-01T00:00:00Z,NA,NA,São Paulo,"1993","6","26",1993-06-26T00:00:00Z,2019-11-21T13:18:50Z,2021-04-12T14:22:15Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,95c82c2d-a9e0-4aa5-8a40-6c589bfd6822,ef48401a-d9e5-467c-b40a-0146618d38de,TRUE,WGS84,Magnoliopsida,BR,none,none,Brazil,"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas",BRA:IBT:SP:262378,"241","Estação Ecológica Juréia-Itatins, Trilha para o morrinho, mata de encosta",Iguape,"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas","2452859550",pt,SP,BRA:IBT:SP:262378,Collection,"262378","Anunciação, EA; Gomes, MZ",Instituto de Botânica,Instituto de Botânica,"Arvoreta ca. 1,5m alt., flores creme","Anunciação, EA",Casearia paranaensis Sleumer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
