X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,locality,preparationType,previousCatalogNumber,occurrenceRemarks,barcode,phylum,order,scientificNameAuthorship,identifiedBy,imagecode,minimumElevationInMeters,maximumElevationInMeters,county,decimalLongitude,decimalLatitude,coordinatePrecision,geoFlag,verbatimLongitude,verbatimLatitude,yearIdentified,monthIdentified,dayIdentified,class,relatedCatalogItem,fieldNumber,individualCount,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.8300018310547,-23.0499992370605,"789",2019-10-03 10:03:43-03,UFSCar,SORO,"2357",PreservedSpecimen,Plantae,Fabaceae,Dalbergia,nigra,Dalbergia nigra,NA,NA,"1992","10",NA,NA,Brasil,São Paulo,NA,NA,NA,NA,NA,NA,NA,(Vell.) Allemão ex Benth.,NA,NA,NA,NA,Laranjal Paulista,-47.8300018310547,-23.0499992370605,"21547",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.8300018310547,-23.0499992370605,"791",2019-10-03 10:03:43-03,UFSCar,SORO,"1502",PreservedSpecimen,Plantae,Fabaceae,Dalbergia,nigra,Dalbergia nigra,NA,NA,"1992","09","10",NA,Brasil,São Paulo,NA,NA,NA,NA,NA,NA,NA,(Vell.) Allemão ex Benth.,NA,NA,NA,NA,Laranjal Paulista,-47.8300018310547,-23.0499992370605,"21547",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.310001373291,-22.9400005340576,"792",2019-10-03 10:03:43-03,UFSCar,SORO,"2361",PreservedSpecimen,Plantae,Fabaceae,Dalbergia,nigra,Dalbergia nigra,NA,"2153","1998","03",NA,NA,Brasil,São Paulo,Haras Vanguarda,NA,NA,NA,NA,NA,NA,(Vell.) Allemão ex Benth.,NA,NA,NA,NA,Monte Mor,-47.310001373291,-22.9400005340576,"12206",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-50.4099998474121,-22.6599998474121,"804",2021-03-04 15:43:12-03,IF,SPSF,"26517",PreservedSpecimen,Plantae,Fabaceae,Dalbergia,nigra,Dalbergia nigra,A.Soares & W.Maschio,"240","1998","04","24",América do Sul,Brasil,SP,cerradao,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,Magnoliophyta,Fabales,(Vell.) Alemao ex Benth.,G.A.D.C. Franco,NA,NA,NA,Assis,-50.4099998474121,-22.6599998474121,"23972",auto,NA,NA,"2010","02","08",Magnoliopsida,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"805",2021-03-04 15:43:12-03,IF,SPSF,"02077",PreservedSpecimen,Plantae,Fabaceae,Dalbergia,nigra,Dalbergia nigra,D.Bento Pickel,NA,"1945","04","13",América do Sul,Brasil,SP,Arboreto de Vila Amália,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,Magnoliophyta,Fabales,NA,NA,NA,NA,NA,São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,Magnoliopsida,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"806",2021-03-04 15:43:12-03,IF,SPSF,"00404",PreservedSpecimen,Plantae,Fabaceae,Dalbergia,nigra,Dalbergia nigra,M.Koscinski,"233","1938","12","12",América do Sul,Brasil,SP,Horto Florestal,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,Magnoliophyta,Fabales,NA,NA,NA,NA,NA,São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,Magnoliopsida,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"807",2021-03-04 15:43:12-03,IF,SPSF,"07527",PreservedSpecimen,Plantae,Fabaceae,Dalbergia,nigra,Dalbergia nigra,M.Gonzaga,NA,"1945","04","10",América do Sul,Brasil,SP,Vila Amália,NA,NA,"GEOGRAFIA: Material com frutos;",NA,Magnoliophyta,Fabales,(Vell.) Alemao ex Benth.,J.A.Pastore,NA,NA,NA,São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,"1986","01","30",Magnoliopsida,NA,NA,NA,"35",São Paulo,SP,Sudeste
-51.3800010681152,-22.1200008392334,"810",2021-03-04 15:43:12-03,IF,SPSF,"15616",PreservedSpecimen,Plantae,Fabaceae,Dalbergia,nigra,Dalbergia nigra,O.J.G.Di Colla,"91","1992","12","01",América do Sul,Brasil,SP,Meridional Praia Clube,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,Magnoliophyta,Fabales,NA,NA,NA,NA,NA,Presidente Prudente,-51.3800010681152,-22.1200008392334,"45175",auto,NA,NA,NA,NA,NA,Magnoliopsida,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"811",2021-03-04 15:43:12-03,IF,SPSF,"02801",PreservedSpecimen,Plantae,Fabaceae,Dalbergia,nigra,Dalbergia nigra,J.P.Coelho,NA,"1946","10","24",América do Sul,Brasil,SP,Arboreto de Vila Amalia,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,Magnoliophyta,Fabales,NA,NA,NA,NA,NA,São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,Magnoliopsida,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"812",2021-03-04 15:43:12-03,IF,SPSF,"02824",PreservedSpecimen,Plantae,Fabaceae,Dalbergia,nigra,Dalbergia nigra,D.Bento Pickel,NA,"1946","10","29",América do Sul,Brasil,SP,Arboreto de Vila Amalia,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,Magnoliophyta,Fabales,NA,NA,NA,NA,NA,São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,Magnoliopsida,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"813",2021-03-04 15:43:12-03,IF,SPSF,"00964",PreservedSpecimen,Plantae,Fabaceae,Dalbergia,nigra,Dalbergia nigra,A. Rodrigues,NA,"1944","10","20",América do Sul,Brasil,SP,Arboreto de Vila Amália,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,Magnoliophyta,Fabales,NA,NA,NA,NA,NA,São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,Magnoliopsida,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"814",2021-03-04 15:43:12-03,IF,SPSF,"07482",PreservedSpecimen,Plantae,Fabaceae,Dalbergia,nigra,Dalbergia nigra,M.Gonzaga,NA,"1945","04","10",América do Sul,Brasil,SP,Instituto Forestal,NA,NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: Vial Amália;",NA,Magnoliophyta,Fabales,NA,NA,NA,NA,NA,São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,Magnoliopsida,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"815",2021-03-04 15:43:12-03,IF,SPSF,"07347",PreservedSpecimen,Plantae,Fabaceae,Dalbergia,nigra,Dalbergia nigra,M.Koscinski,"273","1930","12","11",América do Sul,Brasil,SP,Parque Estadual do Instituto Florestal,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,Magnoliophyta,Fabales,NA,NA,NA,NA,NA,São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,Magnoliopsida,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"816",2021-03-04 15:43:12-03,IF,SPSF,"07382",PreservedSpecimen,Plantae,Fabaceae,Dalbergia,nigra,Dalbergia nigra,B.Braga,NA,"1959","09","19",América do Sul,Brasil,SP,Parque Estadual do Instituto Florestal,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,Magnoliophyta,Fabales,NA,NA,NA,NA,NA,São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,Magnoliopsida,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"817",2021-03-04 15:43:12-03,IF,SPSF,"07402",PreservedSpecimen,Plantae,Fabaceae,Dalbergia,nigra,Dalbergia nigra,D.Bento Pickel,NA,"1951","11","13",América do Sul,Brasil,SP,Parque Estadual do Instituto Florestal,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,Magnoliophyta,Fabales,NA,NA,NA,NA,NA,São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,Magnoliopsida,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"818",2021-03-04 15:43:12-03,IF,SPSF,"07403",PreservedSpecimen,Plantae,Fabaceae,Dalbergia,nigra,Dalbergia nigra,B.Braga,NA,"1959","09","19",América do Sul,Brasil,SP,Parque Estadual do Instituto Florestal,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,Magnoliophyta,Fabales,NA,NA,NA,NA,NA,São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,Magnoliopsida,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"819",2021-03-04 15:43:12-03,IF,SPSF,"07717",PreservedSpecimen,Plantae,Fabaceae,Dalbergia,nigra,Dalbergia nigra,D.Bento Pickel,NA,"1948","11","03",América do Sul,Brasil,SP,Parque Estadual do Instituto Florestal,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,Magnoliophyta,Fabales,NA,NA,NA,NA,NA,São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,Magnoliopsida,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"822",2021-02-08 12:41:39-03,UFRGS,ICN,"017786",S,Plantae,Fabaceae,Dalbergia,nigra,Dalbergia nigra,"Pickel, B","964","1948","10",NA,América do Sul,Brasil,SP,NA,NA,NA,NA,ICN00021115,Dicotyledon,NA,(Vell.) Benth.,"Pickel, B",ICN00021115,NA,NA,São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"823",2021-02-08 12:41:39-03,UFRGS,ICN,"017782",S,Plantae,Fabaceae,Dalbergia,nigra,Dalbergia nigra,"Pickel, B",s.n.,"1945","04",NA,América do Sul,Brasil,SP,NA,NA,NA,NA,ICN00021116,Dicotyledon,NA,(Vell.) Benth.,"Pickel, B",ICN00021116,NA,NA,São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
