X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,family,genus,specificEpithet,scientificName,scientificNameAuthorship,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,coordinatePrecision,preparationType,occurrenceRemarks,barcode,geoFlag,verbatimLongitude,verbatimLatitude,identifiedBy,minimumElevationInMeters,maximumElevationInMeters,yearIdentified,monthIdentified,dayIdentified,typeStatus,imagecode,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-48.5046997070312,-24.7563991546631,"1",2021-03-15 16:37:00-03,NY,NYBG,"1751509",PreservedSpecimen,Plantae,Marchantiophyta,Lejeuneaceae,Myriocoleopsis,puiggarii,Myriocoleopsis puiggarii,Schiffn.,D. M. Vital,s.n.,"1973","07","05",South America,Brazil,São Paulo,Barra do Turvo,Fazenda Sanharao,-48.5046997070312,-24.7563991546631,"38172",packeted,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1972317' target='other'> <mi>dwc_moreinfo</mi></a>,NY01751509,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.504722,-24.756389,"2",2019-10-09 11:27:00-03,UFBA,ALCB,"18693",PreservedSpecimen,Plantae,Marchantiophyta,Lejeuneaceae,Myriocoleopsis,fluviatilis,Myriocoleopsis fluviatilis,Steph. E. Reiner & Gradst.,"Vital, DM","2779","1973","07","05",Southern America,Brasil,São Paulo,Barra do Turvo,NA,-48.504722,-24.756389,NA,NA,s.d.,NA,NA,"-48.504722","-24.756389",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.301667,-24.454167,"3",2019-11-21 14:50:14-03,UFJF,CESJ,"70644",PreservedSpecimen,Plantae,Hepática,Lejeuneaceae,Myriocoleopsis,puiggarii,Myriocoleopsis puiggarii,Schiffn.,D.M. Vital,2779a,"1973","12","05",América do Sul,Brasil,São Paulo,Barra do Turvo,NA,-48.301667,-24.454167,NA,NA,"Growing in great quantity on emerging rocks, in the middle and edge of a swift moving river Pardo, duplicata SP008326",CESJ070644,NA,"-48.301667","-24.454167",S.R. Gradstein,"150","150",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.505,-24.761667,"4",2019-05-02 10:54:20-03,IBt,SP-BRYOPHYTA,"088326",S,Plantae,NA,Lejeuneaceae,Myriocoleopsis,puiggarii,Myriocoleopsis puiggarii,Schiffn.,"Vital, D.M.",2779a,"1973","12","05",Southern America,BRASIL,São Paulo,Barra do Turvo,NA,-48.505,-24.761667,NA,NA,"Growing in great quantity on emerging rocks, in the middle and edge of a swift moving river Pardo",SP062728,NA,"-48.505","-24.761667","Gradstein, S.R.","150","150",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.505,-24.761667,"5",2019-05-02 10:54:20-03,IBt,SP-BRYOPHYTA,"088353",S,Plantae,NA,Lejeuneaceae,Myriocoleopsis,puiggarii,Myriocoleopsis puiggarii,Schiffn.,"Vital, D.M.","2814","1973","12","07",Southern America,BRASIL,São Paulo,Barra do Turvo,NA,-48.505,-24.761667,NA,NA,Growing 1m up on a shurubby tree trunk on the edge of a swift moving river Pardo,SP062755,NA,"-48.505","-24.761667","Vital, D.M.","150","150","1973","12","20",NA,NA,"35",São Paulo,SP,Sudeste
-48.505,-24.761667,"6",2019-05-02 10:54:20-03,IBt,SP-BRYOPHYTA,"126756",S,Plantae,NA,Lejeuneaceae,Myriocoleopsis,puiggarii,Myriocoleopsis puiggarii,Schiffn.,"Vital, D.M.","4950","1974","11","26",Southern America,BRASIL,São Paulo,Barra do Turvo,NA,-48.505,-24.761667,NA,NA,on emrging rocks in a swift moving river,SP068015,NA,"-48.505","-24.761667","Vital, D.M.","150","150",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.505,-24.761667,"7",2019-05-02 10:54:20-03,IBt,SP-BRYOPHYTA,"132192",S,Plantae,NA,Lejeuneaceae,Myriocoleopsis,puiggarii,Myriocoleopsis puiggarii,Schiffn.,"Vital, D.M.",s.n.,"1973","07","05",Southern America,BRASIL,São Paulo,Barra do Turvo,faz Sanharão,-48.505,-24.761667,NA,NA,on emerging rocks in the middle and edges of swifting stream,SP068818,NA,"-48.505","-24.761667","Gradstein, S.R.","150","150",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
