X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,country,stateProvince,county,decimalLongitude,decimalLatitude,coordinatePrecision,barcode,imagecode,geoFlag,yearIdentified,locality,verbatimLongitude,verbatimLatitude,occurrenceRemarks,monthIdentified,dayIdentified,minimumElevationInMeters,maximumElevationInMeters,continentOcean,order,class,typeStatus,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.9900016784668,-23.8700008392334,"3",2020-11-04 11:14:07-03,ESALQ,ESA,"104305",PreservedSpecimen,Plantae,Magnoliophyta,Monimiaceae,Mollinedia,boracensis,Mollinedia boracensis,Peixoto,"Lírio, E.J.","Aguiar, O.T.","872.0","2002","03","13",Brasil,São Paulo,São Miguel Arcanjo,-47.9900016784668,-23.8700008392334,"27904",ESA104305,ESA104305,auto,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.4599990844727,-24.2800006866455,"4",2020-11-04 10:56:11-03,ESALQ,ESA,"116849",PreservedSpecimen,Plantae,NA,Monimiaceae,Mollinedia,boracensis,Mollinedia boracensis,Peixoto,"Lírio, E.J.","Souza, V.C.","36331.0","2012","01","01",Brasil,São Paulo,Miracatu,-47.4599990844727,-24.2800006866455,"43974",ESA116849,NA,auto,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9900016784668,-23.8700008392334,"5",2020-11-04 11:14:07-03,ESALQ,ESA,"17442",PreservedSpecimen,Plantae,Magnoliophyta,Monimiaceae,Mollinedia,boracensis,Mollinedia boracensis,Peixoto,"Rando, J.G.","Moraes, P.L.R. Ivanauskas, N.M.; Silva, M.M.R.; Vanini, A.","1116.0","1995","01","18",Brasil,São Paulo,São Miguel Arcanjo,-47.9900016784668,-23.8700008392334,"27904",ESA017442,ESA017442,auto,"2003",NA,NA,NA,NA,"05","05",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"6",2020-11-04 11:14:07-03,ESALQ,ESA,"114776",PreservedSpecimen,Plantae,Magnoliophyta,Monimiaceae,Mollinedia,boracensis,Mollinedia boracensis,NA,NA,"Campos, M.C.R.","72.0","2006","03","27",Brasil,São Paulo,Ubatuba,-45.0699996948242,-23.4300003051758,"34265",ESA114776,ESA114776,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9199981689453,-25.0100002288818,"7",2020-11-04 11:14:07-03,ESALQ,ESA,"109279",PreservedSpecimen,Plantae,Magnoliophyta,Monimiaceae,Mollinedia,boracensis,Mollinedia boracensis,NA,NA,"Sampaio, D.","96.0",NA,NA,NA,Brasil,São Paulo,Cananéia,-47.9199981689453,-25.0100002288818,"37574",ESA109279,ESA109279,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.4599990844727,-24.2800006866455,"8",2020-11-04 10:56:11-03,ESALQ,ESA,"116879",PreservedSpecimen,Plantae,NA,Monimiaceae,Mollinedia,boracensis,Mollinedia boracensis,Peixoto,"Lírio, E.J.","Souza, V.C.","36361.0","2012","01","01",Brasil,São Paulo,Miracatu,-47.4599990844727,-24.2800006866455,"43974",ESA116879,NA,auto,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.916667,-24.883333,"9",2021-03-01 16:35:44-03,UNICAMP,UEC,"132841",S,Plantae,Magnoliopsida,Monimiaceae,Mollinedia,boracensis,Mollinedia boracensis,Peixoto,"Meireles, LD","Urbanetz, C; Mariuza; Lelo; Domingos","192","2003","10","26",Brazil,São Paulo,Cananéia,-47.916667,-24.883333,NA,UEC054255,UEC054255,NA,NA,Fazenda Folha Larga,"-47.916667","-24.883333",Árvore encontrada tombada.,NA,NA,"100","100",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.8,-23.366667,"11",2021-03-01 16:35:44-03,UNICAMP,UEC,"166554",S,Plantae,Magnoliopsida,Monimiaceae,Mollinedia,boracensis,Mollinedia boracensis,Peixoto,Peixoto,"Sanchez, M; Pedroni, F; Laps, RR; Belinello, R","1625","1997","04","16",Brazil,São Paulo,Ubatuba,-44.8,-23.366667,NA,UEC040223,UEC040223,NA,NA,"Picinguaba, Morro do Corisco.","-44.8","-23.366667","Árvore 331 com 15 m de altura, com frutos verdes com pintinhas brancas.; Mata Atlântica de Encosta.",NA,NA,"1000","1000",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.8,-23.366667,"12",2021-03-01 16:35:44-03,UNICAMP,UEC,"166555",S,Plantae,Magnoliopsida,Monimiaceae,Mollinedia,boracensis,Mollinedia boracensis,Peixoto,Peixoto,"Sanchez, M; Pedroni, F; Laps, RR; Belinello, R","1628","1997","04","16",Brazil,São Paulo,Ubatuba,-44.8,-23.366667,NA,UEC040221,UEC040221,NA,NA,"Picinguaba, Morro do Corisco.","-44.8","-23.366667","Árvore 370 com 15 m de altura, frutos verdes com manchas brancas.; Mata Atlântica de Encosta.",NA,NA,"1000","1000",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.8,-23.366667,"13",2021-03-01 16:35:44-03,UNICAMP,UEC,"166556",S,Plantae,Magnoliopsida,Monimiaceae,Mollinedia,boracensis,Mollinedia boracensis,Peixoto,Peixoto,"Sanchez, M; Pedroni, F; Laps, RR; Belinello, R","1624","1997","04","16",Brazil,São Paulo,Ubatuba,-44.8,-23.366667,NA,UEC040237,UEC040237,NA,NA,"Picinguaba, Morro do Corisco.","-44.8","-23.366667","Árvore 287 com 11 m de altura, vegetativo.; Mata Atlântica de Encosta.",NA,NA,"1000","1000",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
