X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,typeStatus,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,coordinatePrecision,preparationType,occurrenceRemarks,barcode,imagecode,geoFlag,fieldNumber,identifiedBy,yearIdentified,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,monthIdentified,dayIdentified,class,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.5499992370605,-24.7000007629395,"1",2021-03-15 16:37:00-03,NY,NYBG,"1795759",PreservedSpecimen,Plantae,Magnoliophyta,Myrtales,Myrtaceae,Calyptranthes,dryadica,Calyptranthes dryadica,M.L.Kawas.,paratype,E. L. M. Catharino,1342[=herb. SP 244356],"1990","04","24",South America,Brazil,São Paulo,Iguape,"Proximidades da Serra da Juréia, Trilha da Figueira",-47.5499992370605,-24.7000007629395,"55628",sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2024099' target='other'> <mi>dwc_moreinfo</mi></a>,NY01795759,NY01795759_01,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.5499992370605,-24.7000007629395,"2",2020-12-21 16:37:10-03,MBM,MBM,"235745",PreservedSpecimen,Plantae,NA,NA,Myrtaceae,Myrcia,dryadica,Myrcia dryadica,(M.L.Kawas.) A.R.Lourenço & E.Lucas,ISOTYPE,"Rossi, L.; et al.; et al.","542","1990","03","14",Southern America,Brazil,São Paulo,Iguape,"Reserva Ecológica Juréia-Itatins, Trilha para a figueira grande",-47.5499992370605,-24.7000007629395,"55628",NA,"Arvoreta 1,5m alt. Folhas discolores, botões castanho-amarelados; Arvoreta 1,5m alt. Folhas discolores, botões castanho-amarelados.",MBM235745,MBM235745,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.5499992370605,-24.7000007629395,"3",2015-04-27 11:01:47-03,MNHN,RECOLNAT_MNHN_P,P00966408,PreservedSpecimen,NA,NA,NA,Myrtaceae,Calyptranthes,dryadica,Calyptranthes dryadica,M.L.Kawasaki,NA,"Silva, S.J.G.|Mamede, M.C.H.|Cordeiro, I.|Nagatami, Y.|Piacentin, E.P.",NA,"1990","9","21",NA,Brasil,São Paulo,Iguape,"Estação Ecológica Juréia-Itatins, Serra da Juréia, trilha para a Figueira Grande.",-47.5499992370605,-24.7000007629395,"55628",hb,<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00966408' target='other'> <mi>dwc_moreinfo</mi></a>,P00966408,P00966408_01,auto,"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.9900016784668,-24.3199996948242,"6",2019-11-13 16:04:53-03,UNISANTA,HUSC,"10048",PreservedSpecimen,Plantae,Magnoliophyta,NA,Myrtaceae,Calyptranthes,dryadica,Calyptranthes dryadica,M.L.Kawas,NA,"Scolari, G.O.; Nakasato, M.V.","114","2007","05","20",NA,Brasil,São Paulo,Peruíbe,Bairro do Guaraú.,-46.9900016784668,-24.3199996948242,"21922",NA,"Árvore com 3,64m de altura.; Trecho de floresta alta de restinga.",NA,NA,auto,NA,"Sugiyama, M.","2007",NA,NA,NA,NA,"09","19",NA,"35",São Paulo,SP,Sudeste
-47.5499992370605,-24.7000007629395,"7",2020-11-12 17:01:48-03,UEL,FUEL,"25489",PreservedSpecimen,Plantae,Tracheophyta,Myrtales,Myrtaceae,Calyptranthes,dryadica,Calyptranthes dryadica,M.L.Kawas.,isotype,"Rossi, L; et al.","542","1990","03","14",NA,Brasil,São Paulo,Iguape,"Reserva Ecológica Juréia-Itatins, Itatins",-47.5499992370605,-24.7000007629395,"55628",NA,NA,FUEL008426,NA,auto,NA,"Kawasaki, ML",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.5499992370605,-24.7000007629395,"8",2021-03-04 15:45:12-03,IF,SPSF,"24349",PreservedSpecimen,Plantae,Magnoliophyta,Myrtales,Myrtaceae,Calyptranthes,dryadica,Calyptranthes dryadica,NA,NA,S.L.Proença,"108","1995","10","13",América do Sul,Brasil,SP,Iguape,"E.Ecol.Jureia-Itatins, Serra da Jureia",-47.5499992370605,-24.7000007629395,"55628",NA,"COLETA: XLS: SPSFAntigo&nf;Arbusto 2,5 m, frutos imaturosverdes passando a negros; GEOGRAFIA: Trilha da Figueira;",NA,NA,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,Magnoliopsida,"35",São Paulo,SP,Sudeste
-47.5499992370605,-24.7000007629395,"9",2019-11-21 10:11:04-03,IBt,SP,"244356",S,Plantae,NA,NA,Myrtaceae,Calyptranthes,dryadica,Calyptranthes dryadica,M.L.Kawas.,Paratype,"Catharino, ELM; Rossi, L; Mamede, MCH","1342","1990","04","24",NA,Brasil,São Paulo,Iguape,"Estação Ecológica Juréia-Itatins, Proximidades da Serra da Juréia, trilha da Figueira",-47.5499992370605,-24.7000007629395,"55628",NA,"Arvoreta, sub-bosque, ca. 2m alt., botões creme, estames brancos",SP001306,SP001306,auto,NA,"Kawasaki, ML",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.5499992370605,-24.7000007629395,"10",2019-11-21 10:11:05-03,IBt,SP,"311225",S,Plantae,NA,NA,Myrtaceae,Calyptranthes,dryadica,Calyptranthes dryadica,M.L.Kawas.,NA,"Proença, SL; Nicolau, SA; Costa, CB; Oliveira, CF","108","1995","10","13",NA,Brasil,São Paulo,Iguape,"Estação Ecológica Juréia-Itatins, Serra da Juréia, trilha da Figueira",-47.5499992370605,-24.7000007629395,"55628",NA,"Arbusto ca. 2,5m alt., frutos imaturos verdes, passando a negros",SP007133,SP007133,auto,NA,"Kawasaki, ML",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.5499992370605,-24.7000007629395,"11",2019-11-21 10:11:04-03,IBt,SP,"245831",S,Plantae,NA,NA,Myrtaceae,Calyptranthes,dryadica,Calyptranthes dryadica,M.L.Kawas.,Paratype,"Gomes da Silva, SJ; Mamede, MCH; Cordeiro, I; Nagatami, Y; Piacentin, EP","66","1990","09","21",NA,Brasil,São Paulo,Iguape,"Estação Ecológica Juréia-Itatins, Serra da Juréia, trilha para a Figueira Grande, mata de encosta",-47.5499992370605,-24.7000007629395,"55628",NA,"Arvoreta do interior da mata ca. 3,0m alt., DAP 3cm, frutos imaturos verdes",SP001305,SP001305,auto,NA,"Kawasaki, ML",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.5499992370605,-24.7000007629395,"12",2019-11-21 10:11:05-03,IBt,SP,"250019",S,Plantae,NA,NA,Myrtaceae,Calyptranthes,dryadica,Calyptranthes dryadica,M.L.Kawas.,Paratype,"Rossi, L; Mamede, MCH","907","1991","06","12",NA,Brasil,São Paulo,Iguape,"Estação Ecológica Juréia-Itatins, Trilha da Figueira. Mata de encosta",-47.5499992370605,-24.7000007629395,"55628",NA,"Arvoreta 4,0m alt., frutos imaturos verdes, calíptra castanha, caduca",SP001309,SP001309,auto,NA,"Kawasaki, ML",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
