X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,yearIdentified,coordinatePrecision,geoFlag,verbatimLongitude,monthIdentified,dayIdentified,verbatimLatitude,typeStatus,fieldNumber,minimumElevationInMeters,maximumElevationInMeters,class,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.992538,-25.197304,"1",2021-03-15 16:37:00-03,NY,NYBG,"1552465",PreservedSpecimen,Plantae,Magnoliophyta,Myrtales,Myrtaceae,Myrcia,hexasticha,Myrcia hexasticha,Kiaersk.,M. C. de Souza,H. de F. Leitão Filho,"10786","1979","12","11",South America,Brazil,São Paulo,Cananéia,Ilha do Cardoso,-47.992538,-25.197304,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1947345' target='other'> <mi>dwc_moreinfo</mi></a>,NY01552465,NY01552465_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.5499992370605,-24.7000007629395,"3",2020-11-04 11:14:55-03,ESALQ,ESA,"4744",PreservedSpecimen,Plantae,Magnoliophyta,NA,Myrtaceae,Myrcia,hexasticha,Myrcia hexasticha,Kiaersk.,"Lima, D.F.","Catharino, E.L.M.","610.0","1985","12","10",NA,Brasil,São Paulo,Iguape,NA,-47.5499992370605,-24.7000007629395,NA,NA,ESA004744,NA,"2016","55628",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.8800010681152,-24.7099990844727,"5",2020-11-04 11:14:55-03,ESALQ,ESA,"76413",PreservedSpecimen,Plantae,Magnoliophyta,NA,Myrtaceae,Myrcia,hexasticha,Myrcia hexasticha,Kiaersk.,"Kawasaki, M.L.","Sztutman, M. et al.","134.0","1999","01","07",NA,Brasil,São Paulo,Pariquera-Açu,NA,-47.8800010681152,-24.7099990844727,NA,NA,ESA076413,ESA076413,NA,"17990",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.683333,-24.733333,"7",2021-03-01 16:36:40-03,UNICAMP,UEC,"107535",S,Plantae,Magnoliopsida,NA,Myrtaceae,Myrcia,hexasticha,Myrcia hexasticha,Kiaersk.,"Lima, CBK","Kozera, C; Vanini, A; Hayashi, AH; Lima, CBK","832","1999","01","10",NA,Brazil,São Paulo,Iguape,Estação Ecológica de Chauás. trilha de Capuava do Mumuna.,-47.683333,-24.733333,NA,"Árvore de 8m, frutos maduros negros.; Floresta Ombrófila Densa. Floresta de Restinga Alta, com exploração de palmito e madeira.",UEC103469,UEC103469,"1999",NA,NA,"-47.683333","02",NA,"-24.733333",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.783333,-24.666667,"8",2021-03-01 16:36:40-03,UNICAMP,UEC,"107934",S,Plantae,Magnoliopsida,NA,Myrtaceae,Myrcia,hexasticha,Myrcia hexasticha,Kiaersk.,"Lima, DF","Sztutman, M; Brito, MCC; Cezare, CHG; Santos, JD; Santos, MJC; Felipim, AP","134","1999","01","07",NA,Brazil,São Paulo,Pariquera-Açu,"Parque Estadual de Pariquera-Abaixo (PEPA). Floresta de Caxeta acessado pela rodovia Pariquera-Iguape, no sítio do Sr. Dário, no lado Sul do PEPA, na margem do Ribeirão (Condição Aluvial).",-47.783333,-24.666667,NA,"Árvore de 6m de altura, frutos verdes e negros.",UEC107952,NA,"2016",NA,NA,"-47.783333","06",NA,"-24.666667",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9199981689453,-25.0100002288818,"10",2021-03-01 16:36:40-03,UNICAMP,UEC,"40221",S,Plantae,Magnoliopsida,NA,Myrtaceae,Myrcia,hexasticha,Myrcia hexasticha,Kiaersk.,"Souza, MC","Leitão Filho, HF; Tamashiro, JY","17986","1985","12","03",NA,Brazil,São Paulo,Cananéia,Ilha do Cardoso,-47.9199981689453,-25.0100002288818,NA,"Árvore até 12m, flores brancas, folhas jovens cor ocre.; Mata Restinga.",UEC103466,UEC103466,"2005","37574",auto,NA,"07",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9199981689453,-25.0100002288818,"11",2021-03-01 16:36:40-03,UNICAMP,UEC,"21285",S,Plantae,Magnoliopsida,NA,Myrtaceae,Myrcia,hexasticha,Myrcia hexasticha,Kiaersk.,"Souza, MC","Leitão Filho, HF; et al.","10786","1979","12","11",NA,Brazil,São Paulo,Cananéia,Ilha do Cardoso,-47.9199981689453,-25.0100002288818,NA,Árvore de flores brancas.,UEC103471,UEC103471,"2005","37574",auto,NA,"07",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9199981689453,-25.0100002288818,"13",2020-12-21 16:37:14-03,MBM,MBM,"212938",PreservedSpecimen,Plantae,NA,NA,Myrtaceae,Myrcia,hexasticha,Myrcia hexasticha,Gardn.,"Sobral, M.","Person, V.G.; et al.; et al.",s.n.,"1993","01","29",Southern America,Brazil,São Paulo,Cananéia,"Capuava, 10km N de Ariri",-47.9199981689453,-25.0100002288818,NA,NA,MBM212938,MBM212938,NA,"37574",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.5499992370605,-24.7000007629395,"25",2019-11-13 11:27:03-03,USP,SPF,"70708",PreservedSpecimen,Plantae,NA,NA,Myrtaceae,Myrcia,hexasticha,Myrcia hexasticha,Kiaersk.,"Lima, DF","Neto, MBR",s.n.,"1989","10",NA,NA,Brasil,São Paulo,Iguape,NA,-47.5499992370605,-24.7000007629395,NA,NA,SPF00070708,NA,"2016","55628",auto,NA,"06",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9199981689453,-25.0100002288818,"31",2019-02-27 14:03:08-03,UFSJ,HUFSJ,"6982",S,Plantae,NA,NA,Myrtaceae,Myrcia,hexasticha,Myrcia hexasticha,Kiaersk.,"Sobral, M","Borges, SM","2","1982","11","01",NA,Brasil,São Paulo,Cananéia,Ilha do Cardoso.,-47.9199981689453,-25.0100002288818,NA,"Arbusto ou árvore, flor, restinga.",HUFSJ006982,NA,"2016","37574",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
