X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,coordinatePrecision,minimumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,geoFlag,verbatimLongitude,verbatimLatitude,yearIdentified,monthIdentified,maximumElevationInMeters,typeStatus,individualCount,class,dayIdentified,relatedCatalogItem,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-45.4097,-23.6203,"2",2021-03-15 16:37:00-03,NY,NYBG,"777088",PreservedSpecimen,Plantae,Magnoliophyta,Myrtales,Myrtaceae,Eugenia,plicata,Eugenia plicata,Nied.,M. L. Kawasaki,I. Cordeiro,"2331","2000","09","27",South America,Brazil,São Paulo,Caraguatatuba,"Parque Estadual da Serra do Mar, Núcleo Caraguatatuba, Trilha do Jequitibá",-45.4097,-23.6203,NA,NA,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=434011' target='other'> <mi>dwc_moreinfo</mi></a>,NY00777088,NY00777088_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"3",2020-12-20 21:18:37-03,UFV,VIC,"15015",PreservedSpecimen,Plantae,NA,NA,Myrtaceae,Eugenia,plicata,Eugenia plicata,Nied,NA,"Borges, C.M.O.; et al.",s.n.,"1995","02","09",NA,Brasil,São Paulo,Ubatuba,Picinguaba,-45.0699996948242,-23.4300003051758,"34265",NA,NA,"Arvoreto de 3m,flores amarelas,formações de dunas e restinga",VIC015015,VIC015015,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.8,-23.366667,"4",2021-03-01 16:36:19-03,UNICAMP,UEC,"144989",S,Plantae,Magnoliopsida,NA,Myrtaceae,Eugenia,plicata,Eugenia plicata,Nied.,"Sanchez, M","Sanchez, M; Pedroni, F","1867","1998","01","25",NA,Brazil,São Paulo,Ubatuba,Picinguaba. margens do Rio da Fazenda.,-44.8,-23.366667,NA,NA,NA,"Árvore 400 com 2,5m de altura. com frutos maduros de cor atreo-purpúreo.; Mata Atlântica de enconsta.",UEC029715,UEC029715,NA,"-44.8","-23.366667",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.8,-23.333333,"6",2021-03-01 16:36:19-03,UNICAMP,UEC,"172399",S,Plantae,Magnoliopsida,NA,Myrtaceae,Eugenia,plicata,Eugenia plicata,Nied.,"Sanchez, M","Sanchez, M; Pedroni, F","708","1997","01","13",NA,Brazil,São Paulo,Ubatuba,Picinguaba.,-44.8,-23.333333,NA,"100",NA,"Árvore com 3m de altura e frutos maduros de cor vinho.; Mata Atlântica de Encosta, margens do Rio da Fazenda.",UEC016600,UEC016600,NA,"-44.8","-23.333333",NA,NA,"100",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.8,-23.366667,"7",2021-03-01 16:36:19-03,UNICAMP,UEC,"173796",S,Plantae,Magnoliopsida,NA,Myrtaceae,Eugenia,plicata,Eugenia plicata,Nied.,"Sanchez, M","Sanchez, M; Pedroni, F","2419","1992","11","08",NA,Brazil,São Paulo,Ubatuba,Picinguaba. margens do rio da Fazenda.,-44.8,-23.366667,NA,NA,NA,"Árvore número 488, 7 m de altura, casinha de vespa.; Mata atlantica de Encosta.",UEC089583,UEC089583,NA,"-44.8","-23.366667",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.8,-23.366667,"8",2021-03-01 16:36:19-03,UNICAMP,UEC,"173818",S,Plantae,Magnoliopsida,NA,Myrtaceae,Eugenia,plicata,Eugenia plicata,Nied.,"Sanchez, M","Sanchez, M; Pedroni, F","2420","1992","11","07",NA,Brazil,São Paulo,Ubatuba,Picinguaba. margens do rio da Fazenda.,-44.8,-23.366667,NA,NA,NA,"Árvore número 292 com 7m de altura, casinha de vespa.; Mata atlantica de Encosta.",UEC089582,UEC089582,NA,"-44.8","-23.366667",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.8,-23.366667,"9",2021-03-01 16:36:19-03,UNICAMP,UEC,"174983",S,Plantae,Magnoliopsida,NA,Myrtaceae,Eugenia,plicata,Eugenia plicata,Nied.,"Sanchez, M","Sanchez, M; Pedroni, F","1868","1998","01","25",NA,Brazil,São Paulo,Ubatuba,Picinguaba. margens do Rio da Fazenda. altitude 100metros.,-44.8,-23.366667,NA,NA,NA,"Árvore 411 com 5 m de altura, com frutos maduros de cor atreo-purpureo.; Mata Atlântica de enconsta.",UEC029721,UEC029721,NA,"-44.8","-23.366667",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.8,-23.366667,"10",2021-03-01 16:36:19-03,UNICAMP,UEC,"174990",S,Plantae,Magnoliopsida,NA,Myrtaceae,Eugenia,plicata,Eugenia plicata,Nied.,NA,"Sanchez, M; Pedroni, F","731","1997","01","12",NA,Brazil,São Paulo,Ubatuba,"Picinguaba, próximo à trilha do Corisco, altitude 120 metros.",-44.8,-23.366667,NA,NA,NA,"Árvore 304 com 7m de altura, poucos botões e flores amareladas.; Mata Atlantica de encosta.",UEC029717,UEC029717,NA,"-44.8","-23.366667",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.086389,-23.368889,"11",2021-03-01 16:36:19-03,UNICAMP,UEC,"178231",S,Plantae,Magnoliopsida,NA,Myrtaceae,Eugenia,plicata,Eugenia plicata,Nied.,"Sobral, M","Rochelle, ALC",J386,NA,NA,NA,NA,Brazil,São Paulo,Ubatuba,Fazenda Capricórnio - Bairro Taquaral.,-45.086389,-23.368889,NA,"450",NA,"Indivíduo J386 da parcela J do Projeto Temático BIOTA - Gradiente funcional.&nf;; Floresta Ombrófila Densa Submontana.",UEC041689,UEC041689,NA,"-45.086389","-23.368889","2008","03","450",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"12",2021-03-01 16:36:19-03,UNICAMP,UEC,"172397",S,Plantae,Magnoliopsida,NA,Myrtaceae,Eugenia,plicata,Eugenia plicata,Nied.,"Sanchez, M","Sanchez, M; Pedroni, F","345","1992","11","08",NA,Brazil,São Paulo,Ubatuba,Picinguaba.,-45.0699996948242,-23.4300003051758,"34265",NA,NA,"Arrvoreta de 5 metros de altura, botões florais amarelos, tronco com casca de cor rosada, presença de casinhas de vespas nos ramos; Mata Atlântica de Encosta, margens do Rio da Fazenda.",UEC016597,UEC016597,auto,NA,NA,"2012",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
