X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,family,genus,specificEpithet,scientificName,scientificNameAuthorship,recordedBy,recordNumber,barcode,class,order,continentOcean,country,locality,occurrenceRemarks,imagecode,year,month,day,stateProvince,county,decimalLongitude,decimalLatitude,coordinatePrecision,geoFlag,identifiedBy,yearIdentified,monthIdentified,verbatimLongitude,verbatimLatitude,dayIdentified,minimumElevationInMeters,maximumElevationInMeters,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-48.5046997070312,-24.7563991546631,"3",2020-11-04 11:00:14-03,ESALQ,ESA,"101993",PreservedSpecimen,Plantae,Magnoliophyta,Araceae,Anthurium,langsdorffii,Anthurium langsdorffii,NA,"Destefani, A.C.C.","94.0",ESA101993,NA,NA,NA,Brasil,NA,NA,ESA101993,"2005","03","24",São Paulo,Barra do Turvo,-48.5046997070312,-24.7563991546631,"38172",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.1399993896484,-24.3099994659424,"4",2020-11-04 11:00:14-03,ESALQ,ESA,"35217",PreservedSpecimen,Plantae,Magnoliophyta,Araceae,Anthurium,langsdorffii,Anthurium langsdorffii,NA,"Souza, V.C. et al.","6257.0",ESA035217,NA,NA,NA,Brasil,NA,NA,ESA035217,"1994","06","04",São Paulo,Bom Sucesso de Itararé,-49.1399993896484,-24.3099994659424,"14955",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.0999984741211,-24.5200004577637,"5",2020-11-04 11:00:14-03,ESALQ,ESA,"102033",PreservedSpecimen,Plantae,Magnoliophyta,Araceae,Anthurium,langsdorffii,Anthurium langsdorffii,NA,"Carboni, M.","52.0",ESA102033,NA,NA,NA,Brasil,NA,NA,ESA102033,"2005","03","22",São Paulo,Eldorado,-48.0999984741211,-24.5200004577637,"38804",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.0999984741211,-24.5200004577637,"6",2020-11-04 11:00:14-03,ESALQ,ESA,"101994",PreservedSpecimen,Plantae,Magnoliophyta,Araceae,Anthurium,langsdorffii,Anthurium langsdorffii,NA,"Braidotti, J.C.","42.0",ESA101994,NA,NA,NA,Brasil,NA,NA,ESA101994,"2005","03","25",São Paulo,Eldorado,-48.0999984741211,-24.5200004577637,"38804",auto,"Breier, T.B.",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"7",2020-11-04 11:00:14-03,ESALQ,ESA,"16580",PreservedSpecimen,Plantae,Magnoliophyta,Araceae,Anthurium,langsdorffii,Anthurium langsdorffii,Schott,"Sakuragui, C.M. et al.","308.0",ESA016580,NA,NA,NA,Brasil,NA,NA,ESA016580,NA,NA,NA,São Paulo,São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.916667,-24.166667,"8",2019-08-20 09:59:01-03,UNICAMP,UEC,"138870",S,Plantae,Liliopsida,Araceae,Anthurium,langsdorffii,Anthurium langsdorffii,Schott,"Breier, TB; Budke, JC","456",UEC090112,NA,NA,NA,Brazil,"Parque Estadual Carlos Botelho, Parcelas permanentes.",NA,UEC090112,"2002","08","10",São Paulo,Sete Barras,-47.916667,-24.166667,NA,NA,"Breier, TB","2004","07","-47.916667","-24.166667",NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.916667,-24.166667,"9",2019-08-20 09:59:01-03,UNICAMP,UEC,"138871",S,Plantae,Liliopsida,Araceae,Anthurium,langsdorffii,Anthurium langsdorffii,Schott,"Breier, TB; Budke, JC","591",UEC090109,NA,NA,NA,Brazil,"Parque Estadual Carlos Botelho, Estrada acima do Núcleo Sete Barras.",NA,UEC090109,"2002","08","27",São Paulo,Sete Barras,-47.916667,-24.166667,NA,NA,"Breier, TB","2004","07","-47.916667","-24.166667",NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.916667,-24.166667,"10",2019-08-20 09:59:01-03,UNICAMP,UEC,"138872",S,Plantae,Liliopsida,Araceae,Anthurium,langsdorffii,Anthurium langsdorffii,Schott,"Breier, TB; Andrade, MAR","164",UEC090111,NA,NA,NA,Brazil,"Parque Estadual Carlos Botelho, parcelas permanentes",NA,UEC090111,"2002","05","28",São Paulo,Sete Barras,-47.916667,-24.166667,NA,NA,"Breier, TB","2004","09","-47.916667","-24.166667",NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.916667,-24.166667,"11",2019-08-20 09:59:01-03,UNICAMP,UEC,"138872",S,Plantae,Liliopsida,Araceae,Anthurium,langsdorffii,Anthurium langsdorffii,Schott,"Breier, TB; Budke, JC","498",NA,NA,NA,NA,Brazil,"Parque Estadual Carlos Botelho, parcelas permanentes",Na parcela permanente sobre árvore número 7886,NA,"2002","08","20",São Paulo,Sete Barras,-47.916667,-24.166667,NA,NA,"Breier, TB","2004","08","-47.916667","-24.166667",NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.916667,-24.166667,"12",2019-08-20 09:59:01-03,UNICAMP,UEC,"138873",S,Plantae,Liliopsida,Araceae,Anthurium,langsdorffii,Anthurium langsdorffii,Schott,"Breier, TB; Budke, JC","498",UEC090114,NA,NA,NA,Brazil,"Parque Estadual Carlos Botelho, parcelas permanentes",Na parcela permanente sobre árvore número 7886,UEC090114,"2002","08","20",São Paulo,Sete Barras,-47.916667,-24.166667,NA,NA,"Breier, TB","2004","08","-47.916667","-24.166667",NA,NA,NA,"35",São Paulo,SP,Sudeste
