X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,coordinatePrecision,geoFlag,barcode,verbatimLongitude,verbatimLatitude,occurrenceRemarks,imagecode,class,order,continentOcean,minimumElevationInMeters,maximumElevationInMeters,individualCount,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-45.691833,-24.098861,"3",2020-07-10 09:44:04-03,MBML,MBML-HERBARIO,"50627",NA,Plantae,Begoniaceae,Begonia,venosa,Begonia venosa,Skan ex Hook,L. Poli/09-02-2015,NA,NA,NA,"L.P. Poli; et al","74","2015","02","09",Brasil,São Paulo,São Sebastião,Ilha de Alcatrazes,-45.691833,-24.098861,NA,NA,MBML050627,"45W41'30,6","24S5'55,9","Planta rupícola, em encosta rochosa a pleno sol, junto de gramíneas, orquídeas e bromélias. Flores em botões masculinos. Frutos secos",MBML050627,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.694,-24.10045,"4",2020-06-15 15:29:00-03,UNESP-RC,HRCB,"64227",PreservedSpecimen,Plantae,Begoniaceae,Begonia,venosa,Begonia venosa,Skan ex Hook. F.,"Assis, M.A.",NA,NA,NA,Lira,NA,NA,NA,NA,Brasil,São Paulo,Ilha de Alcatrazes,NA,-45.694,-24.10045,NA,NA,NA,45º41.640'W,24º06.027'S,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.4099998474121,-23.7600002288818,"6",2019-11-13 11:16:42-03,USP,SPF,"83018",PreservedSpecimen,Plantae,Begoniaceae,Begonia,venosa,Begonia venosa,Skan ex Hook.f.,"Irmscher, E","1950",NA,NA,"Luederwaldt, H",s.n.,"1920","10",NA,Brasil,São Paulo,São Sebastião,Ilha de Alcatrazes,-45.4099998474121,-23.7600002288818,"41977",auto,SPF00083018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.4099998474121,-23.7600002288818,"7",2019-11-13 11:16:42-03,USP,SPF,"83016",PreservedSpecimen,Plantae,Begoniaceae,Begonia,venosa,Begonia venosa,Skan ex Hook.f.,Anônimo,NA,NA,NA,"Loefgren, A",CGG3247,"1895","08","20",Brasil,São Paulo,São Sebastião,Praia dos Castilhanos e Alcatrazes.,-45.4099998474121,-23.7600002288818,"41977",auto,SPF00083016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.3499984741211,-23.7700004577637,"9",2019-11-21 10:01:54-03,IBt,SP,82653a,Extra,Plantae,Begoniaceae,Begonia,venosa,Begonia venosa,Skan ex Hook.f.,"Mamede, MCH; Arenque, BC","2006","07","18","Gomes, JC","3631","1965","04","03",Brasil,São Paulo,Ilhabela,Ilha Vitória. Encosta do saco do Oeste,-45.3499984741211,-23.7700004577637,"23719",auto,SP030054,NA,NA,"Flores róseas, folha com pagina ventral rubra",SP030054,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.3499984741211,-23.7700004577637,"10",2019-11-21 10:01:54-03,IBt,SP,"82653",S,Plantae,Begoniaceae,Begonia,venosa,Begonia venosa,Skan ex Hook.f.,"Mamede, MCH; Arenque, BC","2006","07","18","Gomes, JC","3631","1965","04","03",Brasil,São Paulo,Ilhabela,Ilha Vitória. Encosta do saco do Oeste,-45.3499984741211,-23.7700004577637,"23719",auto,SP030053,NA,NA,"Flores róseas, folha com pagina ventral rubra",SP030053,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.4099998474121,-23.7600002288818,"11",2019-11-21 10:01:54-03,IBt,SP,"18028",S,Plantae,Begoniaceae,Begonia,venosa,Begonia venosa,Skan ex Hook.f.,"Jacques, EL","2002","01",NA,"Luederwaldt, H; Fonseca",s.n.,"1920","10",NA,Brasil,São Paulo,São Sebastião,Ilha de Alcatrazes,-45.4099998474121,-23.7600002288818,"41977",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.4099998474121,-23.7600002288818,"12",2019-11-21 10:01:54-03,IBt,SP,"359228",S,Plantae,Begoniaceae,Begonia,venosa,Begonia venosa,Skan ex Hook.f.,"Jacques, EL","2002","01",NA,"Gomes da Silva, SJ","397","1998","12","21",Brasil,São Paulo,São Sebastião,Ilha de Alcatrazes,-45.4099998474121,-23.7600002288818,"41977",auto,NA,NA,NA,"Ca 1m alt. Planta recoberta por pilosidade alva a creme. Ramos decumbentes; folhas verdes levemente discolores, estípulas ascariosas, translúcidas; pedúnculo avermelhado; brácteas verdes passando a castanhas; tépalas alvas com pilosidade creme na fa",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.4099998474121,-23.7600002288818,"13",2019-11-21 10:01:54-03,IBt,SP,"8763",S,Plantae,Begoniaceae,Begonia,venosa,Begonia venosa,Skan ex Hook.f.,"Jacques, EL","2002","01",NA,"Loefgren, A",CGG3247,"1895","08","20",Brasil,São Paulo,São Sebastião,"Praia dos Castilhanos, Ilha de São Sebastião, Alcatrazes, beira do mar",-45.4099998474121,-23.7600002288818,"41977",auto,SP022644,NA,NA,NA,SP022644,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
