X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,occurrenceRemarks,barcode,imagecode,phylum,order,continentOcean,preparationType,coordinatePrecision,geoFlag,class,relatedCatalogItem,relationshipType,fieldNumber,individualCount,infraspecificEpithet,typeStatus,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.45,-23.5,"16",2021-03-15 16:37:00-03,NY,NYBG,"1280150",PreservedSpecimen,Plantae,Euphorbiaceae,Bernardia,pulchella,Bernardia pulchella,(Baill.) Müll.Arg.,J. F. Carrión,NA,NA,NA,G. H. von Langsdorff,s.n.,"1825","12",NA,Brazil,São Paulo,Sorocaba,Pr. Sorocaba,-47.45,-23.5,NA,NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1597075' target='other'> <mi>dwc_moreinfo</mi></a>,NY01280150,NY01280150_01,Magnoliophyta,Malpighiales,South America,sheet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.22,-23.65,"18",2021-03-15 16:37:00-03,NY,NYBG,"504548",PreservedSpecimen,Plantae,Euphorbiaceae,Bernardia,pulchella,Bernardia pulchella,(Baill.) Müll.Arg.,J. F. Carrión,NA,NA,NA,K. Mizoguchi,"1583","1981","04","03",Brazil,São Paulo,Ibiúna,"By the lakeside, SW 72 km from Sao Paulo",-47.22,-23.65,NA,NA,"800","800",<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=591428' target='other'> <mi>dwc_moreinfo</mi></a>,NY00504548,NY00504548_01,Magnoliophyta,Malpighiales,South America,sheet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.22,-23.65,"35",2021-03-15 16:37:00-03,NY,NYBG,"1015815",PreservedSpecimen,Plantae,Euphorbiaceae,Bernardia,pulchella,Bernardia pulchella,(Baill.) Müll.Arg.,I. Cordeiro,NA,NA,NA,I. Cordeiro,"1945","1999","04","06",Brazil,São Paulo,Ibiúna,"Próximo ao km 63 da Rodovia SP-250, Bairro de Morro Grande.",-47.22,-23.65,NA,NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1113865' target='other'> <mi>dwc_moreinfo</mi></a>,NY01015815,NY01015815_01,Magnoliophyta,Malpighiales,South America,sheet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"241",2021-03-01 16:29:31-03,UNICAMP,UEC,"88168",S,Plantae,Euphorbiaceae,Bernardia,pulchella,Bernardia pulchella,(Baill.) Müll.Arg.,NA,NA,NA,NA,"Ivanauskas, NM; Damasceno Junior, GA","1546","1996","11","26",Brazil,São Paulo,Campinas,Mata do Sr. Guido,-47.060001373291,-22.8999996185303,NA,NA,NA,NA,"Arbusto de 1,5m. Flores em botão.; Floresta Estacional Semidecidual.",UEC054998,UEC054998,Magnoliopsida,NA,NA,NA,"23900",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"242",2019-08-20 10:11:12-03,UNICAMP,UEC,"78266",S,Plantae,Euphorbiaceae,Bernardia,pulchella,Bernardia pulchella,(Baill.) Müll.Arg.,NA,NA,NA,NA,"Zickel, CS","30380","1991","07","03",Brazil,São Paulo,Campinas,Reserva Municipal de Santa Genebra,-47.060001373291,-22.8999996185303,NA,NA,NA,NA,"ori, Indivíduo c/ 31 cm de altura (Vegetativo)",UEC135830,UEC135830,Magnoliopsida,NA,NA,NA,"23900",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.2200012207031,-23.6499996185303,"243",2019-08-20 10:11:12-03,UNICAMP,UEC,"112144",S,Plantae,Euphorbiaceae,Bernardia,pulchella,Bernardia pulchella,(Baill.) Müll.Arg.,"Cordeiro, I","1999","08",NA,"Cordeiro, I; Yano, O; Rielle, F","1945","1999","04","06",Brazil,São Paulo,Ibiuna,"próximo ao km 63 da rodovia SP-250, Bair",-47.2200012207031,-23.6499996185303,NA,NA,NA,NA,"flor, Arbusto ca. 2 m, flores esverdeadas",UEC135828,UEC135828,Magnoliopsida,NA,NA,NA,"43112",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.1300010681152,-23.5200004577637,"244",2019-08-20 10:11:12-03,UNICAMP,UEC,"76681",S,Plantae,Euphorbiaceae,Bernardia,pulchella,Bernardia pulchella,(Baill.) Müll.Arg.,NA,NA,NA,NA,"Bernacci, LC; Belinello, R; Sciamarelli, A; Andrade, PRP; Falivene, SMP; Grecco, MDN","1497","1995","04","25",Brazil,São Paulo,São Roque,"Morro do Saboó e proximidades, região de matas",-47.1300010681152,-23.5200004577637,NA,NA,NA,NA,"Arbusto ca. 1,5 m alt., flores esverdeadas",UEC125336,UEC125336,Magnoliopsida,NA,NA,NA,"15567",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.2200012207031,-23.6499996185303,"572",2021-02-11 17:18:50-03,UFPR,UPCB,"42977",PreservedSpecimen,Plantae,Euphorbiaceae,Bernardia,pulchella,Bernardia pulchella,(Baill.) Müll.Arg.,"Cordeiro, I.","1999","08",NA,"Cordeiro, I.","1945","1999","04","06",Brasil,São Paulo,Ibiuna,"Próximo ao km 63 da Rodovia SP 250, Bairro de Morro Grande",-47.2200012207031,-23.6499996185303,NA,NA,NA,NA,"Arbusto ca. 2m, flores esverdeadas..",NA,NA,NA,NA,NA,NA,"43112",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.076944,-24.335278,"921",2021-03-15 18:26:52-03,USP,SPF,"193382",PreservedSpecimen,Plantae,Euphorbiaceae,Bernardia,pulchella,Bernardia pulchella,(Baill.) Müll.Arg.,"Souza, VC; Rodrigues, RR","1997","12",NA,"Elias, SI","145","1997","12","13",Brasil,São Paulo,Apiaí,Estrada Pinhalzinho a 11 km de Bom Sucessod e Itararé - Apiai.,-49.076944,-24.335278,"-49.076944","-24.335278",NA,NA,"Arbusto de 1.5 m. Frutos verdes imaturos, flores esverdeadas.; Floresta ombrófila mista, borda da mata.",SPF00193382,SPF00193382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"927",2019-11-13 11:19:47-03,USP,SPF,"13293",PreservedSpecimen,Plantae,Euphorbiaceae,Bernardia,pulchella,Bernardia pulchella,(Baill.) Müll.Arg.,"Carrión, JF","2016","08","04","Hoehne, W",s.n.,"1945","11","26",Brasil,São Paulo,São Paulo,NA,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,SPF00013293,SPF00013293,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.1300010681152,-23.5200004577637,"928",2021-03-15 18:26:52-03,USP,SPF,"107695",PreservedSpecimen,Plantae,Euphorbiaceae,Bernardia,pulchella,Bernardia pulchella,(Baill.) Müll.Arg.,"Carrión, JF","2016","08",NA,"Bernacci, LC","1497","1995","04","25",Brasil,São Paulo,São Roque,"Morro do Saboó, Morro do Saboó e proximidades, região de matas.",-47.1300010681152,-23.5200004577637,NA,NA,NA,NA,"Arbusto ca. 1.5 m alt., flores esverdeadas.",SPF00107695,SPF00107695,NA,NA,NA,NA,"15567",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.16288,-23.47502,"1002",2020-01-27 18:24:41-03,IAC,IAC,"30364",S,Plantae,Euphorbiaceae-2.Acalyphoideae,Bernardia,pulchella,Bernardia pulchella,(Baill.) Müll.Arg.,I. Cordeiro,"2014","10","25","L.C. Bernacci; M.D.N. Grecco; P.R.P. Andrade; R. Belinelo; S.M.P. Falivene & K.R. Voyceik","30364","1995","04","25",Brasil,São Paulo,São Roque,Morro Saboó e proximidades,-47.16288,-23.47502,"-47.16288","-23.47502",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.8400001525879,-24.5,"1058",2020-11-12 17:01:00-03,UEL,FUEL,"21652",PreservedSpecimen,Plantae,Euphorbiaceae,Bernardia,pulchella,Bernardia pulchella,(Baill.) Müll.Arg.,"Souza, VC; Rodrigues, RR","1997","12",NA,"Elias, SI; et al.","145","1997","07","13",Brasil,São Paulo,Apiaí,Estrada Pinhalzinho a 11 Km de B. Sucesso de Itara,-48.8400001525879,-24.5,NA,NA,NA,NA,NA,NA,NA,Tracheophyta,Malpighiales,NA,NA,"37738",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.076944,-24.335278,"1095",2021-03-04 15:44:35-03,IF,SPSF,"15437",PreservedSpecimen,Plantae,Euphorbiaceae,Bernardia,pulchella,Bernardia pulchella,(Bail.) Müll.Arg.,V.C.Souza,"1997","12","30",S.I.Elias & M.M.R.Silva & D.B.Amador,"145","1997","12","13",Brasil,SP,Apiaí,estrada Pinhalzinho,-49.076944,-24.335278,NA,NA,NA,NA,"COLETA: XLS: SPSFAntigo&nf;Floresta Ombrófila Mista&nf;Arbusto 1,5m altura; flores esverdeadas e frutos imaturos verdes.; GEOGRAFIA: A 11km de Bom Suceso de Itararé, sentifo Apiaí.&nf;Borda de mata.&nf;EX-ESA;",NA,NA,Magnoliophyta,Malpighiales,América do Sul,NA,NA,NA,Magnoliopsida,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
