X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,minimumElevationInMeters,maximumElevationInMeters,yearIdentified,monthIdentified,dayIdentified,verbatimLongitude,verbatimLatitude,coordinatePrecision,geoFlag,class,relatedCatalogItem,typeStatus,fieldNumber,individualCount,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46,-23.58333,"115",2008-05-27 22:02:00-03,MO,MOBOT,"309127",PreservedSpecimen,Plantae,NA,NA,Myrtaceae,Myrcia,tenuivenosa,Myrcia tenuivenosa,Kiaersk.,"F. F. Mazine, May/",A. Custodio Filho|Alwyn H. Gentry,Custodio Filho 4631,"1987","2","4",South America,Brazil,São Paulo,NA,"Boraceia, between Moji das Cruzes and Biritiba-Mirim, crest of Serra do Mar. Transect 7",-46,-23.58333,NA,NA,NA,NA,"850.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87-8,"1","35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"134",2020-06-17 15:25:20-03,UNESP-RC,HRCB,"31454",PreservedSpecimen,Plantae,NA,NA,Myrtaceae,Myrcia,tenuivenosa,Myrcia tenuivenosa,Kiaersk.,M. Sobral,"Takahasi, A.",NA,NA,NA,NA,NA,Brasil,São Paulo,Ubatuba,Picinguaba,-45.0699996948242,-23.4300003051758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34265",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"135",2020-06-17 15:25:20-03,UNESP-RC,HRCB,"31445",PreservedSpecimen,Plantae,NA,NA,Myrtaceae,Myrcia,tenuivenosa,Myrcia tenuivenosa,Kiaersk.,M. Sobral,"Takahasi, A.",NA,NA,NA,NA,NA,Brasil,São Paulo,Ubatuba,Picinguaba,-45.0699996948242,-23.4300003051758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34265",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.879314,-23.639831,"136",2021-01-26 13:56:47-03,IMA,MAC,"21974",PreservedSpecimen,Plantae,NA,NA,Myrtaceae,Myrcia,tenuivenosa,Myrcia tenuivenosa,Kiaersk.,M.L.Kawasaki,A.Custódio-Filho,"1461","1983","08","30",NA,Brasil,São Paulo,Biritiba Mirim,Estação Biológica de Boracéia.,-45.879314,-23.639831,NA,Árvore ca. de 8m de altura. Botões.,MAC0021974,MAC0021974,NA,NA,"1999",NA,NA,"-45.879314","-23.639831",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.716667,-23.55,"156",2019-11-13 11:27:15-03,USP,SPF,"116037",PreservedSpecimen,Plantae,NA,NA,Myrtaceae,Myrcia,tenuivenosa,Myrcia tenuivenosa,Kiaersk.,"Mantovani, W","Dislich, R","40","1994","01","29",NA,Brasil,São Paulo,São Paulo,Cidade Universitária Armando de Salles Oliveira,-46.716667,-23.55,NA,NA,SPF00116037,NA,"735","765","1995","10",NA,"-46.716667","-23.55",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.716667,-23.55,"157",2019-11-13 11:27:15-03,USP,SPF,"116038",PreservedSpecimen,Plantae,NA,NA,Myrtaceae,Myrcia,tenuivenosa,Myrcia tenuivenosa,Kiaersk.,"Mantovani, W","Dislich, R","62","1994","03","08",NA,Brasil,São Paulo,São Paulo,Cidade Universitária Armando de Salles Oliveira,-46.716667,-23.55,NA,NA,SPF00116038,NA,"735","765","1995","10",NA,"-46.716667","-23.55",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.716667,-23.55,"158",2019-11-13 11:27:15-03,USP,SPF,"116039",PreservedSpecimen,Plantae,NA,NA,Myrtaceae,Myrcia,tenuivenosa,Myrcia tenuivenosa,Kiaersk.,"Mantovani, W","Dislich, R","180","1995","09","27",NA,Brasil,São Paulo,São Paulo,Cidade Universitária Armando de Salles Oliveira,-46.716667,-23.55,NA,NA,SPF00116039,NA,"735","765","1995","10",NA,"-46.716667","-23.55",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.866667,-23.633333,"162",2019-11-13 11:27:15-03,USP,SPF,"165039",PreservedSpecimen,Plantae,NA,NA,Myrtaceae,Myrcia,tenuivenosa,Myrcia tenuivenosa,Kiaersk.,"Kawasaki, ML","Custódio-Filho, A","1439","1983","08","30",NA,Brasil,São Paulo,Biritiba-Mirim,"23 38'-23 39' S, 45 52'- 45 53' W",-45.866667,-23.633333,NA,NA,SPF00165039,NA,"890","950","1999",NA,NA,"-45.866667","-23.633333",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"167",2019-11-13 11:27:15-03,USP,SPF,"46612",PreservedSpecimen,Plantae,NA,NA,Myrtaceae,Myrcia,tenuivenosa,Myrcia tenuivenosa,Kiaersk.,"Mattos, J","Rodrigues, A","18","1968","12","12",NA,Brasil,São Paulo,São Paulo,Serra da Cantareira,-46.6300010681152,-23.5400009155273,NA,NA,SPF00046612,NA,NA,NA,"1972",NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.004408,-23.755951,"179",2019-01-25 15:35:34-02,IAC,IAC,"42834",S,Plantae,NA,NA,Myrtaceae-2.Myrtoideae,Myrcia,tenuivenosa,Myrcia tenuivenosa,Kiaersk.,E.L.M. Catharino,E.L.M. Catharino,s/nº,NA,NA,NA,NA,Brasil,São Paulo,Cotia,"Morro Grande, Reserva, área Quilombo, indivíduo QUI 44.4, vegetativo",-47.004408,-23.755951,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-47.004408","-23.755951",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.8,-23.366667,"180",2020-11-23 11:39:24-03,IAC,IAC,"56038",S,Plantae,NA,NA,Myrtaceae-2.Myrtoideae,Myrcia,tenuivenosa,Myrcia tenuivenosa,Kiaersk.,M. Sanchez,M. Sanchez & F. Pedroni,"716","1997","01","21",NA,Brasil,São Paulo,Ubatuba,"Picinguaba, margem do Rio da Fazenda",-44.8,-23.366667,NA,"Coordenadas originais: 23º22#?#S, 44º48#?#W",NA,NA,NA,NA,"1997","01","21","-44.800000","-23.366667",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.109914,-23.360372,"181",2020-11-23 11:39:24-03,IAC,IAC,"56485",S,Plantae,NA,NA,Myrtaceae-2.Myrtoideae,Myrcia,tenuivenosa,Myrcia tenuivenosa,Kiaersk.,A.C.O. Souza et al.,"A.C.O. Souza; L.C. Bernacci & R. Belinelo","107","2011","04","14",NA,Brasil,São Paulo,Ubatuba,"Parque Estadual da Serra do Mar, Núcleos Santa Virgínia/Picinguaba, trilha da Pipoca",-45.109914,-23.360372,NA,NA,NA,NA,NA,NA,"2011","04","14","-45.109914","-23.360372",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9900016784668,-23.8700008392334,"192",2020-11-04 17:30:04-03,UEM,HUEM,"13896",S,Plantae,NA,NA,Myrtaceae,Myrcia,tenuivenosa,Myrcia tenuivenosa,Kiaersk,NA,"Lucas, EJ; Souza, VC; Mazine, FF; Foster, W; Udulutsch, RG","87","2003","01","26",NA,Brasil,São Paulo,São Miguel Arcanjo,"Parque Estadual Carlos Botelho, Slightly elevated on low ridge top. Mata Atlântica",-47.9900016784668,-23.8700008392334,NA,"CB: 8064; sterile; fertile duplicates exist at ESA; terminal branchlets covered in patent red hairs, DNA",HUEM000008968,HUEM000008968,NA,NA,"2003","01","26",NA,NA,"27904",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.618333,-23.639167,"200",2019-10-03 10:04:20-03,UFSCar,SORO,"6692",PreservedSpecimen,Plantae,NA,NA,Myrtaceae,Myrcia,tenuivenosa,Myrcia tenuivenosa,Kiaersk.,M.F. Santos,"Santos, M.F.; Gomes, E.P.C.","873","2016","10","13",NA,Brasil,São Paulo,São Paulo,"Parques Estadual das Fontes do Ipiranga. Árvore isolada em meio à mata, próxima ao castelinho e ao acesso à trilha suspensa.",-46.618333,-23.639167,NA,"Árvore, 12m alt. Pilosidade avermelhada. Folhas jovens vermelhas, com cera na epiderme. Ráquis da inflorescência verde com pilosidade vermelha, concentrada nas ramificações. Hipanto e cálice verdes, corola alva. Material coletado em FAA.",NA,NA,"800","800","2016",NA,NA,46°37'06W,23°38'21S,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"205",2021-03-04 15:45:35-03,IF,SPSF,"05553",PreservedSpecimen,Plantae,Magnoliophyta,Myrtales,Myrtaceae,Myrcia,tenuivenosa,Myrcia tenuivenosa,NA,NA,A. Rodrigues,"18","1968","12","12",América do Sul,Brasil,SP,São Paulo,Serra da Cantereira,-46.6300010681152,-23.5400009155273,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,NA,NA,NA,NA,NA,NA,NA,"53584",auto,Magnoliopsida,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"207",2021-03-04 15:45:35-03,IF,SPSF,"12657",PreservedSpecimen,Plantae,Magnoliophyta,Myrtales,Myrtaceae,Myrcia,tenuivenosa,Myrcia tenuivenosa,NA,O.T. Aguiar,E.L.Silva,"45","1988","12","09",América do Sul,Brasil,SP,São Paulo,Serra da Cantereira,-46.6300010681152,-23.5400009155273,NA,"COLETA: XLS: SPSFAntigo&nf;Árvore com 13 m de altura com casca clara com leve esfoliação, flores creme.; GEOGRAFIA: Na linha 06 da fitossociologia, próximo da árvore 22.;",NA,NA,NA,NA,"1989","09","30",NA,NA,"53584",auto,Magnoliopsida,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9199981689453,-24.3799991607666,"208",2021-03-04 15:45:35-03,IF,SPSF,"15477",PreservedSpecimen,Plantae,Magnoliophyta,Myrtales,Myrtaceae,Myrcia,tenuivenosa,Myrcia tenuivenosa,NA,NA,M. Kirizawa & M.Sugiyama,"2730","1992","09","24",América do Sul,Brasil,SP,Sete Barras,Parque Estadual Carlos Botelho,-47.9199981689453,-24.3799991607666,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,NA,NA,NA,NA,NA,NA,NA,"34059",auto,Magnoliopsida,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.083333,-24.233333,"210",2021-02-08 12:44:13-03,UFRGS,ICN,"178511",S,Plantae,Dicotyledon,NA,Myrtaceae,Myrcia,tenuivenosa,Myrcia tenuivenosa,Kiaersk.,"Guilherme, FAG","Guilherme, FAG","226","2001","09","15",América do Sul,Brasil,SP,Sete Barras,Parque Intervales-Base Saibadela,-48.083333,-24.233333,NA,"árvore, aprox. 22 m de altura, flores com pétalas brancas e vários estames esbranquiçados, estilete branco, flores bastantes perfumadas; floresta atlântica de terras baixas, ambiente sombreado",NA,NA,NA,NA,NA,NA,NA,"-48.083333","-24.233333",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.866667,-23.633333,"211",2019-11-21 10:12:23-03,IBt,SP,"193155",S,Plantae,NA,NA,Myrtaceae,Myrcia,tenuivenosa,Myrcia tenuivenosa,Kiaersk.,"Kawasaki, ML","Custodio Filho, A","1439","1983","08","30",NA,Brasil,São Paulo,Biritiba-Mirim,Estação Biológica de Boracéia,-45.866667,-23.633333,NA,"Árvore 10m alt., flores em botão.",NA,NA,"890","950","1999",NA,NA,"-45.866667","-23.633333",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.866667,-23.633333,"212",2019-11-21 10:12:23-03,IBt,SP,"193175",S,Plantae,NA,NA,Myrtaceae,Myrcia,tenuivenosa,Myrcia tenuivenosa,Kiaersk.,"Kawasaki, ML","Custodio Filho, A","1461","1983","08","30",NA,Brasil,São Paulo,Biritiba-Mirim,Estação Biológica de Boracéia,-45.866667,-23.633333,NA,"Árvore 8m alt., botões.",NA,NA,"890","950","1999",NA,NA,"-45.866667","-23.633333",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.615278,-23.6425,"213",2019-11-21 10:12:23-03,IBt,SP,"454699",S,Plantae,NA,NA,Myrtaceae,Myrcia,tenuivenosa,Myrcia tenuivenosa,Kiaersk.,"Kondrat, H","Kondrat, H","155","2013","07","11",NA,Brasil,São Paulo,São Paulo,"Parque Estadual das Fontes do Ipiranga, Instituto de Botânica, área sudeste, próxima à trilha interna paralela à Av. do Cursino, parcela 10, espécime nº 471",-46.615278,-23.6425,NA,NA,NA,NA,"824","824",NA,NA,NA,"-46.615278","-23.6425",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9199981689453,-25.0100002288818,"217",2019-11-21 10:12:23-03,IBt,SP,"244406",S,Plantae,NA,NA,Myrtaceae,Myrcia,tenuivenosa,Myrcia tenuivenosa,Kiaersk.,"Aguiar, OT","Melo, MMRF; Ferreira, V","797","1988","07","23",NA,Brasil,São Paulo,Cananéia,"Parque Estadual da Ilha do Cardoso, Morro da captação de água",-47.9199981689453,-25.0100002288818,NA,NA,NA,NA,NA,NA,"1990","06",NA,NA,NA,"37574",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9900016784668,-23.8700008392334,"218",2019-11-21 10:12:23-03,IBt,SP,"256198",S,Plantae,NA,NA,Myrtaceae,Myrcia,tenuivenosa,Myrcia tenuivenosa,Kiaersk.,"Kawasaki, ML","Kirizawa, M; Sugiyama, M","2730","1992","09","24",NA,Brasil,São Paulo,São Miguel Arcanjo,"Parque Estadual de Carlos Botelho, bairro Taquaral.",-47.9900016784668,-23.8700008392334,NA,"Estrada de serviço para Mirante, área com vegetação atlântica preservada. Árvore ca. 5m alt., junto ao Ribeirão Grande. Fruto cilíndrico, verde a vermelho, roxo quando maduro, flores brancas.",NA,NA,NA,NA,"1999",NA,NA,NA,NA,"27904",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"219",2019-11-21 10:12:23-03,IBt,SP,"79852",S,Plantae,NA,NA,Myrtaceae,Myrcia,tenuivenosa,Myrcia tenuivenosa,Kiaersk.,"Kuhlmann, M","Kuhlmann, M","2822","1945","11","06",NA,Brasil,São Paulo,São Paulo,Nativa no Jardim Botânico. Mata.,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9199981689453,-24.3799991607666,"220",2019-11-21 10:12:23-03,IBt,SP,"345360",S,Plantae,NA,NA,Myrtaceae,Myrcia,tenuivenosa,Myrcia tenuivenosa,Kiaersk.,"Kawasaki, ML","Zipparro, VB","1812","1999","11","09",NA,Brasil,São Paulo,Sete Barras,"Parque Estadual Intervales, Base Saibadela, trilha Azul, para frente do Ponto 5",-47.9199981689453,-24.3799991607666,NA,"Indivídua com fita amarela ao lado do 187A, árvore ca. 10m alt., presença de frutos imaturos de coloração verde, redondos",NA,NA,NA,NA,NA,NA,NA,NA,NA,"34059",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9199981689453,-24.3799991607666,"221",2019-11-21 10:12:23-03,IBt,SP,"338294",S,Plantae,NA,NA,Myrtaceae,Myrcia,tenuivenosa,Myrcia tenuivenosa,Kiaersk.,"Kawasaki, ML","Zipparro, VB","1788","1999","09","14",NA,Brasil,São Paulo,Sete Barras,"Parque Estadual Intervales, Base Saibadela, trilha Azul, para frente do Ponto 5, ambiente sombreado",-47.9199981689453,-24.3799991607666,NA,"Árvore ca. 8m alt., presença de inflorescência com botões muito pequenos de coloração creme e verde-claro, flores brancas. Indivíduo marcado com fita amarela ao lado do 187A",NA,NA,NA,NA,"1999",NA,NA,NA,NA,"34059",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"222",2019-11-21 10:12:23-03,IBt,SP,"321802",S,Plantae,NA,NA,Myrtaceae,Myrcia,tenuivenosa,Myrcia tenuivenosa,Kiaersk.,"Kawasaki, ML","Sanchez, M; Pedroni, F","717","1997","01","21",NA,Brasil,São Paulo,Ubatuba,"Picinguaba, mata atlântica de encosta, margens do rio da Fazenda",-45.0699996948242,-23.4300003051758,NA,"Árvore 117 com 3m alt., com botões, flores e frutos imaturos",NA,NA,"100","100","1997",NA,NA,NA,NA,"34265",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"223",2019-11-21 10:12:23-03,IBt,SP,299133B,S,Plantae,NA,NA,Myrtaceae,Myrcia,tenuivenosa,Myrcia tenuivenosa,Kiaersk.,"Kawasaki, ML","Takahashi, A","206","1996","01","24",NA,Brasil,São Paulo,Ubatuba,"Picinguaba, mata de encosta, trilha do Corisco",-45.0699996948242,-23.4300003051758,NA,Arvoreta ca. 3m alt.,NA,NA,NA,NA,"1998",NA,NA,NA,NA,"34265",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"224",2019-11-21 10:12:23-03,IBt,SP,299147B,S,Plantae,NA,NA,Myrtaceae,Myrcia,tenuivenosa,Myrcia tenuivenosa,Kiaersk.,"Kawasaki, ML","Takahashi, A; Gajardo, ISM","256","1996","03","25",NA,Brasil,São Paulo,Ubatuba,"Picinguaba, mata de encosta, trilha do Corisco",-45.0699996948242,-23.4300003051758,NA,"Árvore ca. 7m alt., antes da parcela 1, margens do rio da Fazenda, pleno sol, frutos imaturos esverdeados e ftutos começando a amadurecer (vermelhos)",NA,NA,NA,NA,"1998",NA,NA,NA,NA,"34265",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
