X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,scientificNameAuthorship,yearIdentified,monthIdentified,dayIdentified,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,coordinatePrecision,geoFlag,class,individualCount,typeStatus,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-45.0697,-23.4303,"1",2017-04-12 08:36:00-03,NY,NYBG,"01096278",PreservedSpecimen,Plantae,Magnoliophyta,Gentianales,Rubiaceae,Coussarea,accedens,Coussarea accedens,M. Gomes,M. Kirizawa,"1889","1987","08","20",South America,Brazil,São Paulo,Ubatuba,"Estrada Ubatuba-S. Luiz de Paraitinga, Serra de Ubatuba.",-45.0697,-23.4303,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1236105' target='other'> <mi>dwc_moreinfo</mi></a>,NY01096278,NY01096278_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"5",2020-11-04 11:18:16-03,ESALQ,ESA,"114790",PreservedSpecimen,Plantae,Magnoliophyta,NA,Rubiaceae,Coussarea,accedens,Coussarea accedens,NA,"Campos, M.C.R.","9088.0","2006","07","19",NA,Brasil,São Paulo,Ubatuba,NA,-45.0699996948242,-23.4300003051758,NA,NA,ESA114790,ESA114790,NA,NA,NA,NA,NA,NA,NA,NA,"34265",auto,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"6",2021-03-12 01:36:19-03,UFPI,TEPB,"29240",PreservedSpecimen,Plantae,NA,NA,Rubiaceae,Coussarea,accedens,Coussarea accedens,M. F. A. Lucena,"Campos, M.C.R","795","2006","07","18",NA,Brasil,São Paulo,Ubatuba,"Núcleo Picinguaba/PESM, trilha da casa da farinha, parcela E, subparcela 83",-45.0699996948242,-23.4300003051758,NA,"Indivíduo E1052, altura 13m",NA,NA,Mull. Arg,"2013","10","07",NA,NA,"1150","1150","34265",auto,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"7",2020-12-20 21:19:15-03,UFV,VIC,"44725",PreservedSpecimen,Plantae,NA,NA,Rubiaceae,Coussarea,accedens,Coussarea accedens,NA,"Campos, M.C.R.","263","2006","05","07",NA,Brasil,São Paulo,Ubatuba,PESM Trilha da casa da Farinha,-45.0699996948242,-23.4300003051758,NA,"Individuo E0366, altura de 7 m.",VIC044725,VIC044725,Muell.Arg,NA,NA,NA,NA,NA,NA,NA,"34265",auto,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0415,-23.2603,"8",2019-11-27 13:52:33-03,UFS,ASE,"28048",PreservedSpecimen,Plantae,Magnoliophyta,NA,Rubiaceae,Coussarea,accedens,Coussarea accedens,NA,"Campos, MCR; Belinello, R","755","2006","07","17",Southern America,Brasil,São Paulo,Ubatuba,"Núcleo Picinguaba/PESM, Trilha da Casa de Farinha, parcela E, subparcela 79.",-45.0415,-23.2603,NA,"Indivíduo E1004, altura 9m.",ASE0032354,ASE0032354,Müll.Arg.,NA,NA,NA,"-45.0415","-23.2603",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.816667,-23.333333,"9",2021-03-01 16:39:14-03,UNICAMP,UEC,"067537",S,Plantae,Magnoliopsida,NA,Rubiaceae,Coussarea,accedens,Coussarea accedens,"Pereira, MS","Toniato, MTZ","30157","1993","11","10",NA,Brazil,São Paulo,Ubatuba,"Brasil, São Paulo, Ubatuba, Trilha do Corisco.",-44.816667,-23.333333,NA,"Arvoreta, 3m, fruto verde com cálice rosa persistente.",UEC161994,UEC161994,Müll.Arg.,"2007",NA,NA,"-44.816667","-23.333333",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.566667,-23.733333,"10",2021-03-01 16:39:14-03,UNICAMP,UEC,"116171",S,Plantae,Magnoliopsida,NA,Rubiaceae,Coussarea,accedens,Coussarea accedens,"Pereira, MS","Oliveira, AA; Gandolfi, S; Batista, FRQ; Micheletto, F; Liesenfeld, MVA","3605","2000","04","19",NA,Brazil,São Paulo,São Sebastião,"Brasil, Estado de São Paulo.Município de São Sebastião.Parque Estadual da Serra do Mar.Trilha entre a Estrada Intermediária e a cabeceira do Ribeirão de Itu, Sítio Dito Cachimbo.",-45.566667,-23.733333,NA,"Arvoreta, 6m alt;frutos verdes imaturos.Interior de Floresta Alterada.; Floresta Ombrófila Densa de Encosta com perturbação.",UEC161995,UEC161995,Müll.Arg.,"2006","01","27","-45.566667","-23.733333","600","600",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.733333,-23.983333,"11",2021-03-01 16:39:14-03,UNICAMP,UEC,"121555",S,Plantae,Magnoliopsida,NA,Rubiaceae,Coussarea,accedens,Coussarea accedens,"Pereira, MS","Souza, FM; Sampaio, D; Duarte, AR; Bernhardt, R; et al.","43","2001","04","11",NA,Brazil,São Paulo,São Paulo,"Parque estadual da Serra do Mar, Núcleo Curucutu. Trilha do campo.",-46.733333,-23.983333,NA,"Árvore, ca 6m alt. Frutos imaturos verdes.; Floresta ribeirinha altomontana com campo adjacente. Interior de mata, beira do córrego.",UEC172220,UEC172220,Müll.Arg.,"2006","01","27","-46.733333","-23.983333","800","800",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.084167,-23.366389,"13",2019-08-20 10:24:16-03,UNICAMP,UEC,"148873",S,Plantae,Magnoliopsida,NA,Rubiaceae,Coussarea,accedens,Coussarea accedens,"Jung-Mendaçolli, SL","Aranha, BA","453","2007","01","17",NA,Brazil,São Paulo,Ubatuba,"Fazenda Capricórnio, Parcela J",-45.084167,-23.366389,NA,NA,UEC156781,UEC156781,Müll.Arg.,"2008","10",NA,"-45.084167","-23.366389","380","380",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.092778,-23.396667,"14",2021-03-01 16:39:14-03,UNICAMP,UEC,"160932",S,Plantae,Magnoliopsida,NA,Rubiaceae,Coussarea,accedens,Coussarea accedens,"Cavalin, PO","Cavalin, PO","44","2009","11","12",NA,Brazil,São Paulo,Ubatuba,Fazenda Capricórnio,-45.092778,-23.396667,NA,"Indivíduo juvenil, 1-2 m de altura.; Sub-bosque Floresta Ombrófila Densa.",UEC039347,UEC039347,Müll.Arg.,"2010","06",NA,"-45.092778","-23.396667","348","395",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
