X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,coordinatePrecision,occurrenceRemarks,barcode,imagecode,geoFlag,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,dayIdentified,individualCount,class,order,preparationType,typeStatus,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.060001373291,-22.8999996185303,"4",2020-11-04 11:12:03-03,ESALQ,ESA,"33263",PreservedSpecimen,Plantae,Magnoliophyta,Lauraceae,Ocotea,beulahiae,Ocotea beulahiae,Baitelo,"Baitello, J.B.",NA,NA,"Gandolfi, S.",NA,"1995","06","08",NA,Brasil,São Paulo,Campinas,NA,-47.060001373291,-22.8999996185303,"23900",NA,ESA033263,NA,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.7599983215332,-22.7000007629395,"6",2020-11-04 11:12:03-03,ESALQ,ESA,"66225",PreservedSpecimen,Plantae,Magnoliophyta,Lauraceae,Ocotea,beulahiae,Ocotea beulahiae,Baitello,"Baitello, J.B.",NA,NA,"Moraes, P.L.R.","2125.0","2000","03","23",NA,Brasil,São Paulo,Amparo,NA,-46.7599983215332,-22.7000007629395,"18036",NA,ESA066225,ESA066225,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"7",2020-11-04 11:12:03-03,ESALQ,ESA,"33259",PreservedSpecimen,Plantae,Magnoliophyta,Lauraceae,Ocotea,beulahiae,Ocotea beulahiae,NA,NA,NA,NA,"Gandolfi, S.",NA,"1993","05","14",NA,Brasil,São Paulo,Campinas,NA,-47.060001373291,-22.8999996185303,"23900",NA,ESA033259,NA,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"8",2019-02-15 11:40:52-02,IPA,IPA,"80569",S,Plantae,Plantae,Lauraceae,Ocotea,beulahiae,Ocotea beulahiae,Baitello,"Gomes, J.A.M.A.","2004","10","Gomes, J.A.M.A.; Pena Filho, J.; Pena Filho, J.","26","2004","10","18",Southern America,Brasil,São Paulo,Campinas,Bosque dos Jequitibás.,-47.060001373291,-22.8999996185303,"23900","Árvore ca. 25m de altura; frutos verdes.; Floresta Estacional Semidecidual Submontana.",IPA0080569,NA,auto,NA,NA,NA,NA,"18",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.709194,-22.017139,"9",2020-07-06 14:42:33-03,UFCG,CSTR,"7217",PreservedSpecimen,Plantae,NA,Lauraceae,Ocotea,beulahiae,Ocotea beulahiae,Baitello,"Gomes, J.A.M.A.","2005","06","Gomes, J.A.M.A.; Filho, J.P.","86","2005","06","30",NA,Brasil,São Paulo,Campinas,Bosque dos Jequitibás,-47.709194,-22.017139,NA,"Árvore 12m alt; frutos maduros pretos; floresta estacional semidecidual submontana",NA,NA,NA,"-47.709194","-22.017139","681","681","30",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.9,-22.9,"10",2021-03-01 16:32:32-03,UNICAMP,UEC,"156106",S,Plantae,Magnoliopsida,Lauraceae,Ocotea,beulahiae,Ocotea beulahiae,Baitello,"Baitello, JB","2001",NA,"Santos, K","2322","2000","06","21",NA,Brazil,São Paulo,Campinas,Campinas / Itatiba. Mata Santa Helena.,-46.9,-22.9,NA,"Árvore semidecídua.&nf;Altura total: 13 m;&nf;altura do fuste: 6 m.&nf;PAP: 92 cm.",UEC067932,UEC067932,NA,"-46.9","-22.9",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.933333,-22.783333,"11",2021-03-01 16:32:32-03,UNICAMP,UEC,"156107",S,Plantae,Magnoliopsida,Lauraceae,Ocotea,beulahiae,Ocotea beulahiae,Baitello,"Baitello, JB","2001",NA,"Santos, K","3726","2000","12","18",NA,Brazil,São Paulo,Campinas,Campinas / Itatiba. Mata do Macuco.,-46.933333,-22.783333,NA,"Árvore semidecídua; zoocórica.&nf;Altura total: 12 m;&nf;altura do fuste: 5 m.&nf;PAP: 124 cm.&nf;Casca rugosa.",UEC067933,UEC067933,NA,"-46.933333","-22.783333",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.916667,-22.816667,"12",2021-03-01 16:32:32-03,UNICAMP,UEC,"156108",S,Plantae,Magnoliopsida,Lauraceae,Ocotea,beulahiae,Ocotea beulahiae,Baitello,"Baitello, JB","2001",NA,"Santos, K","1038","2000","02","03",NA,Brazil,São Paulo,Campinas,Campinas / Itatiba. Mata Ribeirão Cachoeira.,-46.916667,-22.816667,NA,"Árvore semidecídua zoocórica. &nf;Altura total: 10 m;&nf;altura do fuste: 8 m.&nf;PAP: 37 cm.&nf;Casca rugosa.",UEC067934,UEC067934,NA,"-46.916667","-22.816667",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.916667,-22.816667,"13",2021-03-01 16:32:32-03,UNICAMP,UEC,"156109",S,Plantae,Magnoliopsida,Lauraceae,Ocotea,beulahiae,Ocotea beulahiae,Baitello,"Baitello, JB","2001",NA,"Santos, K","1372","2000","05","07",NA,Brazil,São Paulo,Campinas,Campinas / Itatiba. Mata Ribeirão Cachoeira.,-46.916667,-22.816667,NA,"Árvore semidecídua zoocórica. &nf;Altura total: 17 m;&nf;altura do fuste: 10 m.&nf;PAP: 118 cm.&nf;Casca rugosa.",UEC067935,UEC067935,NA,"-46.916667","-22.816667",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.916667,-22.816667,"14",2021-03-01 16:32:32-03,UNICAMP,UEC,"156110",S,Plantae,Magnoliopsida,Lauraceae,Ocotea,beulahiae,Ocotea beulahiae,Baitello,"Baitello, JB","2001",NA,"Santos, K","770","1999","11","30",NA,Brazil,São Paulo,Campinas,Campinas / Itatiba. Mata Ribeirão Cachoeira.,-46.916667,-22.816667,NA,"Árvore semidecídua zoocórica. &nf;Altura total: 9 m;&nf;altura do fuste: 6 m.&nf;PAP: 52 cm.&nf;Casca rugosa.",UEC067936,UEC067936,NA,"-46.916667","-22.816667",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47,-22.783333,"15",2021-03-01 16:32:32-03,UNICAMP,UEC,"156111",S,Plantae,Magnoliopsida,Lauraceae,Ocotea,beulahiae,Ocotea beulahiae,Baitello,"Baitello, JB","2001",NA,"Santos, K","590","1999","10","06",NA,Brazil,São Paulo,Campinas,Campinas / Itatiba. Mata Furnas.,-47,-22.783333,NA,"Árvore semidecídua. &nf;Altura total: 8,5 m;&nf;altura do fuste: 8 m.&nf;PAP: 31 cm.&nf;Casca rugosa.",UEC067937,UEC067937,NA,"-47","-22.783333",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.916667,-22.833333,"16",2021-03-01 16:32:32-03,UNICAMP,UEC,"168919",S,Plantae,Magnoliopsida,Lauraceae,Ocotea,beulahiae,Ocotea beulahiae,Baitello,"Barbosa, TDM",NA,NA,"Vieira, LT; Sims","325","2006","07","25",NA,Brazil,São Paulo,Campinas,"Sousas, Mata Rieirão Cachoeira.",-46.916667,-22.833333,NA,"Plântula de árvore.; Floresta Estacional Semidecídua.",UEC053217,UEC053217,NA,"-46.916667","-22.833333","700","700",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.926111,-22.833056,"17",2021-03-01 16:32:32-03,UNICAMP,UEC,"173137",S,Plantae,Magnoliopsida,Lauraceae,Ocotea,beulahiae,Ocotea beulahiae,Baitello,"Cielo-Filho, R",NA,NA,"Garcia, LC","330","2009","06","03",NA,Brazil,São Paulo,Campinas,"Distrito de Souzas, Condomínio Colinas do Atibaia, Mata Ribeirão Cachoeira.",-46.926111,-22.833056,NA,"Árvore nativa de 22m, frutos maduros.; Mata Atlântica; Floresta Estacional Semidecídua.",UEC016229,UEC016229,NA,"-46.926111","-22.833056","711","711",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"19",2021-03-01 16:32:32-03,UNICAMP,UEC,"115477",S,Plantae,Magnoliopsida,Lauraceae,Ocotea,beulahiae,Ocotea beulahiae,Baitello,"Cielo-Filho, R",NA,NA,"Cielo-Filho, R; Batista, ER","74","1999","10","15",NA,Brazil,São Paulo,Campinas,Distrito de Sousas. Mata Ribeirão Cachoeira (Condomínio Colinas do Atibaia).,-47.060001373291,-22.8999996185303,"23900","Árvore de aproximadamente 10 m de altura, casca lisa. Indivíduo 48.",UEC061178,UEC061178,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"20",2021-03-01 16:32:32-03,UNICAMP,UEC,"192847",S,Plantae,Magnoliopsida,Lauraceae,Ocotea,beulahiae,Ocotea beulahiae,Baitello,"Brotto, ML","2018","09","Bertoni, JEA; Geremias, A","513","2001","06","13",NA,Brazil,São Paulo,Campinas,Fazenda Santa Elisa em frente S. Viticultura,-47.060001373291,-22.8999996185303,"23900","Árvore de 7à 8m, com frutos maduros marrons",UEC133498,UEC133498,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"21",2021-03-01 16:32:32-03,UNICAMP,UEC,"62096",S,Plantae,Magnoliopsida,Lauraceae,Ocotea,beulahiae,Ocotea beulahiae,Baitello,"Baitello, JB","1997","05","Bernacci, LC","25730","1990","08","03",NA,Brazil,São Paulo,Campinas,"Fazenda São Vicente.&nf;Interior da mata.",-47.060001373291,-22.8999996185303,"23900","Árvore ca. 8-10 m alt. Material vegetativo.; Mata mesófila semi-decídua.",UEC061170,UEC061170,auto,NA,NA,NA,NA,"22",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"22",2021-03-01 16:32:32-03,UNICAMP,UEC,"97756",S,Plantae,Magnoliopsida,Lauraceae,Ocotea,beulahiae,Ocotea beulahiae,Baitello,"Baitello, JB",NA,NA,"Santos, K","21","1996","08","17",NA,Brazil,São Paulo,Campinas,"Floresta estacional semidecidual, Sub- distrito de Sousas.",-47.060001373291,-22.8999996185303,"23900","Beira do riacho. Árvore 12 m de altura, PAP 81cm. Frutos verdes com cálice ligeiramente arroxeado.",UEC061174,UEC061174,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"23",2021-03-01 16:32:32-03,UNICAMP,UEC,"097756",S,Plantae,Magnoliopsida,Lauraceae,Ocotea,beulahiae,Ocotea beulahiae,Baitello,"Baitello, JB",NA,NA,"Santos, K","21","1996","08","17",NA,Brazil,São Paulo,Campinas,"Floresta estacional semidecidual, Sub- distrito de Sousas.",-47.060001373291,-22.8999996185303,"23900","Beira do riacho. Árvore 12 m de altura, PAP 81cm. Frutos verdes com cálice ligeiramente arroxeado.",NA,NA,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"24",2021-03-01 16:32:32-03,UNICAMP,UEC,"97761",S,Plantae,Magnoliopsida,Lauraceae,Ocotea,beulahiae,Ocotea beulahiae,Baitello,"Baitello, JB",NA,NA,"Santos, K","78","1996","10","04",NA,Brazil,São Paulo,Campinas,Sub-distrito de Sousas.,-47.060001373291,-22.8999996185303,"23900","Árvore 15 m de altura, PAP 94 cm, Frutos velhos.; Floresta Estacional Semidecidual.",UEC061172,UEC061172,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.042222,-22.801111,"26",2020-06-29 09:30:36-03,UFRRJ,RBR,"44505",S,Plantae,NA,Lauraceae,Ocotea,beulahiae,Ocotea beulahiae,J.B. Baitello,"J.A.M.A. Gomes, J. Pena-Filho","2005","06","J.A.M.A. Gomes; J. Pena-Filho","86","2005","06","30",NA,Brasil,São Paulo,Campinas,Bosque dos Jequitibás.,-47.042222,-22.801111,NA,NA,RBR00044505,NA,NA,47º2'32''W,22º48'4''S,"681","681","30",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
