"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus","sex"
"43","2021-03-15 16:37:00-03","NY","NYBG","00909485","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia glandulifera","A. Macedo","2521","1950","08","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981976' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909485","Magnoliophyta","Malpighiales","Nied.","E. Asplund","Minas Gerais",NA,"NY00909485_01","Ituiutaba","-49.465","-18.9692",NA,NA,"glandulifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","00909489","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","J. M. Pires","16629","1978","08","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982006' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909489","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","Goiás","Entre Porangatú e Gurupí.","NY00909489_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-03-15 16:37:00-03","NY","NYBG","475791","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","H. S. Irwin","7228","1964","10","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=403930' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475791","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","Goiás","Old sandstone talus ca. 48 km S. of Caiaponia on road to Jataí","NY00475791_01","Caiapônia","-51.78","-17.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2021-03-15 16:37:00-03","NY","NYBG","00909491","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","R. Kral","75446","1988","11","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982017' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909491","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","Minas Gerais","Near sandrock summit of Morro do Chapeau W of Cristalia.","NY00909491_01",NA,NA,NA,"1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2021-03-15 16:37:00-03","NY","NYBG","00909496","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","G. Martinelli","11251","1985","07","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982046' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909496","Magnoliophyta","Malpighiales","A.Juss.",NA,"Minas Gerais","Estrada para Betumirim, entre Cristália e Membucas, 3 km de Cristália.","NY00909496_01","Grão Mogol","-42.8894","-16.5594","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2021-03-15 16:37:00-03","NY","NYBG","00909497","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","R. S. Santos","24374","1963","09","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982083' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909497","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","Minas Gerais","Pirapora a Montes Claros.","NY00909497_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2021-03-15 16:37:00-03","NY","NYBG","00909479","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","R. Goodland","803","1967",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981962' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909479","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","Minas Gerais","Triángulo region.","NY00909479_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2021-03-15 16:37:00-03","NY","NYBG","00909483","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","A. F. M. Glaziou","20763",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981972' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909483","Magnoliophyta","Malpighiales","A.Juss.",NA,"Goiás",NA,"NY00909483_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2021-03-15 16:37:00-03","NY","NYBG","00909481","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","P. W. Richards","6491","1968","07","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981967' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909481","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","Mato Grosso","Fazenda Patizal, nr. São Félix.","NY00909481_01","São Félix do Araguaia","-50.6692","-11.6172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2021-03-15 16:37:00-03","NY","NYBG","02796057","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","J. G. Jardim","4118","2003","01","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2474914' target='other'> <mi>dwc_moreinfo</mi></a>","NY02796057","Magnoliophyta","Malpighiales","A.Juss.","M. C. H. Mamede","Bahia","Rod. Camacã para Potiraguá ca. 18,5 km SW de Camacã. Margem do Rio Barras do Rio Pardo.","NY02796057_01","Camacan","-39.49528","-15.5565",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2021-03-15 16:37:00-03","NY","NYBG","00909488","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","G. C. G. Argent","6549","1967","09","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981997' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909488","Magnoliophyta","Malpighiales","A.Juss.",NA,"Mato Grosso","c. 6 km S. of Xavantina.","NY00909488_01",NA,"-52.23","-14.63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2021-03-15 16:37:00-03","NY","NYBG","00909494","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","J. A. Ratter","R.3513","1976","09","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982029' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909494","Magnoliophyta","Malpighiales","A.Juss.",NA,"Distrito Federal","Fazenda Agua Limpa (University of Brasília field station), near Vargem Bonita, c. 18 km SSW of Brasília TV tower. Just south of the junction of the stream which descends from the Olho de Agua da Onça and the Córrego Taquara.","NY00909494_01","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","2021-03-15 16:37:00-03","NY","NYBG","00909487","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","M. L. Kawasaki","7560","1981","10","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981986' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909487","Magnoliophyta","Malpighiales","A.Juss.","M. C. H. Mamede","Minas Gerais","Km [blank] ao longo da rodovia Belo Horizonte - Conceição do Mato Dentro.","NY00909487_01","Santana do Riacho","-43.7142","-19.1692",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2021-03-15 16:37:00-03","NY","NYBG","01856618","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","B. A. Krukoff","8475","1936","09","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2072207' target='other'> <mi>dwc_moreinfo</mi></a>","NY01856618","Magnoliophyta","Malpighiales","A.Juss.",NA,"Amazonas","Basin of Rio Solimoes, near Palmares.","NY01856618_01","São Paulo de Olivença","-69.5048332","-4.696879",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2021-03-15 16:37:00-03","NY","NYBG","00909478","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","H. S. Irwin","16869","1966","06","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981960' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909478","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","Mato Grosso","Ca. 15 km. S. of Xavantina. Drainage of the Upper Rio Araguaia.","NY00909478_01",NA,"-52.32","-14.82","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","2021-03-15 16:37:00-03","NY","NYBG","475790","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","R. Goodland","46","1965","09","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=403932' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475790","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","São Paulo","Emas","NY00475790_01","Pirassununga","-47.370228","-21.932532",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2021-03-15 16:37:00-03","NY","NYBG","00909493","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","J. A. Ratter","R.452","1967","08","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982025' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909493","Magnoliophyta","Malpighiales","A.Juss.",NA,"Mato Grosso","1 km S. of Xavantina.","NY00909493_01","Nova Xavantina","-52.33","-14.73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2021-03-15 16:37:00-03","NY","NYBG","475787","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","G. Eiten","2218","1960","09","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=403937' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475787","Magnoliophyta","Malpighiales","A.Juss.","H. S. Irwin","São Paulo","Campos das Sete lagôas. Fazenda Campininha, just north of Rio Moji-Guaçu. 4.6 km NNW of Padua Sales. (About 27 km NW of city of Moji-Mirim)","NY00475787_01","Moji-Guaçu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2021-03-15 16:37:00-03","NY","NYBG","00909482","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","P. W. Richards","34559","1974","07","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981970' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909482","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","Minas Gerais","Rod BR-153.","NY00909482_01","Frutal","-48.9406","-20.0247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","2021-03-15 16:37:00-03","NY","NYBG","475784","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","G. G. Hatschbach","27106","1971","10","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=403931' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475784","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","Paraná","Morro pelado","NY00475784_01","Sengés","-49.4633","-24.1131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","2021-03-15 16:37:00-03","NY","NYBG","00909484","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","D. R. Hunt","5938","1966","06","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981974' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909484","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","Mato Grosso","Xavantina road, 25 km from Xavantina.","NY00909484_01","Barra do Garças","-52.2567","-15.8903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","2021-03-15 16:37:00-03","NY","NYBG","00909480","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","R. Goodland","982","1967",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981965' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909480","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","Minas Gerais","Triángulo region.","NY00909480_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","2021-03-15 16:37:00-03","NY","NYBG","00998264","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","I. Cordeiro","CFCR11618","1987","11","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1205339' target='other'> <mi>dwc_moreinfo</mi></a>","NY00998264","Magnoliophyta","Malpighiales","A.Juss.","R. Volpi","Minas Gerais","Serra do Cabral. Estrada para Torre de TV.","NY00998264_01","Joaquim Felício","-44.18","-17.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","2021-03-15 16:37:00-03","NY","NYBG","00909477","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","H. S. Irwin","13591","1966","03","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981957' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909477","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","Goiás","Serra dos Cristais, ca. 15 km W. of Cristalina, on road to Catalão","NY00909477_01","Cristalina","-47.74068","-16.75","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2021-03-15 16:37:00-03","NY","NYBG","00909492","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","M","s.n.","1966","09","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982022' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909492","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","Distrito Federal","Pipiripau.","NY00909492_01","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2021-03-15 16:37:00-03","NY","NYBG","00909486","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","J. R. Pirani","6569","1982","08","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981981' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909486","Magnoliophyta","Malpighiales","A.Juss.","M. C. H. Mamede","Minas Gerais","Km 117 ao longo da rodovia Belo Horizonte - Conceição do Mato Dentro. Faz. Serra do Cipó.","NY00909486_01","Santana do Riacho","-43.7142","-19.1692",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","2021-03-15 16:37:00-03","NY","NYBG","00909490","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","J. M. Pires","16629","1978","08","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982013' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909490","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","Goiás","Entre Porangatú e Gurupí.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2021-03-15 16:37:00-03","NY","NYBG","00909495","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","W. R. Anderson","12410","1982","02","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982038' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909495","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","Goiás","20 km N of Jataí on road to Caiapônia.","NY00909495_01","Jataí","-51.7142","-17.8817",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","2021-03-15 16:37:00-03","NY","NYBG","475789","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","G. Eiten","2377","1960","09","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=403936' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475789","Magnoliophyta","Malpighiales","A.Juss.","J. J. Wurdack","São Paulo","Campos das Sete lagôas. Fazenda Campininha, just north of Rio Moji-Guaçu. 10 km NNE of Padua Sales. (About 27 km NW of city of Moji-Mirim)","NY00475789_01","Moji-Guaçu","-47.142","-22.271","650","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2021-03-15 16:37:00-03","NY","NYBG","475786","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","G. Eiten","2376","1960","09","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=403935' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475786","Magnoliophyta","Malpighiales","A.Juss.","J. J. Wurdack","São Paulo","Campos das Sete lagôas. Fazenda Campininha, just north of Rio Moji-Guaçu. 10 km NNE of Padua Sales. (About 27 km NW of city of Moji-Mirim)","NY00475786_01","Moji-Guaçu","-47.142","-22.271","650","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","2021-03-15 16:37:00-03","NY","NYBG","475788","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","G. Eiten","2236","1960","09","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=403933' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475788","Magnoliophyta","Malpighiales","A.Juss.","J. J. Wurdack","São Paulo","Campos das Sete lagôas. Fazenda Campininha, just north of Rio Moji-Guaçu. 10 km NNE of Padua Sales. (About 27 km NW of city of Moji-Mirim)","NY00475788_01","Moji-Guaçu","-47.142","-22.271","650","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","2021-03-15 16:37:00-03","NY","NYBG","475785","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","G. Eiten","2376","1960","09","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=403934' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475785","Magnoliophyta","Malpighiales","A.Juss.","J. J. Wurdack","São Paulo","Campos das Sete lagôas. Fazenda Campininha, just north of Rio Moji-Guaçu. 10 km NNE of Padua Sales. (About 27 km NW of city of Moji-Mirim)","NY00475785_01","Moji-Guaçu","-47.142","-22.271","650","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","2021-03-15 16:37:00-03","NY","NYBG","00909485","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia glandulifera","A. Macedo","2521","1950","08","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981976' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909485","Magnoliophyta","Malpighiales","Nied.","E. Asplund","Minas Gerais",NA,"NY00909485_01","Ituiutaba","-49.465","-18.9692",NA,NA,"glandulifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","2020-01-28 13:11:22-03","MCN-PUC-MINAS","HPUC-MG","ANG1120","S","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","R.Rodrigues da Silva et al.","918","2003","09","30",NA,"Brasil",NA,NA,"Com flores amarelas.",NA,NA,NA,NA,"L.C.Milhomens","Brasilia","EEJBB",NA,"Distrito Federal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","2020-01-28 13:11:22-03","MCN-PUC-MINAS","HPUC-MG","ANG4072","S","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","M.Valentina W.","19",NA,NA,NA,NA,"Brasil",NA,NA,"Botões florais marrons. Flor amarela. Altura 5 m. UTM: 7755024 x; 594142 y.",NA,NA,NA,NA,"M.Valentina W.","Minas Gerais",NA,NA,"Nova Lima","-43.966944","-20.208611","1.4","1.4",NA,"43º58'01''W","20°12'31''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
