"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","individualCount","fieldNumber","typeStatus"
"16","2021-03-15 16:37:00-03","NY","NYBG","497163","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Linaceae","Linum","littorale","littorale","Linum littorale littorale","A.St.-Hil.","J. R. McDill","R. M. Harley","26923","1988","11","19","South America","Brazil","Bahia","Barra da Estiva","Morro do Ouro. 9 km ao S da cidade na estrada para Ituaçú","-41.3","-13.7","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282275' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497163","NY00497163_01","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","497171","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Linaceae","Linum","littorale","littorale","Linum littorale littorale","A.St.-Hil.","J. R. McDill","R. Reitz","983","1953","09","24","South America","Brazil","Santa Catarina","Palhoça","Campo do Massiambu, Palhoça","-48.62515","-27.834087","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282278' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497171","NY00497171_01","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","497170","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Linaceae","Linum","littorale","littorale","Linum littorale littorale","A.St.-Hil.","J. R. McDill","P. K. H. Dusén","10863","1910","11","29","South America","Brazil","Paraná","Ponta Grossa","Desvio Ribas","-50.1617","-25.095","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282271' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497170","NY00497170_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","497177","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Linaceae","Linum","littorale","oblongifolium","Linum littorale oblongifolium","(Urb.) C.M.Rogers","G. G. Hatschbach","G. G. Hatschbach","22809","1969","11","01","South America","Brazil","Paraná","Balsa Nova","Serra S'Ana","-49.6356","-25.5842","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=635789' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497177","NY00497177_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","497173","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Linaceae","Linum","littorale","littorale","Linum littorale littorale","A.St.-Hil.","J. R. McDill","L. B. Smith","8262","1956","12","04","South America","Brazil","Santa Catarina","Curitibanos","Between ponte Alta and Curitibanos","-50.5842","-27.2831","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282279' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497173","NY00497173_01","800","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","497169","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Linaceae","Linum","littorale","littorale","Linum littorale littorale","A.St.-Hil.","J. R. McDill","B. Rambo","34959","1947","01","05","South America","Brazil","Rio Grande do Sul","Bom Jesus","Fazenda B. Velho, Bom Jesus","-50.388347","-28.558459","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282276' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497169","NY00497169_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","497167","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Linaceae","Linum","littorale","littorale","Linum littorale littorale","A.St.-Hil.","J. R. McDill","L. B. Smith","13534","1964","12","04","South America","Brazil","Santa Catarina","Agua Doce","Campos de Palmas, 10 km south of Horizonte (Paraná)","-51.62","-26.67","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282272' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497167","NY00497167_01","1100","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","497165","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Linaceae","Linum","littorale","littorale","Linum littorale littorale","A.St.-Hil.","J. R. McDill","R. M. Harley","15529","1974","01","28","South America","Brazil","Bahia",NA,"Serra do Sincorá. Ca. 6 km. N. of Barra da Estiva on Ibicoara road","-41.3","-13.58","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282277' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497165","NY00497165_01","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","497172","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Linaceae","Linum","littorale","littorale","Linum littorale littorale","A.St.-Hil.","J. R. McDill","L. B. Smith","10166","1957","01","16","South America","Brazil","Santa Catarina","Sao Joaquim","Source of Rio Capivaras, Serra do Oratório, 10 km east of Bom Jardim da Serra (Cambajuva)","-49.9317","-28.2942","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282280' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497172","NY00497172_01","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","497166","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Linaceae","Linum","littorale","littorale","Linum littorale littorale","A.St.-Hil.","J. R. McDill","C. M. Rogers","13428","1969","12","15","South America","Brazil","Rio de Janeiro",NA,"Near shore of lake Ararauma",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282284' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497166","NY00497166_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","497176","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Linaceae","Linum","littorale","oblongifolium","Linum littorale oblongifolium","(Urb.) C.M.Rogers","G. G. Hatschbach","E. P. dos Santos","269","1996","11","23","South America","Brazil","Paraná","Guaratuba","Serra de Araçatuba","-48.58","-25.88","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=635790' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497176","NY00497176_01","1400","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","497168","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Linaceae","Linum","littorale","littorale","Linum littorale littorale","A.St.-Hil.","J. R. McDill","L. B. Smith","15526","1971","11","30","South America","Brazil","Santa Catarina","Matos Costa","West of Matos Costa","-51.1481","-26.4733","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282274' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497168","NY00497168_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","497162","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Linaceae","Linum","littorale","littorale","Linum littorale littorale","A.St.-Hil.","J. R. McDill","R. M. Harley","26954","1988","11","19","South America","Brazil","Bahia","Barra da Estiva","Morro do Ouro. 9 km ao S da cidade na estrada para Ituaçú","-41.3","-13.7","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282283' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497162","NY00497162_01","1100","1600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","497174","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Linaceae","Linum","littorale","littorale","Linum littorale littorale","A.St.-Hil.","J. R. McDill","L. Riedel","5","1825","09",NA,"South America","Brazil","São Paulo",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282281' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497174","NY00497174_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","1747466","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Linaceae","Linum","littorale","oblongifolium","Linum littorale oblongifolium","(Urb.) C.M.Rogers","J. R. McDill","W. R. Anderson","35878","1972","02","12","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, eastern slopes of Pico do Itambé","-43.392","-18.43185","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2004805' target='other'> <mi>dwc_moreinfo</mi></a>","NY01747466","NY01747466_01","1550","1550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","497175","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Linaceae","Linum","littorale","littorale","Linum littorale littorale","A.St.-Hil.","J. R. McDill","L. Riedel","s.n.","1835",NA,NA,"South America","Brazil","Rio de Janeiro","Cabo Frio","Cabo Frio","-42.032149","-22.874703","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282282' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497175","NY00497175_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","497164","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Linaceae","Linum","littorale","littorale","Linum littorale littorale","A.St.-Hil.","J. R. McDill","R. M. Harley","20916","1980","03","24","South America","Brazil","Bahia",NA,"Serra do Sincorá. N.W. face of Serra de Ouro, to the East of the Barra da Estiva - Ituaçú road, about 9 km S. of Barra da Estiva","-41.27","-13.7","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282273' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497164","NY00497164_01","1300","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","497163","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Linaceae","Linum","littorale","littorale","Linum littorale littorale","A.St.-Hil.","J. R. McDill","R. M. Harley","26923","1988","11","19","South America","Brazil","Bahia","Barra da Estiva","Morro do Ouro. 9 km ao S da cidade na estrada para Ituaçú","-41.3","-13.7","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282275' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497163","NY00497163_01","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","497171","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Linaceae","Linum","littorale","littorale","Linum littorale littorale","A.St.-Hil.","J. R. McDill","R. Reitz","983","1953","09","24","South America","Brazil","Santa Catarina","Palhoça","Campo do Massiambu, Palhoça","-48.62515","-27.834087","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282278' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497171","NY00497171_01","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-11-13 09:20:05-03","UFRJ","RFA","8202","PreservedSpecimen","Plantae",NA,NA,"Linaceae","Linum","littorale",NA,"Linum littorale","A. St.-Hil.",NA,"P. Occhioni",NA,"1966","11","09",NA,"Brasil","Paraná","Ponta Grossa","Parque Estadual de Vila Velha","-50.1618995666504","-25.0949993133545",NA,"Flor amarela","RFA52824",NA,NA,NA,"46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-11-13 09:20:05-03","UFRJ","RFA","13675","PreservedSpecimen","Plantae",NA,NA,"Linaceae","Linum","littorale",NA,"Linum littorale","A. St.-Hil.","L. Dombrowski","L. Dombrowski; Y. Saito",NA,"1964","11",NA,NA,"Brasil","Paraná","Curitiba","Campos do Capão da Imbuia","-49.2731018066406","-25.4277992248535",NA,"Frequente","RFA52823",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-11-13 09:20:05-03","UFRJ","RFA","8202","PreservedSpecimen","Plantae",NA,NA,"Linaceae","Linum","littorale",NA,"Linum littorale","A. St.-Hil.",NA,"P. Occhioni",NA,"1966","11","09",NA,"Brasil","Paraná","Ponta Grossa","Parque Estadual de Vila Velha","-50.1618995666504","-25.0949993133545",NA,"Flor amarela","RFA52824",NA,NA,NA,"46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-11-13 09:20:05-03","UFRJ","RFA","13675","PreservedSpecimen","Plantae",NA,NA,"Linaceae","Linum","littorale",NA,"Linum littorale","A. St.-Hil.","L. Dombrowski","L. Dombrowski; Y. Saito",NA,"1964","11",NA,NA,"Brasil","Paraná","Curitiba","Campos do Capão da Imbuia","-49.2731018066406","-25.4277992248535",NA,"Frequente","RFA52823",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-04-08 17:42:19-03","EAO","IAN","41518","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Linaceae","Linum","littorale",NA,"Linum littorale","A.St.-Hil.",NA,"Saint-Hilaire","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN041518",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-04-08 17:42:19-03","EAO","IAN","41518","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Linaceae","Linum","littorale",NA,"Linum littorale","A.St.-Hil.",NA,"Saint-Hilaire","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN041518",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-10-09 11:18:21-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Linaceae","Linum","littorale","oblongifolium","Linum littorale oblongifolium","(Urb.) Rogers","Hatschbach, G","Silva, JM; Barbosa, E; Cruz, JM","2667","1998","12","01","Southern America","Brasil","Paraná","Guaratuba","Serra do Araçatuba","-48.5746994018555","-25.8827991485596",NA,"Ereta, 30cm. Flor amarela.",NA,NA,NA,NA,"41937","auto","1999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-10-09 11:18:21-03","UFBA","ALCB","043319","PreservedSpecimen","Plantae","Dicotyledon",NA,"Linaceae","Linum","littorale","oblongifolium","Linum littorale oblongifolium","(Urb.) Rogers","Haschbach, G","Silva, JM; Barbosa, E; Cruz, JM","2667","1998","12","01","Southern America","Brasil","Paraná","Guaratuba","Serra do Araçatuba","-48.5746994018555","-25.8827991485596",NA,"Ereta, 30 cm, flor amarela. Campo de altitude.","ALCB054880",NA,NA,NA,"41937","auto","1999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-10-09 11:18:21-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Linaceae","Linum","littorale","oblongifolium","Linum littorale oblongifolium","(Urb.) Rogers","Hatschbach, G","Silva, JM; Barbosa, E; Cruz, JM","2667","1998","12","01","Southern America","Brasil","Paraná","Guaratuba","Serra do Araçatuba","-48.5746994018555","-25.8827991485596",NA,"Ereta, 30cm. Flor amarela.",NA,NA,NA,NA,"41937","auto","1999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2019-10-09 11:18:21-03","UFBA","ALCB","043319","PreservedSpecimen","Plantae","Dicotyledon",NA,"Linaceae","Linum","littorale","oblongifolium","Linum littorale oblongifolium","(Urb.) Rogers","Haschbach, G","Silva, JM; Barbosa, E; Cruz, JM","2667","1998","12","01","Southern America","Brasil","Paraná","Guaratuba","Serra do Araçatuba","-48.5746994018555","-25.8827991485596",NA,"Ereta, 30 cm, flor amarela. Campo de altitude.","ALCB054880",NA,NA,NA,"41937","auto","1999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-02-08 09:54:34-03","NBC","NL-BOTANY","AMD.87591","PreservedSpecimen","Plantae",NA,"Malpighiales","Linaceae","Linum","littorale",NA,"Linum littorale","A.St.-Hil.",NA,"Herter",NA,NA,NA,NA,"Southern America","Uruguay",NA,NA,"Plantae Uruguayenses. Dep. de Artigas. Catalan.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.87591 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-AMD87591","NL-AMD87591",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-02-08 09:54:34-03","NBC","NL-BOTANY","L.2016776","PreservedSpecimen","Plantae",NA,"Malpighiales","Linaceae","Linum","littorale",NA,"Linum littorale","A.St.-Hil.",NA,"Ule EHG",NA,"1906","10","01","Southern America","Brazil",NA,NA,"Campos bei Maracás. Estado de Bahia.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2016776 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2016776","NL-L2016776",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
