X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,locality,preparationType,occurrenceRemarks,barcode,imagecode,yearIdentified,monthIdentified,dayIdentified,county,decimalLongitude,decimalLatitude,coordinatePrecision,geoFlag,verbatimLongitude,verbatimLatitude,class,individualCount,typeStatus,fieldNumber,minimumElevationInMeters,maximumElevationInMeters,NM_MUNICIP,CD_GEOCMU
-46.7799987792969,-24.1800003051758,"7",2021-03-01 16:41:04-03,UNICAMP,UEC,"48658",S,Plantae,Magnoliopsida,NA,Sapindaceae,Urvillea,glabra,Urvillea glabra,Cambess.,"Ferrucci, MS","Souza, VC; Souza, JP; Ivanauskas, NM; Duarte, AR; Eterovic, A; Marques, OAV","11033","1996","04","12",NA,Brazil,São Paulo,Ilha da Queimada Grande.,NA,"Trepadeira, flores alvas.; Beira de mata.",UEC063924,UEC063924,"2003",NA,NA,Itanhaém,-46.7799987792969,-24.1800003051758,"26998",auto,NA,NA,NA,NA,NA,NA,NA,NA,ITANHAÉM,"3522109"
-46.7799987792969,-24.1800003051758,"33",2019-11-13 11:31:43-03,USP,SPF,"116551",PreservedSpecimen,Plantae,NA,NA,Sapindaceae,Urvillea,glabra,Urvillea glabra,Cambess.,"Ferrucci, MS","Souza, VC","11033","1996","04","11",NA,Brasil,São Paulo,Ilha da Queimada Grande,NA,NA,SPF00116551,NA,"2007",NA,NA,Itanhaém,-46.7799987792969,-24.1800003051758,"26998",auto,NA,NA,NA,NA,NA,NA,NA,NA,ITANHAÉM,"3522109"
-46.416667,-23.883333,"44",2017-09-11 17:14:01-03,UnB,HBVIRTFLBRAS,NA,O,Plantae,NA,NA,Sapindaceae,Urvillea,glabra,Urvillea glabra,Cambess.,NA,"Burchell, WJ","3583","1826","12","13",Southern America,Brazil,São Paulo,"IBB/Cubatão, SP, in the lower part , about 1/3 , of the ascent up the Serra de Cubatão",NA,NA,NA,NA,NA,NA,NA,Cubatão,-46.416667,-23.883333,NA,NA,"-46.416667","-23.883333",NA,NA,NA,NA,NA,NA,CUBATÃO,"3513504"
-46.7799987792969,-24.1800003051758,"47",2019-11-21 10:19:13-03,IBt,SP,"301755",S,Plantae,NA,NA,Sapindaceae,Urvillea,glabra,Urvillea glabra,Cambess.,"Ferrucci, MS","Souza, VC; et al.","11033","1996","04",NA,NA,Brasil,São Paulo,Ilha da Queimada Grande,NA,NA,SP047642,SP047642,"2003",NA,NA,Itanhaém,-46.7799987792969,-24.1800003051758,"26998",auto,NA,NA,NA,NA,NA,NA,NA,NA,ITANHAÉM,"3522109"
-46.5299987792969,-23.6599998474121,"48",2019-11-21 10:19:13-03,IBt,SP,"10487",S,Plantae,NA,NA,Sapindaceae,Urvillea,glabra,Urvillea glabra,Cambess.,"Radlkofer, L","Usteri, A",s.n.,"1907","01","06",NA,Brasil,São Paulo,Alto da Serra,NA,NA,SP047643,SP047643,NA,NA,NA,Santo André,-46.5299987792969,-23.6599998474121,"27258",auto,NA,NA,NA,NA,NA,NA,NA,NA,SANTO ANDRÉ,"3547809"
-46.5299987792969,-23.6599998474121,"49",2019-11-21 10:19:13-03,IBt,SP,"160288",S,Plantae,NA,NA,Sapindaceae,Urvillea,glabra,Urvillea glabra,Cambess.,"Kirizawa, M","Custodio Filho, A","45","1979","07","03",NA,Brasil,São Paulo,"E.B. do Alto da Serra de Paranapiacaba, Picada 7.",NA,NA,SP047641,SP047641,"1991","04","24",Santo André,-46.5299987792969,-23.6599998474121,"27258",auto,NA,NA,NA,NA,NA,NA,"750","800",SANTO ANDRÉ,"3547809"
