X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,occurrenceRemarks,barcode,imagecode,phylum,order,typeStatus,continentOcean,minimumElevationInMeters,maximumElevationInMeters,preparationType,yearIdentified,monthIdentified,dayIdentified,class,coordinatePrecision,geoFlag,fieldNumber,individualCount,infraspecificEpithet,previousCatalogNumber,NM_MUNICIP,CD_GEOCMU
-46.618358,-23.646109,"5",2021-03-15 16:37:00-03,NY,NYBG,"615924",PreservedSpecimen,Plantae,Myrtaceae,Myrceugenia,rufescens,Myrceugenia rufescens,DC.,J. Mattos,F. C. Hoehne,s.n.,"1931","09","28",Brazil,São Paulo,Sao Paulo,Sao Paulo (Capital) nativa no Jardim Botanico,-46.618358,-23.646109,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=715110' target='other'> <mi>dwc_moreinfo</mi></a>,NY00615924,NY00615924_01,Magnoliophyta,Myrtales,NA,South America,NA,NA,sheet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.621883,-23.654505,"6",2021-03-15 16:37:00-03,NY,NYBG,"615921",PreservedSpecimen,Plantae,Myrtaceae,Myrceugenia,rufescens,Myrceugenia rufescens,DC.,NA,W. Hoehne,s.n.,"1944","09","12",Brazil,São Paulo,Sao Paulo,Parque do Estado de S. P.,-46.621883,-23.654505,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=715111' target='other'> <mi>dwc_moreinfo</mi></a>,NY00615921,NY00615921_01,Magnoliophyta,Myrtales,NA,South America,NA,NA,sheet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.740323,-23.364522,"25",2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0043457,PreservedSpecimen,Plantae,Myrtaceae,Myrceugenia,rufescens,Myrceugenia rufescens,(DC.) D.Legrand & Kausel,L. R. Landrum,W. Hoehne,"1881","1945","10","5",Brazil,Sao Paulo,NA,Caieiras,-46.740323,-23.364522,NA,NA,"PHOTO-MICH; Arbusto",NA,NA,Magnoliophyta,Myrtales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAIEIRAS,"3509007"
-46.9099998474121,-23.6000003814697,"38",2021-03-01 16:36:31-03,UNICAMP,UEC,"188714",S,Plantae,Myrtaceae,Myrceugenia,rufescens,Myrceugenia rufescens,(A.DC.) D.Legrand & Kausel,"Bernacci, LC","Bernacci, LC; Árbocz, GF; et al.",IAC41027,"2001","01","11",Brazil,São Paulo,Cotia,"Caucaia do Alto, Fazenda próximo ao Beto Borracheiro, na borda da mata.",-46.9099998474121,-23.6000003814697,NA,NA,Árvore ca. 8 m de alt. frutos imaturos,UEC126682,UEC126682,Magnoliopsida,NA,NA,NA,NA,NA,NA,"2003","01",NA,NA,"23869",auto,NA,NA,NA,NA,COTIA,"3513009"
-46.9099998474121,-23.6000003814697,"39",2021-03-01 16:36:31-03,UNICAMP,UEC,"188753",S,Plantae,Myrtaceae,Myrceugenia,rufescens,Myrceugenia rufescens,(A.DC.) D.Legrand & Kausel,"Souza, GM; Bernacci, LC","Bernacci, LC; Durigan, G",IAC40375,"2001","04","26",Brazil,São Paulo,Cotia,"Caucaia do Alto, Fragmento da Tereza, próxima a borda da mata.",-46.9099998474121,-23.6000003814697,NA,NA,"Arvoreta, ca. 4 m alt. Frutos fungados.",UEC126697,UEC126697,Magnoliopsida,NA,NA,NA,NA,NA,NA,"2003","10",NA,NA,"23869",auto,NA,NA,NA,NA,COTIA,"3513009"
-46.1883010864258,-23.5228004455566,"44",2021-03-16 17:53:57-03,UCS,HUCS,"38719",PreservedSpecimen,Plantae,Myrtaceae,Myrceugenia,rufescens,Myrceugenia rufescens,(DC.) Legrand & Kausel,"Molz, M.","Mattos, N.","278","1960","10","19",Brasil,São Paulo,Mogi das Cruzes,NA,-46.1883010864258,-23.5228004455566,NA,NA,"frutos imaturos 2,5m - HAS 76616",NA,NA,Angiospermae,Myrtales,NA,NA,NA,NA,NA,"2017","08","15",NA,"28666",auto,NA,NA,NA,NA,MOGI DAS CRUZES,"3530607"
-46.1883010864258,-23.5228004455566,"50",2020-12-21 16:37:04-03,MBM,MBM,"35148",PreservedSpecimen,Plantae,Myrtaceae,Myrceugenia,rufescens,Myrceugenia rufescens,(DC.) D.Legrand & Kausel,NA,"Nilsa; Mattos; Mattos","8","1960",NA,NA,Brazil,São Paulo,Mogi das Cruzes,Mogi das Cruzes,-46.1883010864258,-23.5228004455566,NA,NA,NA,MBM035148,MBM035148,NA,NA,NA,Southern America,NA,NA,NA,NA,NA,NA,NA,"28666",auto,NA,NA,NA,NA,MOGI DAS CRUZES,"3530607"
-46.560001373291,-23.6900005340576,"51",2020-12-21 16:37:04-03,MBM,MBM,"41358",PreservedSpecimen,Plantae,Myrtaceae,Myrceugenia,rufescens,Myrceugenia rufescens,(DC.) D.Legrand & Kausel,"Mattos, J.","Brade, A.C.","7407",NA,NA,NA,Brazil,São Paulo,São Bernardo do Campo,São Bernardo do Campo,-46.560001373291,-23.6900005340576,NA,NA,NA,MBM041358,MBM041358,NA,NA,NA,Southern America,NA,NA,NA,NA,NA,NA,NA,"31119",auto,NA,NA,NA,NA,SÃO BERNARDO DO CAMPO,"3548708"
-46.6300010681152,-23.5400009155273,"52",2020-12-21 16:37:04-03,MBM,MBM,"41362",PreservedSpecimen,Plantae,Myrtaceae,Myrceugenia,rufescens,Myrceugenia rufescens,(DC.) D.Legrand & Kausel,"Mattos, J.","Hoehne, F.C.",s.n.,"1931","09","28",Brazil,São Paulo,São Paulo,São Paulo,-46.6300010681152,-23.5400009155273,NA,NA,NA,MBM041362,MBM041362,NA,NA,NA,Southern America,NA,NA,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.1883010864258,-23.5228004455566,"57",2020-12-21 16:37:04-03,MBM,MBM,"232269",PreservedSpecimen,Plantae,Myrtaceae,Myrceugenia,rufescens,Myrceugenia rufescens,(DC.) D.Legrand & Kausel,"Mattos, J.R.","Mattos, N.","8","1960","08","28",Brazil,São Paulo,Mogi das Cruzes,Mogi das Cruzes,-46.1883010864258,-23.5228004455566,NA,NA,NA,MBM232269,NA,NA,NA,NA,Southern America,NA,NA,NA,NA,NA,NA,NA,"28666",auto,NA,NA,NA,NA,MOGI DAS CRUZES,"3530607"
