X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,barcode,imagecode,phylum,order,continentOcean,preparationType,occurrenceRemarks,coordinatePrecision,geoFlag,yearIdentified,monthIdentified,dayIdentified,class,typeStatus,relationshipType,relatedCatalogItem,infraspecificEpithet,individualCount,fieldNumber,previousCatalogNumber,NM_MUNICIP,CD_GEOCMU
-46.63,-23.5403,"5",2021-03-15 16:37:00-03,NY,NYBG,"678662",PreservedSpecimen,Plantae,Dicksoniaceae,Dicksonia,sellowiana,Dicksonia sellowiana,Hook.,C. V. Morton,G. Eiten,"2177","1960","07","18",Brazil,São Paulo,Sao Paulo,"About 10 km due north of center of São Paulo (Praça da Sé). Serra da Cantareira, near top.",-46.63,-23.5403,NA,NA,"1200","1200",NY00678662,NA,Pteridophyta,Cyatheales,South America,wood sample,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=810449' target='other'> <mi>dwc_moreinfo</mi></a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.63,-23.5403,"28",2021-03-15 16:37:00-03,NY,NYBG,"678636",PreservedSpecimen,Plantae,Dicksoniaceae,Dicksonia,sellowiana,Dicksonia sellowiana,Hook.,C. V. Morton,G. Eiten,"2177","1960","07","18",Brazil,São Paulo,Sao Paulo,"About 10 km due north of center of São Paulo (Praça da Sé). Serra da Cantareira, near top.",-46.63,-23.5403,NA,NA,"1200","1200",NY00678636,NY00678636_01,Pteridophyta,Cyatheales,South America,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=810356' target='other'> <mi>dwc_moreinfo</mi></a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.63,-23.5403,"29",2021-03-15 16:37:00-03,NY,NYBG,"678634",PreservedSpecimen,Plantae,Dicksoniaceae,Dicksonia,sellowiana,Dicksonia sellowiana,Hook.,C. V. Morton,G. Eiten,"2177","1960","07","18",Brazil,São Paulo,Sao Paulo,"About 10 km due north of center of São Paulo (Praça da Sé). Serra da Cantareira, near top.",-46.63,-23.5403,NA,NA,"1200","1200",NY00678634,NY00678634_01,Pteridophyta,Cyatheales,South America,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=810353' target='other'> <mi>dwc_moreinfo</mi></a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.63,-23.5403,"59",2021-03-15 16:37:00-03,NY,NYBG,"678635",PreservedSpecimen,Plantae,Dicksoniaceae,Dicksonia,sellowiana,Dicksonia sellowiana,Hook.,C. V. Morton,G. Eiten,"2177","1960","07","18",Brazil,São Paulo,Sao Paulo,"About 10 km due north of center of São Paulo (Praça da Sé). Serra da Cantareira, near top.",-46.63,-23.5403,NA,NA,"1200","1200",NY00678635,NY00678635_01,Pteridophyta,Cyatheales,South America,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=810355' target='other'> <mi>dwc_moreinfo</mi></a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.63,-23.5403,"61",2021-03-15 16:37:00-03,NY,NYBG,"678637",PreservedSpecimen,Plantae,Dicksoniaceae,Dicksonia,sellowiana,Dicksonia sellowiana,Hook.,C. V. Morton,G. Eiten,"2177","1960","07","18",Brazil,São Paulo,Sao Paulo,"About 10 km due north of center of São Paulo (Praça da Sé). Serra da Cantareira, near top.",-46.63,-23.5403,NA,NA,"1200","1200",NY00678637,NY00678637_01,Pteridophyta,Cyatheales,South America,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=810357' target='other'> <mi>dwc_moreinfo</mi></a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.63,-23.5403,"73",2021-03-15 16:37:00-03,NY,NYBG,"678639",PreservedSpecimen,Plantae,Dicksoniaceae,Dicksonia,sellowiana,Dicksonia sellowiana,Hook.,C. V. Morton,G. Eiten,"2177","1960","07","18",Brazil,São Paulo,Sao Paulo,"About 10 km due north of center of São Paulo (Praça da Sé). Serra da Cantareira, near top.",-46.63,-23.5403,NA,NA,"1200","1200",NY00678639,NY00678639_01,Pteridophyta,Cyatheales,South America,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=810359' target='other'> <mi>dwc_moreinfo</mi></a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.63,-23.5403,"77",2021-03-15 16:37:00-03,NY,NYBG,"678638",PreservedSpecimen,Plantae,Dicksoniaceae,Dicksonia,sellowiana,Dicksonia sellowiana,Hook.,C. V. Morton,G. Eiten,"2177","1960","07","18",Brazil,São Paulo,Sao Paulo,"About 10 km due north of center of São Paulo (Praça da Sé). Serra da Cantareira, near top.",-46.63,-23.5403,NA,NA,"1200","1200",NY00678638,NY00678638_01,Pteridophyta,Cyatheales,South America,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=810358' target='other'> <mi>dwc_moreinfo</mi></a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.63,-23.5403,"79",2021-03-15 16:37:00-03,NY,NYBG,"678640",PreservedSpecimen,Plantae,Dicksoniaceae,Dicksonia,sellowiana,Dicksonia sellowiana,Hook.,C. V. Morton,G. Eiten,"2172","1960","07","18",Brazil,São Paulo,Sao Paulo,"About 10 km due north of center of São Paulo (Praça da Sé). Serra da Cantareira, near top.",-46.63,-23.5403,NA,NA,"1200","1200",NY00678640,NY00678640_01,Pteridophyta,Cyatheales,South America,sheet,(Same site as 2173) <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=810361' target='other'> <mi>dwc_moreinfo</mi></a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"108",2021-04-05 09:59:01-03,UNESP-IBILCE,SJRP-PTERIDOPHYTA,"03621",S,Plantae,Dicksoniaceae,Dicksonia,sellowiana,Dicksonia sellowiana,Hook.,"Fernandes, I.","Marton C., A.","011","1990","11","25",Brasil,São Paulo,São Paulo,Horto Florestal,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,NA,Tracheophyta,Polypodiales,América do Sul,NA,"GEOGRAFIA: arborescente, folhas férteis ausentes;","53584",auto,NA,NA,NA,Polypodiopsida,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.933333,-23.233333,"279",2021-03-01 16:43:39-03,UNICAMP,UEC,"155619",S,Plantae,Dicksoniaceae,Dicksonia,sellowiana,Dicksonia sellowiana,Hook.,"Prado, J","Prado, J; Hirai, RY; Polli, PR","2073","2009","11","13",Brazil,São Paulo,Jundiaí,"Serra do Japi, Na trilha à esquerda antes de chegar na base da Reserva, indo para a Cachoeira Paraíso.",-46.933333,-23.233333,"-46.933333","-23.233333","996","996",UEC055660,UEC055660,Pteridophyta,NA,NA,NA,Terrestre.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JUNDIAÍ,"3525904"
