X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,class,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,recordNumber,continentOcean,country,barcode,year,month,day,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,imagecode,occurrenceRemarks,minimumElevationInMeters,maximumElevationInMeters,coordinatePrecision,geoFlag,typeStatus,NM_MUNICIP,CD_GEOCMU
-46.631667,-23.913333,"2",2020-10-20 14:18:14-03,UFOPA,HSTM,"7865",PreservedSpecimen,Plantae,NA,NA,NA,Solanaceae,Aureliana,sellowiana,Aureliana sellowiana,(Sendtn.) Barboza & Stehmann,E.H.P.Barretto,"2014","03","01","Garcia, R.J.F.; Barretto, E.H.P.; Pascalicchio, F.F.; Souza, H.B.Z.","3746",NA,Brasil,HSTM007865,"2014","02","25",São Paulo,São Paulo,Fazenda Nossa Senhora da Piedade. Mata secundária inicial.,-46.631667,-23.913333,46º37'54''W,23º54'48''S,HSTM007865,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.766667,-23.919444,"3",2021-01-18 16:11:26-03,UNICAMP,UEC,"85360",S,Plantae,Magnoliopsida,NA,NA,Solanaceae,Athenaea,sellowiana,Athenaea sellowiana,(Sendtn.) IMC Rodrigues & Stehmann,NA,NA,NA,NA,"Godoy, SAP; Ferreira, GMP; Pereira, DL","199",NA,Brazil,UEC127414,"1994","09","12",São Paulo,São Paulo,Jd dos eucaliptos (gramado). Sítio do Sr,-46.766667,-23.919444,"-46.766667","-23.919444",UEC127414,"flor, Árvore ca. 10 m. de altura, DAP 0,19 m , fuste 6 m. botões florais marrom-esverdeado.",NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.774722,-23.457778,"4",2020-12-11 11:41:36-03,UFMG,BHCB,"123388",PreservedSpecimen,Plantae,Dicotyledon,NA,NA,Solanaceae,Athenaea,sellowiana,Athenaea sellowiana,(Sendtn.) I.M.C. Rodrigues & Stehmann,NA,"2019","08","02","Souza, FM; Sousa, RC; Silva, JB; Costa, ZS","862",Southern America,Brasil,BHCB026456,"2007","07","26",São Paulo,São Paulo,"Parque Estadual do Jaraguá, Trilha do Mauro",-46.774722,-23.457778,"-46.774722","-23.457778",NA,"Árvore, 3m. Frutos imaturos verdes. SAD 69, 23K.","849","849",NA,NA,NA,SÃO PAULO,"3550308"
-46.733611,-23.987778,"5",2020-12-11 11:41:36-03,UFMG,BHCB,"133519",PreservedSpecimen,Plantae,Dicotyledon,NA,NA,Solanaceae,Athenaea,sellowiana,Athenaea sellowiana,(Sendtn.) I.M.C. Rodrigues & Stehmann,NA,"2019","08","02","Garcia, RJF; Coffani-Nunes, JV; Sordi, SJ de; Oliveira, LF; Soares, JM","956",Southern America,Brasil,BHCB000415,"1996","12","19",São Paulo,São Paulo,"Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha para rio Embu-Guaçu",-46.733611,-23.987778,"-46.733611","-23.987778",BHCB000415,"Árvore, 4m alt., DAP. 10cm, flores: pétalas externamente branco-esverdeadas e internamente com manchas vináceas, frutos verdes.",NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"7",2020-12-11 11:41:36-03,UFMG,BHCB,"180769",PreservedSpecimen,Plantae,Dicotyledon,NA,NA,Solanaceae,Athenaea,sellowiana,Athenaea sellowiana,(Sendtn.) I.M.C. Rodrigues & Stehmann,NA,"2019","08","02","Mattos, J","11016",Southern America,Brasil,BHCB046875,"1963","09","27",São Paulo,São Paulo,Jardim Botânico.,-46.6300010681152,-23.5400009155273,NA,NA,NA,"Cultivada no Jardim Botânico; Planta ca. de 3 metros de altura. Flores esverdeadas, pétalas cuculadas.",NA,NA,"53584",auto,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"8",2020-12-11 11:41:36-03,UFMG,BHCB,"132008",PreservedSpecimen,Plantae,Dicotyledon,NA,NA,Solanaceae,Athenaea,sellowiana,Athenaea sellowiana,(Sendtn.) I.M.C. Rodrigues & Stehmann,NA,"2019","08","02","Godoy, SAP; Ferreira, GMP; Pereira, DL","199",Southern America,Brasil,BHCB026455,"1994","09","12",São Paulo,São Paulo,"Jardim dos Eucalyptus, Sítio do Sr. Mário. Estrada Pedro Tico. Margem do córrego",-46.6300010681152,-23.5400009155273,NA,NA,NA,"Árvore, 10m alt., 19 cm DAP; botões florais marrom-esverdeados",NA,NA,"53584",auto,NA,SÃO PAULO,"3550308"
-46.726061,-23.900342,"9",2020-12-11 11:41:38-03,UFMG,BHCB,"145006",PreservedSpecimen,Plantae,Dicotyledon,NA,NA,Solanaceae,Aureliana,sellowiana,Aureliana sellowiana,(Sendtn.) Barboza & Stehmann,NA,NA,NA,NA,"Rodrigues, IMC; Stehmann, JR; Giacomin, LL; Hattori, EKO; Thode, VA","69",Southern America,Brasil,NA,"2009","10","12",São Paulo,São Paulo,"Distrito de Parelheiros. Estrada para Engenheiro M, Após cerca de 100 metros da entrada direita para a Ponte seca, na beira do córrego. Floresta Ombrófila Densa, beira de estrada.",-46.726061,-23.900342,"-46.726061","-23.900342",NA,Árvore ca 7m. Com botões florais e frutos imaturos. Indivíduo 1.,"806","806",NA,NA,NA,SÃO PAULO,"3550308"
-46.726061,-23.900342,"10",2020-12-11 11:41:38-03,UFMG,BHCB,"145007",PreservedSpecimen,Plantae,Dicotyledon,NA,NA,Solanaceae,Aureliana,sellowiana,Aureliana sellowiana,(Sendtn.) Barboza & Stehmann,NA,NA,NA,NA,"Rodrigues, IMC; Stehmann, JR; Giacomin, LL; Hattori, EKO; Thode, VA","70",Southern America,Brasil,NA,"2009","10","12",São Paulo,São Paulo,"Distrito de Parelheiros. Estrada para Engenheiro M, Após cerca de 100 metros da entrada direita para a Ponte seca, na beira do córrego. Floresta Ombrófila Densa, beira de estrada.",-46.726061,-23.900342,"-46.726061","-23.900342",NA,Indivíduo 2 a ca. de 3 m. do indivíduo 1. Material para sílica,"806","806",NA,NA,NA,SÃO PAULO,"3550308"
-46.725278,-23.897778,"11",2020-12-11 11:41:38-03,UFMG,BHCB,"176466",PreservedSpecimen,Plantae,Dicotyledon,NA,NA,Solanaceae,Aureliana,sellowiana,Aureliana sellowiana,(Sendtn.) Barboza & Stehmann,NA,"2010",NA,NA,"Barboza, GE; Romero, MV; Bertone, G","2024",Southern America,Brasil,BHCB026457,"2008","04","15",São Paulo,São Paulo,"Desde Parelheiros rumbo a Eng. Marsilac, a 300m de la Estrada Ponte Seca rumbo a Marsilac",-46.725278,-23.897778,"-46.725278","-23.897778",BHCB026457,"Arbolito de ca. 5m alt., hojas levemente discoloras; flores 1 o 2 por nudo; corola carnosa, gruesa, por fuera verdosa y con manchas violáceas e n su interior; nectario amarillo pálido, estilo blanquecino.","605","605",NA,NA,Isoepitypus,SÃO PAULO,"3550308"
-46.727778,-23.896111,"12",2019-11-13 11:32:02-03,USP,SPF,"99700",PreservedSpecimen,Plantae,NA,NA,NA,Solanaceae,Athenaea,sellowiana,Athenaea sellowiana,(Sendtn.) I.M.C.Rodrigues & Stehmann,"Stehmann, JR","2019","09",NA,"Godoy, SAP","379",NA,Brasil,SPF00099700,"1995","02","14",São Paulo,São Paulo,Parelheiros,-46.727778,-23.896111,"-46.727778","-23.896111",NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
