X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,typeStatus,recordedBy,recordNumber,continentOcean,country,occurrenceRemarks,barcode,imagecode,identifiedBy,yearIdentified,locality,phylum,monthIdentified,dayIdentified,year,month,day,stateProvince,county,decimalLongitude,decimalLatitude,coordinatePrecision,geoFlag,verbatimLongitude,verbatimLatitude,class,order,minimumElevationInMeters,maximumElevationInMeters,NM_MUNICIP,CD_GEOCMU
-46.6300010681152,-23.5400009155273,"4",2019-08-20 10:16:46-03,UNICAMP,UEC,"81927",S,Plantae,Lauraceae,Persea,obovata,Persea obovata,Nees,NA,"Simão-Bianchini, R; Garcia, RJF; Godoy, SAP; Sordi, SJ","915",NA,Brazil,NA,NA,NA,"Baitello, JB","1997","Parque Estadual da Serra do Mar, Núcleo Curucutu. Campo.",Magnoliopsida,"05","22","1996","01","18",São Paulo,São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"6",2020-06-15 15:31:00-03,UNESP-RC,HRCB,"58757",PreservedSpecimen,Plantae,Lauraceae,Persea,obovata,Persea obovata,Nees & Mart.,NA,"Garcia, R.J.F.","1942",NA,Brasil,"Arvoreta , 2 m. Ramos mais velhos negros, flores ferrugíneas",NA,NA,"Moraes, P.","2012",Distrito Marsilac,NA,"11","28","2000","03","16",São Paulo,São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"7",2020-06-15 15:31:00-03,UNESP-RC,HRCB,"58756",PreservedSpecimen,Plantae,Lauraceae,Persea,obovata,Persea obovata,Nees & Mart.,NA,"Garcia, R.J.F.","1780",NA,Brasil,"Arvoreta , 2 m. frutos verdes",NA,NA,"Moraes, P.","2012",Distrito Marsilac,NA,"11","28","1999","10","29",São Paulo,São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"8",2020-06-15 15:31:00-03,UNESP-RC,HRCB,"58755",PreservedSpecimen,Plantae,Lauraceae,Persea,obovata,Persea obovata,Nees & Mart.,NA,"Marçon, S.L.","150",NA,Brasil,"Arbusto, 2 m alt. Folhas discolores; frutos verdes, presto quando maduros",NA,NA,"Moraes, P.","2012",Parque Natural da Cratera de Colônia,NA,"11","28","2009","06","06",São Paulo,São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.733611,-23.987778,"9",2019-11-13 11:21:18-03,USP,SPF,"110806",PreservedSpecimen,Plantae,Lauraceae,Persea,obovata,Persea obovata,Nees & Mart.,NA,"Godoy, SAP","775",NA,Brasil,NA,SPF00110806,NA,"Baitello, JB","1997",Marsilac. Reserva Estadual do Curucutu. Trilha que parte do lado da plantação de Pinus.,NA,"09","20","1995","08","16",São Paulo,São Paulo,-46.733611,-23.987778,NA,NA,"-46.733611","-23.987778",NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.743333,-23.991111,"10",2019-11-13 11:21:18-03,USP,SPF,"116852",PreservedSpecimen,Plantae,Lauraceae,Persea,obovata,Persea obovata,Nees & Mart.,NA,"Garcia, RJF","902",NA,Brasil,NA,SPF00116852,SPF00116852,"Baitello, JB","1997","Marsilac. Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha do campo, em capoeirinha.",NA,"09","20","1996","06","12",São Paulo,São Paulo,-46.743333,-23.991111,NA,NA,"-46.743333","-23.991111",NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"11",2019-11-13 11:21:18-03,USP,SPF,"67243",PreservedSpecimen,Plantae,Lauraceae,Persea,obovata,Persea obovata,Nees & Mart.,NA,"Handro, O","968",NA,Brasil,NA,SPF00067243,NA,"Baitello, JB","1997","Estação Campo Grande (via férrea São Paulo-Santos), Estação Biológica.",NA,"09","20","1960","12","06",São Paulo,São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"12",2019-11-13 11:21:18-03,USP,SPF,"110308",PreservedSpecimen,Plantae,Lauraceae,Persea,obovata,Persea obovata,Nees & Mart.,NA,"Simão-Bianchini, R","915",NA,Brasil,NA,SPF00110308,NA,"Baitello, JB","1997","Parque Estadual da Serra do Mar, Núcleo Curucutu.",NA,"09","20","1996","01","18",São Paulo,São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"15",2019-11-01 15:02:03-03,UnB,UB,"186280",PreservedSpecimen,Plantae,Lauraceae,Persea,obovata,Persea obovata,Nees & Mart.,NA,"Baitello, JB; Moraes, PLR; Rohwer, JG","2563",Southern America,Brasil,"Frutos verdes.; Arvoreta.; Mata baixa, após campo úmido, em solo encharcado.",NA,NA,"Baitello, JB","2011","Parque Estadual da Serra do Mar, Núcleo Carucutu, ao lado da Sede.",Dicotyledoneae,"09","30","2011","09","17",São Paulo,São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"16",2021-03-04 15:44:23-03,IF,SPSF,"32375",PreservedSpecimen,Plantae,Lauraceae,Persea,obovata,Persea obovata,NA,NA,A.Silva,NA,América do Sul,Brasil,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: Curucutu&nf;;",NA,NA,NA,NA,Marsilac - P.E.Serra do Mar,Magnoliophyta,NA,NA,"2003","09","12",SP,São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,Magnoliopsida,Laurales,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"17",2021-03-04 15:44:23-03,IF,SPSF,"30518",PreservedSpecimen,Plantae,Lauraceae,Persea,obovata,Persea obovata,NA,NA,A.Silva,NA,América do Sul,Brasil,"COLETA: XLS: SPSFAntigo&nf;Vegetação secundária&nf;Arvoreta de frutos verdes.;",NA,NA,J.B.Baitello,"2002","Parque Estadual da Serra do Mar, Núcleo Curucutu",Magnoliophyta,"10","29","2002","10","16",SP,São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,Magnoliopsida,Laurales,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"18",2021-03-04 15:44:23-03,IF,SPSF,"45063",PreservedSpecimen,Plantae,Lauraceae,Persea,obovata,Persea obovata,Nees & Mart.,NA,J.B.Baitello & P.L.R.Moraes & J.G.Rohwer,"2563",América do Sul,Brasil,"COLETA: Mata baixa, após campo húmido, em solo encharcado.&nf;Arvoreta com frutos verdes.; GEOGRAFIA: Ao lado da Sede.;",NA,NA,J.B.Baitello,"2011","Parque Estadual da Serra do Mar, Núcleo Curucutú",Magnoliophyta,"09","30","2011","09","17",SP,São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,Magnoliopsida,Laurales,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"19",2021-03-04 15:44:22-03,IF,SPSF,"22183",PreservedSpecimen,Plantae,Lauraceae,Persea,obovata,Persea obovata,NA,NA,R.J.F. Garcia,"902",América do Sul,Brasil,"COLETA: XLS: SPSFAntigo;",NA,NA,NA,NA,"distrito de Marsilac, P.E.serra do Mar, nucleo Curucutu",Magnoliophyta,NA,NA,"1996","06","12",SP,São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,Magnoliopsida,Laurales,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"20",2021-03-04 15:44:23-03,IF,SPSF,"39649",PreservedSpecimen,Plantae,Lauraceae,Persea,obovata,Persea obovata,C.Martius ex Nees,NA,R.J.F. Garcia & A.Amorim & M.Alves & A.Costa & C.B.Costa,"1942",América do Sul,Brasil,"COLETA: Arvoreta 2m, flores ferrugineas; GEOGRAFIA: Trilha do Campo&nf;Capão de topo de morro;",NA,NA,J.B.Baitello,"2002","P.E.Serra do Mar, Núcleo Curucutu",Magnoliophyta,"02","03","2000","03","16",SP,São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,Magnoliopsida,Laurales,"750","800",SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"21",2021-03-04 15:44:23-03,IF,SPSF,"39651",PreservedSpecimen,Plantae,Lauraceae,Persea,obovata,Persea obovata,C.Martius ex Nees,NA,R.J.F. Garcia & T.Forti & E.S.Xavier,"1780",América do Sul,Brasil,"COLETA: Arvoreta 2m, frutos verdes.; GEOGRAFIA: Trilha do Embú Guaçú;",NA,NA,J.B.Baitello,"2000","P.E.Serra do Mar, Núcleo Curucutu",Magnoliophyta,"11","29","1999","10","29",SP,São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,Magnoliopsida,Laurales,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"22",2021-03-04 15:44:23-03,IF,SPSF,"39653",PreservedSpecimen,Plantae,Lauraceae,Persea,obovata,Persea obovata,C.Martius ex Nees,NA,R.J.F. Garcia & C.M.Izumisawa & J.V.Coffani Nunes,"1303",América do Sul,Brasil,"COLETA: Arvoreta 2m, frutos verdes; GEOGRAFIA: Trilha do Campo; capão em topo de morro.;",NA,NA,NA,NA,"P.E.Serra do Mar, Núcleo Curucutu",Magnoliophyta,NA,NA,"1997","10","18",SP,São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,Magnoliopsida,Laurales,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"23",2021-03-04 15:44:23-03,IF,SPSF,"39655",PreservedSpecimen,Plantae,Lauraceae,Persea,obovata,Persea obovata,C.Martius ex Nees,NA,P.Affonso & A.Rafael,"7",América do Sul,Brasil,"COLETA: Arvoreta 2m, frutos verdes; GEOGRAFIA: Trilha do campo;",NA,NA,J.B.Baitello,"1997","P.E.Serra do Mar, Núcleo Curucutu",Magnoliophyta,"12","12","1997","07","07",SP,São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,Magnoliopsida,Laurales,NA,NA,SÃO PAULO,"3550308"
-46.743333,-23.991111,"25",2019-11-21 10:07:38-03,IBt,SP,"298637",S,Plantae,Lauraceae,Persea,obovata,Persea obovata,Nees & Mart.,NA,"Garcia, RJF; et al.","902",NA,Brasil,NA,SP055564,SP055564,"Baitello, JB","2003","Parque Estadual da Serra do Mar, Núcleo Curucutu, trilha do Campo, em capoeirinha",NA,NA,NA,"1996","06","12",São Paulo,São Paulo,-46.743333,-23.991111,NA,NA,"-46.743333","-23.991111",NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.5299987792969,-23.6599998474121,"27",2021-02-11 09:24:58-03,IBt,SP,"56612",S,Plantae,Lauraceae,Persea,obovata,Persea obovata,Nees & Mart.,NA,"Handro, O","928",NA,Brasil,NA,NA,NA,NA,NA,E.B. do Alto da Serra de Paranapiacaba,NA,NA,NA,"1960","12","06",São Paulo,Santo André,-46.5299987792969,-23.6599998474121,"27258",auto,NA,NA,NA,NA,NA,NA,SANTO ANDRÉ,"3547809"
-46.5299987792969,-23.6599998474121,"28",2021-02-11 09:24:58-03,IBt,SP,"56693",S,Plantae,Lauraceae,Persea,obovata,Persea obovata,Nees & Mart.,NA,"Handro, O","968",NA,Brasil,NA,NA,NA,NA,NA,E.B. do Alto da Serra de Paranapiacaba,NA,NA,NA,"1960","12","06",São Paulo,Santo André,-46.5299987792969,-23.6599998474121,"27258",auto,NA,NA,NA,NA,NA,NA,SANTO ANDRÉ,"3547809"
-46.6300010681152,-23.5400009155273,"29",2021-02-04 09:01:45-03,IBt,SP,"291804",S,Plantae,Lauraceae,Persea,obovata,Persea obovata,Nees & Mart.,NA,"Simão Bianchini, R","915",NA,Brasil,NA,NA,NA,NA,NA,"Parque Estadual da Serra do Mar, Núcleo Curucutu",NA,NA,NA,"1996","01","18",São Paulo,São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"30",2019-11-21 10:07:38-03,IBt,SP,"291855",S,Plantae,Lauraceae,Persea,obovata,Persea obovata,Nees & Mart.,NA,"Godoy, SAP; et al.","775",NA,Brasil,NA,SP055565,SP055565,"Baitello, JB","2003","Reserva Estadual do Curucutu, Campo de altitutde, trilha que parte ao lado da plantação de Pinus, após a travessia do riacho",NA,NA,NA,"1995","08","16",São Paulo,São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
