X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,barcode,imagecode,yearIdentified,monthIdentified,dayIdentified,occurrenceRemarks,continentOcean,preparationType,previousCatalogNumber,typeStatus,phylum,order,coordinatePrecision,geoFlag,infraspecificEpithet,class,relatedCatalogItem,relationshipType,individualCount,fieldNumber,sex,NM_MUNICIP,CD_GEOCMU
-46.9025,-23.5278,"36",2021-03-15 16:37:00-03,NY,NYBG,"558098",PreservedSpecimen,Plantae,Myrtaceae,Eugenia,involucrata,Eugenia involucrata,DC.,F. F. Mazine,K. Mizoguchi,"695","1978","08","14",Brazil,São Paulo,Jandira,Near Oomoto-Aizendo,-46.9025,-23.5278,NA,NA,NA,NA,NY00558098,NY00558098_01,NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479662' target='other'> <mi>dwc_moreinfo</mi></a>,South America,sheet,NA,NA,Magnoliophyta,Myrtales,NA,NA,NA,NA,NA,NA,NA,NA,NA,JANDIRA,"3525003"
-46.9025,-23.5278,"50",2021-03-15 16:37:00-03,NY,NYBG,"557928",PreservedSpecimen,Plantae,Myrtaceae,Eugenia,involucrata,Eugenia involucrata,DC.,F. F. Mazine,K. Mizoguchi,"1092","1979","08","16",Brazil,São Paulo,Jandira,"Near Oomoto Aizendo, Jandira",-46.9025,-23.5278,NA,NA,"750","750",NY00557928,NY00557928_01,NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479581' target='other'> <mi>dwc_moreinfo</mi></a>,South America,sheet,NA,NA,Magnoliophyta,Myrtales,NA,NA,NA,NA,NA,NA,NA,NA,NA,JANDIRA,"3525003"
-46.5497,-23.1103,"62",2021-03-15 16:37:00-03,NY,NYBG,"594856",PreservedSpecimen,Plantae,Myrtaceae,Eugenia,involucrata,Eugenia involucrata,DC.,M. Sobral,C. Duarte,"125","1910","08",NA,Brazil,São Paulo,Atibaia,Atibaia,-46.5497,-23.1103,NA,NA,NA,NA,NY00594856,NA,NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479265' target='other'> <mi>dwc_moreinfo</mi></a>,South America,sheet,NA,NA,Magnoliophyta,Myrtales,NA,NA,NA,NA,NA,NA,NA,NA,NA,ATIBAIA,"3504107"
-46.723823,-23.56563,"67",2021-03-15 16:37:00-03,NY,NYBG,"594858",PreservedSpecimen,Plantae,Myrtaceae,Eugenia,involucrata,Eugenia involucrata,DC.,F. F. Mazine,A. Gehrt,s.n.,"1921","10","30",Brazil,São Paulo,Sao Paulo,"Sao Paulo, Butanta",-46.723823,-23.56563,NA,NA,NA,NA,NY00594858,NY00594858_01,NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479267' target='other'> <mi>dwc_moreinfo</mi></a>,South America,sheet,NA,NA,Magnoliophyta,Myrtales,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.7200012207031,-23.3199996948242,"142",2020-01-20 14:40:42-03,UPM,MACK,"2931",PreservedSpecimen,Plantae,Myrtaceae,Eugenia,involucrata,Eugenia involucrata,DC.,J. A. C. Curado,G. A. Vergara,"8","2015","10","03",Brasil,SP,Franco da Rocha,Parque Estadual do Juquery,-46.7200012207031,-23.3199996948242,NA,NA,NA,NA,NA,NA,"2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12135",auto,NA,NA,NA,NA,NA,NA,NA,FRANCO DA ROCHA,"3516408"
-46.7200012207031,-23.3199996948242,"143",2020-01-20 14:40:42-03,UPM,MACK,"2952",PreservedSpecimen,Plantae,Myrtaceae,Eugenia,involucrata,Eugenia involucrata,DC.,M. G. Silva,G. A. Vergara,"9","2015","10","03",Brasil,SP,Franco da Rocha,Parque Estadual do Juquery,-46.7200012207031,-23.3199996948242,NA,NA,NA,NA,NA,NA,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12135",auto,NA,NA,NA,NA,NA,NA,NA,FRANCO DA ROCHA,"3516408"
-46.6300010681152,-23.5400009155273,"144",2020-01-20 14:40:42-03,UPM,MACK,"3197",PreservedSpecimen,Plantae,Myrtaceae,Eugenia,involucrata,Eugenia involucrata,DC.,P. Caruana,K. Mattoso,"1","2018","09","29",Brasil,SP,São Paulo,Piqueri,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,"HMACK00003197-K.Mattoso1-29/9/2018,Piqueri,SãoPaulo,SP,Brasil",NA,"2018","09","28",NA,NA,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"147",2020-01-20 14:40:42-03,UPM,MACK,"2699",PreservedSpecimen,Plantae,Myrtaceae,Eugenia,involucrata,Eugenia involucrata,DC.,E. H. P. Barreto,"A. R. Balbin; R. S. L. Araujo","74","2015",NA,NA,Brasil,SP,São Paulo,"UPM, Campus Higienópolis.",-46.6300010681152,-23.5400009155273,S,W,NA,NA,NA,NA,"2016","04","15",Atrás do prédio 1,NA,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6273,-23.5439,"158",2019-07-24 16:19:01-03,CCE,CATAVENTO,"6",LivingSpecimen,Plantae,Myrtaceae,Eugenia,involucrata,Eugenia involucrata,Candolle,"Santilli, C.",NA,NA,"2018","08","28",Brasil,São Paulo,São Paulo,"Av. Mercúrio, s/n - Pq. Dom Pedro II - Brás",-46.6273,-23.5439,"-46.6273","-23.5439","730","730",CATAVENTO0006,CATAVENTO0006_v01 CATAVENTO0006_v02 CATAVENTO0006_v03 CATAVENTO0006_v04 CATAVENTO0006_v05 CATAVENTO0006_v06 CATAVENTO0006_v07 CATAVENTO0006_v08 CATAVENTO0006_v09 CATAVENTO0006_v10 CATAVENTO0006_v11 CATAVENTO0006_v12 CATAVENTO0006_v13 CATAVENTO0006_v14 CATAVENTO0006_v15 CATAVENTO0006_v16 CATAVENTO0006_v17 CATAVENTO0006_v18 CATAVENTO0006_v19 CATAVENTO0006_v20 CATAVENTO0006_v21,"2018","08","29",<ll>dwc_commonname:</ll> cereja-do-rio-grande,América do Sul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"253",2020-11-04 11:14:34-03,ESALQ,ESA,"93139",PreservedSpecimen,Plantae,Myrtaceae,Eugenia,involucrata,Eugenia involucrata,DC.,"Duarte, A.R.","Romão, G.O. ; Duarte, A.R.","322.0","2000","09","21",Brasil,São Paulo,São Paulo,NA,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,ESA093139,ESA093139,NA,NA,NA,NA,NA,NA,NA,NA,Magnoliophyta,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
