"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","day","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","788068","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","sphenophylla","Baccharis sphenophylla","Dusén ex Malme","G. Heiden","L. Riedel","1764","1833","12","South America","Brazil","São Paulo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=697719' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788068","NY00788068_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","788064","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","sphenophylla","Baccharis sphenophylla","Dusén ex Malme","G. Heiden","K. Kubitzki","84-60","1984","03","South America","Brazil","São Paulo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=697717' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788064","NY00788064_01","08","Campos do Jordao","Parque Estadual. Sao José dos Alpes.","-45.455385","-22.725628","1700","1700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","788339","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","sphenophylla","Baccharis sphenophylla","Dusén ex Malme","G. Heiden","M. Sakane","461","1976","02","South America","Brazil","São Paulo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=697712' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788339","NY00788339_01","09","Campos do Jordao","Vila Matilde, áreas do Sanatório Sao Francisco Xavier.","-45.604903","-22.750525",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","162339","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","sphenophylla","Baccharis sphenophylla","Dusén",NA,"P. K. H. Dusén","7604","1909","01","South America","Brazil","Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=496467' target='other'> <mi>dwc_moreinfo</mi></a>","NY00162339","NY00162339_01","20","Ponta Grossa","Desvio Ribas","-50.1617","-25.095",NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","788065","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","sphenophylla","Baccharis sphenophylla","Dusén ex Malme","G. Heiden","G. G. Hatschbach","29230","1972","02","South America","Brazil","Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=697710' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788065","NY00788065_01","27","Sengés","Fda. Morungava.","-49.4633","-24.1131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","788338","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","sphenophylla","Baccharis sphenophylla","Dusén ex Malme","G. Heiden","W. Hoehne","s.n.","1946","07","South America","Brazil","São Paulo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=697714' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788338","NY00788338_01","03",NA,"Próximo a Jaraguá.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","788340","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","sphenophylla","Baccharis sphenophylla","Dusén ex Malme","G. Heiden","M. Sakane","461","1976","02","South America","Brazil","São Paulo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=697713' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788340","NY00788340_01","09","Campos do Jordao","Vila Matilde, áreas do Sanatório Sao Francisco Xavier.","-45.604903","-22.750525",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-08 11:07:18-03","UNESP-IBB","BOTU","15577","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","sphenophylla","Baccharis sphenophylla","Dusén ex Malme.","Maruyama, A.","Amaral Jr., A.","15","1982","02",NA,"Brasil","São Paulo",NA,"Campo rupestre","BOTU015577","BOTU015577","16","Campos do Jordão","Pico do Itapeva e arredores","-45.5","-22.751389",NA,NA,NA,"2020","05","17","45°30'w","22°45'5s",NA,NA,NA,NA,NA,NA,NA
"9","2021-02-08 11:07:18-03","UNESP-IBB","BOTU","736","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","sphenophylla","Baccharis sphenophylla","Dusén ex Malme","Maruyama, A.","Rodella, R.A.","9","1972","10",NA,"Brasil","São Paulo",NA,"Arbusto, com flores amarelas","BOTU000736","BOTU000736","24","Botucatu","A 20 km de Botucatu; Fazenda 4 Meninas e Mac","-48.375","-22.875",NA,NA,NA,"2020","05","17","48°22'30w","22°52'30s",NA,NA,NA,NA,NA,NA,NA
"10","2021-02-18 09:28:45-03","UNESP-IBB","BOTU","9371","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","sphenophylla","Baccharis sphenophylla","Dusén ex Malme.","Maruyama, A.","Hoehne, W.",NA,"1945","10",NA,"Brasil","São Paulo",NA,"não tem","BOTU009371","BOTU009371","30","São Paulo",NA,NA,NA,NA,NA,NA,"2020","05","17","9999","9999",NA,NA,NA,NA,NA,NA,NA
"11","2021-02-18 09:28:45-03","UNESP-IBB","BOTU","9370","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","sphenophylla","Baccharis sphenophylla","Dusén ex Malme.","Maruyama, A.","Hoehne, W.",NA,"1945","10",NA,"Brasil","São Paulo",NA,"não tem","BOTU009370","BOTU009370","03","São Paulo",NA,NA,NA,NA,NA,NA,"2020","05","17","9999","9999",NA,NA,NA,NA,NA,NA,NA
"12","2021-02-18 09:28:45-03","UNESP-IBB","BOTU","18984","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","sphenophylla","Baccharis sphenophylla","Dusén ex Malme.","Maruyama, A.","Amaral Jr., A.","248","1993","03",NA,"Brasil","São Paulo",NA,"Arbusto pequeno, capítulos amarelados","BOTU018984","BOTU018984","19","Campos do Jordão",NA,NA,NA,NA,NA,NA,"2020","05","17","9999","9999",NA,NA,NA,NA,NA,NA,NA
"13","2021-02-18 09:28:45-03","UNESP-IBB","BOTU","18028","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","sphenophylla","Baccharis sphenophylla","Dusén ex Malme.","Maruyama, A.","Amaral Jr., A.",NA,"1992","02",NA,"Brasil","São Paulo",NA,"Subarbusto, sol, inflorescência creme","BOTU018028","BOTU018028","04","Campos do Jordão","Pico do Itapeva e arredores",NA,NA,NA,NA,NA,"2020","05","17","9999","9999",NA,NA,NA,NA,NA,NA,NA
"14","2021-02-18 09:28:45-03","UNESP-IBB","BOTU","20938","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","sphenophylla","Baccharis sphenophylla","Dusén ex Malme.","Maruyama, A.","Amaral Jr., A.","13296-18","1996","02",NA,"Brasil","São Paulo",NA,"Arbusto, 60 cm de alt; capítulos com flores amareladas","BOTU020938","BOTU020938","13","Campos do Jordão","São José dos Alpes",NA,NA,NA,NA,NA,"2020","05","17","9999","9999",NA,NA,NA,NA,NA,NA,NA
"15","2021-02-08 11:07:18-03","UNESP-IBB","BOTU","15575","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","sphenophylla","Baccharis sphenophylla","Dusén ex Malme.","Maruyama, A.","Amaral Jr., A.","35","1982","02",NA,"Brasil","São Paulo",NA,NA,"BOTU015575","BOTU015575","16","Campos do Jordão",NA,"-45.5","-22.751389",NA,NA,NA,"2020","05","17","45°30'w","22°45'5s",NA,NA,NA,NA,NA,NA,NA
"16","2021-02-18 09:28:45-03","UNESP-IBB","BOTU","19061","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","sphenophylla","Baccharis sphenophylla","Dusén ex Malme.","Maruyama, A.","Amaral Jr., A.","215","1993","03",NA,"Brasil","São Paulo",NA,"Herbáce, flores brancas esverdeadas","BOTU019061","BOTU019061","19","Campos do Jordão",NA,NA,NA,NA,NA,NA,"2020","05","17","9999","9999",NA,NA,NA,NA,NA,NA,NA
"17","2021-02-18 09:28:45-03","UNESP-IBB","BOTU","9391","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","subumbelliformis","Baccharis subumbelliformis","Heering ex Malme","Sakae, M.","Sakane, M.","507","1976","03",NA,"Brasil","São Paulo",NA,"Semi-arbustiva 40-50 cm. folhas pentadenteadas 22-3 cm - 1.0 cm largura, flores femininas","BOTU009391","BOTU009391","31","Campos do Jordão",NA,NA,NA,NA,NA,NA,"1976","03","31","9999","9999",NA,NA,NA,NA,NA,NA,NA
"18","2021-02-18 09:28:45-03","UNESP-IBB","BOTU","9392","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","subumbelliformis","Baccharis subumbelliformis","Heering ex Malme","Teodoro, I.","Hoehne, W.",NA,"1946","01",NA,"Brasil","São Paulo",NA,"não tem","BOTU009392","BOTU009392","02","São Paulo",NA,NA,NA,NA,NA,NA,"1946","02","07","9999","9999",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-30 12:34:32-03","EAO","IAN","59327","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Baccharis","subumbelliformis","Baccharis subumbelliformis","Heering",NA,"Hoehne, W","s.n.","1946","06","Southern America","Brasil","Rio Grande do Sul",NA,NA,"IAN059327",NA,"07",NA,"Próximo de Jaraguá.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-30 12:34:32-03","EAO","IAN","61499","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Baccharis","subumbelliformis","Baccharis subumbelliformis","Heering",NA,"Dusén, PKH; Dus","16587",NA,NA,"Southern America","Brasil",NA,NA,NA,"IAN061499",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2013-07-03 10:29:30-03","EBDA","BAH","1027","S","Plantae",NA,NA,"Asteraceae","Baccharis","sphenophylla","Baccharis sphenophylla","Dusen","Irmão Teodoro Luiz","Wilson Hoehne",NA,"1946","10",NA,"Brasil","São Paulo",NA,"Forma feminina masculina",NA,NA,"28",NA,"Proximo a Jaraguá",NA,NA,NA,NA,NA,"1946","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-01-20 14:40:12-03","UPM","MACK","2879","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","cf. sphenophylla","Baccharis cf. sphenophylla","Dusén ex Malme","M. G. Silva","G. Ramos","24","2015","10",NA,"Brasil","SP",NA,NA,NA,NA,"02","Franco da Rocha","Parque Estadual do Juquery","-46.7200012207031","-23.3199996948242",NA,NA,NA,"2016",NA,NA,NA,NA,"12135","auto",NA,NA,NA,NA,NA
"23","2020-01-20 14:40:13-03","UPM","MACK","789","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","sphenophylla","Baccharis sphenophylla","Herring & Dusen","G. Heiden","W. Hoehne","s/n","1946","05",NA,"Brasil","SP",NA,NA,NA,NA,"03","Alto da Lapa",NA,NA,NA,NA,NA,NA,"2010","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-01-20 14:40:09-03","UPM","MACK","2140","PreservedSpecimen","Plantae",NA,NA,"Asteracaee","Baccharis","sphenophylla","Baccharis sphenophylla","Dusén ex Malme","G. Franco","A. Buccaran","A33","2011","03",NA,"Brasil","SP",NA,NA,NA,NA,"26","Campos do Jordão",NA,"-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,NA,NA,NA,NA,"21048","auto",NA,NA,NA,NA,NA
"25","2020-01-20 14:40:13-03","UPM","MACK","2786","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","sphenophylla","Baccharis sphenophylla","Dusén ex Malme","L. P. Caccia, et al","L. P. Caccia; et al","13","2013","03",NA,"Brasil","SP",NA,"Campo de altitude",NA,NA,"21","Campos do Jordão","Bairro Umuarama, U.P.M.","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,NA,NA,NA,NA,"21048","auto",NA,NA,NA,NA,NA
"26","2020-01-20 14:40:13-03","UPM","MACK","2801","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","sphenophylla","Baccharis sphenophylla","Dusén ex Malme","R. C. S. Piemonte; F. F. Gargiulo","A. B. D. Nogueira; et al","16","2013","03",NA,"Brasil","SP",NA,"Campo de altitude",NA,NA,"21","Campos do Jordão","Bairro Umuarama, U.P.M.","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,NA,NA,NA,NA,"21048","auto",NA,NA,NA,NA,NA
"27","2020-01-20 14:40:13-03","UPM","MACK","2014","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","sphenophylla","Baccharis sphenophylla","Dusén ex Malme","G. Heiden","O. A. Fávero","CJ074","2009","04",NA,"Brasil","SP",NA,NA,NA,NA,"25","Campos do Jordão","Colônia Umuarama, alto da trilha Sete Quedas em trecho campestre.","-45.5900001525879","-22.7299995422363",NA,NA,NA,"2012","06","15","S","W","21048","auto",NA,NA,NA,NA,NA
"28","2020-01-20 14:40:13-03","UPM","MACK","1660","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","sphenophylla","Baccharis sphenophylla","Dusén ex Malme","D. Sampaio","O. Ambrosino; et al.","21","2012","09",NA,"Brasil","SP",NA,NA,NA,NA,"20","Campos do Jordão","Colônia Umuarama, Trilha das sete quedas","-45.5900001525879","-22.7299995422363",NA,NA,NA,"2012",NA,NA,NA,NA,"21048","auto",NA,NA,NA,NA,NA
"29","2020-01-20 14:40:13-03","UPM","MACK","1893","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","sphenophylla","Baccharis sphenophylla","Dusén ex Malme","G. Heiden","O. A. Fávero","CJ074","2009","04",NA,"Brasil","SP",NA,NA,NA,NA,"25","Campos do Jordão","Colônia Umuarama, Trilha das sete quedas,em trecho campestre no alto da trilha.","-45.5900001525879","-22.7299995422363",NA,NA,NA,"2012","06","15","S","W","21048","auto",NA,NA,NA,NA,NA
"30","2020-01-20 14:40:13-03","UPM","MACK","2013","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","sphenophylla","Baccharis sphenophylla","Dusén ex Malme","G. Heiden","E. S. Souza","E15","2012","04",NA,"Brasil","SP",NA,NA,NA,NA,"11","Campos do Jordão","Colônia Umuarama, trilha do Cajará.","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,NA,NA,NA,NA,"21048","auto",NA,NA,NA,NA,NA
"31","2020-01-20 14:40:13-03","UPM","MACK","2012","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","sphenophylla","Baccharis sphenophylla","Dusén ex Malme","G. Heiden","E. S. Souza","E8","2012","04",NA,"Brasil","SP",NA,NA,NA,NA,"11","Campos do Jordão","Colônia Umuarama, trilha do Cajará.","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,NA,NA,NA,NA,"21048","auto",NA,NA,NA,NA,NA
"32","2020-01-20 14:40:13-03","UPM","MACK","1914","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","sphenophylla","Baccharis sphenophylla","Dusén ex Malme","G. Heiden","E. S. Souza","9","2012","04",NA,"Brasil","SP",NA,NA,NA,NA,"10","Campos do Jordão","Colônia Umuarama, trilha do carajá.","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,NA,NA,"S","W","21048","auto",NA,NA,NA,NA,NA
"33","2020-01-20 14:40:13-03","UPM","MACK","1989","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","sphenophylla","Baccharis sphenophylla","Dusén ex Malme","G. Heiden","E. S. Souza","E10","2012","04",NA,"Brasil","SP",NA,NA,NA,NA,"11","Campos do Jordão","Colônia Umuarama, trilha do carajá.","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,NA,NA,"S","W","21048","auto",NA,NA,NA,NA,NA
"34","2020-01-20 14:40:13-03","UPM","MACK","2000","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","sphenophylla","Baccharis sphenophylla","Dusén ex Malme","F. O. Souza","O. A. Fávero","CJ069","2009","02",NA,"Brasil","SP",NA,NA,NA,NA,"24","Campos do Jordão","Colônia Umuarama, Vertente próxima a entrada ou portaria do condomínio.","-45.5900001525879","-22.7299995422363",NA,NA,NA,"2009","06","27","S","W","21048","auto",NA,NA,NA,NA,NA
"35","2020-01-20 14:40:13-03","UPM","MACK","1999","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","sphenophylla","Baccharis sphenophylla","Dusén ex Malme","F. O. Souza","O. A. Fávero","CJ091","2009","04",NA,"Brasil","SP",NA,NA,NA,NA,"26","Campos do Jordão","Colônia Umuarama, Vertente próxima a entrada ou portaria do condomínio.","-45.5900001525879","-22.7299995422363",NA,NA,NA,"2009","06","27","S","W","21048","auto",NA,NA,NA,NA,NA
