"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","776855","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","edwallii","Inga edwallii","(Harms) T.D.Penn.","A. M. Canha","s.n.","1999","11","16","South America","Brazil","Santa Catarina","Itapoá","Reserva Volta Velha","-48.65","-26.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258425' target='other'> <mi>dwc_moreinfo</mi></a>","NY00776855","NY00776855_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","442492","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","edwallii","Inga edwallii","(Harms) T.D.Penn.","F. R. Fosberg","43366","1962","10","28","South America","Brazil","São Paulo","Ribeirao Pires","Serra do Moji, 1/2 to 1km west of Paranapiacaba above Santos, Alto de Serra","-46.4097","-23.71","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258424' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442492","NY00442492_01","N. A. Harriman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02474110","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","edwallii","Inga edwallii","(Harms) T.D.Penn.","V. de F. Mansano","07-554","2008","01","19","South America","Brazil","Espírito Santo","Pinheiros","Fazenda de mamão próximo a Reserva Natural Victório Orletti.","-40.2203","-18.4456","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685439' target='other'> <mi>dwc_moreinfo</mi></a>","NY02474110","NY02474110_01",NA,"126","126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","442490","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","edwallii","Inga edwallii","(Harms) T.D.Penn.","P. K. H. Dusén","17233","1915","10","05","South America","Brazil","Paraná","Jaguariaíva","Jacarehý","-49.7056","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258422' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442490","NY00442490_01","T. D. Pennington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","419485","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","edwallii","Inga edwallii","(Harms) T.D.Penn.","F. C. Hoehne","863","1918","10","19","South America","Brazil","São Paulo","Ribeirao Pires","Alto da Serra, Estaçao Biologica","-46.4097","-23.71","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258427' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419485","NY00419485_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","419487","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","edwallii","Inga edwallii","(Harms) T.D.Penn.","F. C. Hoehne","738","1936","10","06","South America","Brazil","São Paulo","Ribeirao Pires","Est. Biol., A. Serra","-46.4097","-23.71","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258426' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419487","NY00419487_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","419486","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","edwallii","Inga edwallii","(Harms) T.D.Penn.","F. C. Hoehne","863","1918","10","19","South America","Brazil","São Paulo","Ribeirao Pires","Alto da Serra, Estaçao Biologica","-46.4097","-23.71","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258428' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419486","NY00419486_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","419482","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","edwallii","Inga edwallii","(Harms) T.D.Penn.","G. G. Hatschbach","40205","1977","09","30","South America","Brazil","Paraná","Antonina","Furna","-49.033888","-24.783051","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258429' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419482","NY00419482_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","442491","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","edwallii","Inga edwallii","(Harms) T.D.Penn.","G. G. Hatschbach","43259","1980","10","29","South America","Brazil","Paraná","Guaratuba","Rio Boguaçu","-48.5744","-25.8831","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258423' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442491","NY00442491_01","T. D. Pennington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","419483","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","edwallii","Inga edwallii","(Harms) T.D.Penn.","R. Reitz","2221","1954","10","28","South America","Brazil","Santa Catarina","Itajaí","Morro da Fazenda","-48.6617","-26.9081","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258432' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419483","NY00419483_01",NA,"300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","419481","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","edwallii","Inga edwallii","(Harms) T.D.Penn.","G. G. Hatschbach","20089","1968","07","20","South America","Brazil","Paraná","Paranaguá","Rio Pequeno","-48.5092","-25.5203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258431' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419481","NY00419481_01",NA,"3","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","419484","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","edwallii","Inga edwallii","(Harms) T.D.Penn.","R. M. Klein","681","1953","10","26","South America","Brazil","Santa Catarina","Ibirama",NA,"-49.5178","-27.0569","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258430' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419484","NY00419484_01",NA,"100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-08 17:39:54-03","EAO","IAN","39653","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Inga","edwallii","Inga edwallii","(Harms) T.D. Penn.","Hoehne, FC","738","1936","10","06","Southern America","Brasil","São Paulo",NA,"Est. Biol., A. Serra.",NA,NA,NA,"Árvore regular da mata, flores alvas.","IAN039653",NA,"Lewis, GP",NA,NA,"1998","08","04",NA,NA,NA,NA,NA,NA,NA
"14","2020-10-27 11:21:59-03","PUCPR","HUCP","25464","S","Plantae","Eudicotiledonea",NA,"Fabaceae","Inga","edwallii","Inga edwallii","(Harms) Penn.","Kersten, RA","1778","2019","04","03",NA,"Brasil","Parana","Paranaguá","Área urbana","-48.5092010498047","-25.5200004577637",NA,"Floresta Ombrófila Densa de terras baixas.","HUCP00025464","HUCP00025464","Kersten, RA",NA,NA,NA,NA,NA,"24916","auto",NA,NA,NA,NA,NA
"15","2020-02-08 09:09:24-03","NBC","NL-BOTANY","U.1306612","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Inga","edwallii","Inga edwallii","(Harms) T.D.Penn.","Kuhlmann JG",NA,"1922","10","02","Southern America","Brazil",NA,NA,"Jardim Botanico Do Rio De Janeiro.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1306612 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1306612","NL-U1306612",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"16","2020-02-08 09:09:24-03","NBC","NL-BOTANY","WAG.1706160","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Inga","edwallii","Inga edwallii","(Harms) T.D.Penn.","Hatschbach GG; Kummrow R",NA,"1974","10","18","Southern America","Brazil",NA,NA,"Ipanema (mun. Paranagua) Parana.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1706160 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1706160","NL-WAG1706160",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"17","2020-11-04 11:09:34-03","ESALQ","ESA","123699","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Inga","edwallii","Inga edwallii",NA,"Colletta, G.D. ; Ferreira, M.A.P.","1087.0","2013","05","01",NA,"Brasil","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA), UHE Fumaça, trilha do Chagas.","-47.5","-23.9599990844727",NA,"Árvore, 3m","ESA123699",NA,"Ivanauskas, N.M.",NA,NA,"2013","05","01","41034","auto",NA,NA,NA,NA,NA
"18","2020-11-04 11:09:34-03","ESALQ","ESA","128359","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Inga","edwallii","Inga edwallii",NA,"Delfini, C.","895.0","2013","03","30",NA,"Brasil","São Paulo","Tapiraí","Região da UHE Fumaça, trilha do Chagas. Floresta Ombrófila Densa, à margem esquerda do rio Juquiá.","-47.29368","-24.01288",NA,"Indivíduo jovem, ca. 5m alt.","ESA128359",NA,"Tamashiro, J.Y.","410","410","2013",NA,NA,NA,NA,NA,"-47.29368","-24.01288",NA,NA
"19","2021-01-14 15:29:34-03","MN","R","65453","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","edwallii","Inga edwallii","(Harms) T.D.Penn.","Andrade, N.",NA,NA,NA,NA,NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,"Garcia, F.C.P.",NA,NA,"1999","02",NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-08-27 13:29:46-03","IAP","PACA-AGP","55193","PreservedSpecimen","Plantae","Magnoliophyta","Fagales","Mimosaceae","Inga","edwallii","Inga edwallii","(Harms) T. D. Penn.","Reitz, R.","5134","1953","01","08",NA,"Brasil","SC","Itajaí","Praia Braba","-48.6618995666504","-26.9078006744385",NA,"HBR 6411. 3m de altura e frutos amarelos. Habitat: in silva litoranea Fenofase: fruto semievoluto Hábito: arbusto","PACA055193",NA,"F. C. P. Garcia",NA,NA,"1999","02",NA,"27253","auto","Magnoliatae",NA,NA,NA,NA
"21","2021-03-01 16:30:41-03","UNICAMP","UEC","159837","S","Plantae","Magnoliopsida",NA,"Fabaceae","Inga","edwallii","Inga edwallii","(Harms) T.D.Penn.","Polisel, RT","382","2006","07","09",NA,"Brazil","São Paulo","Juquitiba","Recanto da Paz, BR-116, Km 330, em sub-bosque.","-47.1","-23.966667",NA,"Árvore 5m, botões florais verdes.","UEC032077","UEC032077","Polisel, RT","700","700","2009","09","25",NA,NA,NA,"-47.1","-23.966667",NA,NA
"22","2019-08-20 10:13:45-03","UNICAMP","UEC","8803","S","Plantae","Magnoliopsida",NA,"Fabaceae","Inga","edwallii","Inga edwallii","(Harms) T.D.Penn.","Hatschbach, G","40205","1977","09","30",NA,"Brazil","Paraná","Antonina","Furna","-48.7118988037109","-25.4286003112793",NA,"flor, Arbusto 1,8m, flores alvas. Capoeira.",NA,NA,"Garcia, FCP",NA,NA,"1999","02",NA,"38300","auto",NA,NA,NA,NA,NA
"23","2020-05-29 15:48:18-03","UNICAMP","UEC","46626","S","Plantae","Magnoliopsida",NA,"Fabaceae","Inga","edwallii","Inga edwallii","(Harms) T.D.Penn.","Cruz, J","s.n.","1986","11","01",NA,"Brazil","Paraná","Matinhos","Praia das Gaivotas, Restinga em frente à Praia.","-48.5428009033203","-25.8174991607666",NA,"Arbórea, 3-4 m., cálice e corola creme-esverdeado e estame creme esbranquiçado.",NA,NA,"Garcia, FCP",NA,NA,"1999","02",NA,"15275","auto",NA,NA,NA,NA,NA
"24","2020-05-29 15:48:18-03","UNICAMP","UEC","46626","S","Plantae","Magnoliopsida",NA,"Fabaceae","Inga","edwallii","Inga edwallii","(Harms) T.D.Penn.","Cruz, J","s.n.","1986","11","01",NA,"Brazil","Paraná","Matinhos","Praia das Gaivotas, Restinga em frente à Praia.","-48.5428009033203","-25.8174991607666",NA,"Arbórea, 3-4 m., cálice e corola creme-esverdeado e estame creme esbranquiçado.",NA,NA,"Garcia, FCP",NA,NA,"1999","02",NA,"15275","auto",NA,NA,NA,NA,NA
"25","2021-02-12 10:03:50-03","UNICAMP","UEC","31533","S","Plantae","Magnoliopsida",NA,"Fabaceae","Inga","edwallii","Inga edwallii","(Harms) T.D.Penn.","Figueiredo, N; Rodrigues, R","14709","1982","11","17",NA,"Brazil","São Paulo","Iguape","Est. Ecológica de Juréia","-47.5499992370605","-24.7000007629395",NA,"fruto, Arvoreto 5m, beira do rio, frutos escuros e peludos.",NA,NA,"Garcia, FCP","280","280","1999","02",NA,"55628","auto",NA,NA,NA,NA,NA
"26","2019-08-20 10:13:45-03","UNICAMP","UEC","6930","S","Plantae","Magnoliopsida",NA,"Fabaceae","Inga","edwallii","Inga edwallii","(Harms) T.D.Penn.","Assumpção, CT; Carreia, A","s.n.","1978","10","14",NA,"Brazil","São Paulo","Santo André","Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,"Treelet, ca. 4 m.; flowers collectec from the ground. Alt. approx. 800 m.",NA,NA,"Garcia, FCP","800","800","1999","02",NA,"27258","auto",NA,NA,NA,NA,NA
"27","2019-08-20 10:13:45-03","UNICAMP","UEC","6930","S","Plantae","Magnoliopsida",NA,"Fabaceae","Inga","edwallii","Inga edwallii","(Harms) T.D.Penn.","Assumpção, CT; Carreia, A","s.n.","1978","10","14",NA,"Brazil","São Paulo","Santo André","Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,"Treelet, ca. 4 m.; flowers collectec from the ground. Alt. approx. 800 m.",NA,NA,"Garcia, FCP","800","800","1999","02",NA,"27258","auto",NA,NA,NA,NA,NA
"28","2019-12-19 12:41:04-03","UFOP","OUPR","33859","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","edwallii","Inga edwallii","(Harms) T.D.Penn.","Ivanauskas, N.M.; Assis, M.C. & Fletcher, R.","6617","2014","03","20",NA,"Brasil","Minas Gerais","Delfim Moreira","Fazendas Bartira (Unidade Alegria), (WGS84, Zona 23K).","-45.2799987792969","-22.5091991424561",NA,"Árvore de 5,5m. Frutos amarelas. Floresta Ombrófila Mista. Indivíduo 8889 da fitossociologia.",NA,NA,"Ivanauskas, N.M.","1307","1307","2014","03","20","20219","auto",NA,NA,NA,NA,NA
"29","2020-10-14 10:01:36-03","FURB","FURB","34925","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","edwallii","Inga edwallii","(Harms) T.D.Penn.","Korte, A.","6985","2010","11","18",NA,"Brasil","Santa Catarina","Itapoá","Saí Mirim.","-48.69","-26.1",NA,"Voucher estéril IFFSC 1069 (Fitossociologia) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: arbórea;","FURB24967","FURB24967","Oliveira, AA de","18","18","2010",NA,NA,NA,NA,NA,"-48.6900000","-26.1000000",NA,NA
"30","2020-10-14 10:01:36-03","FURB","FURB","45821","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","edwallii","Inga edwallii","(Harms) T.D.Penn.","Oliveira, A.A. de","1175","2015","02","10",NA,"Brasil","Santa Catarina","Navegantes","Leiteiro.","-48.7786111","-26.8225",NA,"Regeneração IFFSC 753 /L/51","FURB24966","FURB24966","Oliveira, AA de","178","178","2015","02","10",NA,NA,NA,"-48.7786111","-26.8225000",NA,NA
"31","2020-10-14 10:01:36-03","FURB","FURB","66339","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","edwallii","Inga edwallii","(Harms) T.D.Penn.","Kassner-Filho, A.","5545","2019","10","12",NA,"Brasil","Santa Catarina","Indaial","Encano do Norte, beira do Rio Itajaí-açu.","-49.1955555","-26.8863889",NA,"flor branca Habitat: beira de rio Habito: arbórea","FURB66339","FURB66339","Kassner-Filho, A.","46","46","2019","10","12",NA,NA,NA,"-49.1955555","-26.8863889",NA,NA
"32","2020-12-09 14:46:35-03","FURB","FURB","66480","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","edwallii","Inga edwallii","(Harms) T.D.Penn.","Kassner-Filho, A.","5627","2020","03","03",NA,"Brasil","Santa Catarina","Balneário Camboriú","Santur - Zoo de Balneário Camboriú.","-48.615","-27.0138889",NA,"fruto amarelado Habitat: interior do fragmento Habito: arbórea","FURB66480","FURB66480","Kassner-Filho, A.","7","7","2020","03","03",NA,NA,NA,"-48.6150000","-27.0138889",NA,NA
"33","2020-10-14 10:01:36-03","FURB","FURB","4236","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","edwallii","Inga edwallii","(Harms) T.D.Penn.","Moser, D.M.",NA,"2002","02","17",NA,"Brasil","Santa Catarina","Gaspar","Gaspar Alto.","-48.9589004516602","-26.9314002990723",NA,"FNMA, Florística. Nº antigo 59. Habitat: Floresta Ombrófila Densa; Habito: arbórea;","FURB01712","FURB01712","Oliveira, AA de",NA,NA,"2010","04","12","19036","auto",NA,NA,NA,NA,NA
"34","2020-12-21 16:26:41-03","MBM","MBM","54236","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","edwallii","Inga edwallii","(Harms) Penn.","Hatschbach, G.","37330",NA,NA,NA,"Southern America","Brazil","Paraná","Paranaguá","Balneário Grajaú","-48.5092010498047","-25.5200004577637",NA,NA,"MBM054236","MBM054236","Pennington, T.D.",NA,NA,NA,NA,NA,"24916","auto",NA,NA,NA,NA,NA
"35","2020-12-21 16:26:41-03","MBM","MBM","40748","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","edwallii","Inga edwallii","(Harms) Penn.","Hatschbach, G.; Kummrow, R.; Kummrow, R.","35241",NA,NA,NA,"Southern America","Brazil","Paraná","Paranaguá","Ipanema","-48.5092010498047","-25.5200004577637",NA,NA,"MBM040748","MBM040748","Pennington, T.D.",NA,NA,NA,NA,NA,"24916","auto",NA,NA,NA,NA,NA
"36","2020-12-21 16:26:41-03","MBM","MBM","303522","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","edwallii","Inga edwallii","(Harms) Penn.","Cervi, A.C.; Silva, J.M.; Silva, J.M.","8727","2004","11","04","Southern America","Brazil","Santa Catarina","Garuva","Rodovia Garuva - Guaratuba, Ponte do XV","-48.8549995422363","-26.0266990661621",NA,NA,"MBM303522","MBM303522","Possette, R.F.S.",NA,NA,NA,NA,NA,"22441","auto",NA,NA,NA,NA,NA
"37","2020-12-21 16:26:41-03","MBM","MBM","155460","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","edwallii","Inga edwallii","(Harms) Penn.","Falkenberg, D.B.; et al.; et al.","5405",NA,NA,NA,"Southern America","Brazil","Santa Catarina","Itapoá","Fazenda Palamital. propriedade de Lúcio Machado. Póx. de Volta Grande","-48.6161003112793","-26.1168994903564",NA,"Em mata de restinga paludosa, na beira de córrego. Árvore 6m de altura. Cálice bem desenvolvido. Corola gamopétala, 5-6 m. Estames brancos. 4-5 pistilosa/flor","MBM155460","MBM155460","Possette, R.F.S.","5","8","2009","02","10","18121","auto",NA,NA,NA,NA,NA
"38","2020-12-21 16:26:41-03","MBM","MBM","59633","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","edwallii","Inga edwallii","(Harms) Penn.","Hatschbach, G.","40205",NA,NA,NA,"Southern America","Brazil","Paraná","Antonina","Furna","-48.7118988037109","-25.4286003112793",NA,NA,"MBM059633","MBM059633","Pennington, T.D.",NA,NA,NA,NA,NA,"38300","auto",NA,NA,NA,NA,NA
"39","2020-12-21 16:26:41-03","MBM","MBM","8224","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","edwallii","Inga edwallii","(Harms) Penn.","Hatschbach, G.","20089",NA,NA,NA,"Southern America","Brazil","Paraná","Paranaguá","Rio Perequê","-48.5092010498047","-25.5200004577637",NA,NA,"MBM008224","MBM008224","Pennington, T.D.",NA,NA,NA,NA,NA,"24916","auto",NA,NA,NA,NA,NA
"40","2020-12-21 16:26:41-03","MBM","MBM","19991","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","edwallii","Inga edwallii","(Harms) Penn.","Hatschbach, G.","27598",NA,NA,NA,"Southern America","Brazil","Paraná","Guaraqueçaba","Rio Martins","-48.3288993835449","-25.3066997528076",NA,NA,"MBM019991","MBM019991","Pennington, T.D.",NA,NA,NA,NA,NA,"37295","auto",NA,NA,NA,NA,NA
"41","2020-12-21 16:26:41-03","MBM","MBM","68604","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","edwallii","Inga edwallii","(Harms) Penn.","Hatschbach, G.","43259",NA,NA,NA,"Southern America","Brazil","Paraná","Guaratuba","Rio Boguaçu","-48.5746994018555","-25.8827991485596",NA,NA,"MBM068604","MBM068604","Pennington, T.D.",NA,NA,NA,NA,NA,"41937","auto",NA,NA,NA,NA,NA
"42","2020-12-21 16:26:41-03","MBM","MBM","42245","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","edwallii","Inga edwallii","(Harms) Penn.","Hatschbach, G.","5170",NA,NA,NA,"Southern America","Brazil","Paraná","Guaratuba","Rio Boguaçu, cabeceiras","-48.5746994018555","-25.8827991485596",NA,"Árvore 6m, flores alvas. Da mata sub-tropical litoranea","MBM042245","MBM042245","Possette, R.F.S.",NA,NA,"2009","02","10","41937","auto",NA,NA,NA,NA,NA
"43","2020-12-21 16:26:41-03","MBM","MBM","23093","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","edwallii","Inga edwallii","(Harms) Penn.","Hatschbach, G.","29789",NA,NA,NA,"Southern America","Brazil","Paraná","Guaratuba","Rio Pirizal","-48.5746994018555","-25.8827991485596",NA,"Arbusto 3m, capoeira","MBM023093","MBM023093","Possette, R.F.S.",NA,NA,"2009","02","10","41937","auto",NA,NA,NA,NA,NA
"44","2020-12-21 16:26:41-03","MBM","MBM","58122","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","edwallii","Inga edwallii","(Harms) Penn.","Hatschbach, G.; Kummrow, R.; Kummrow, R.","35746","1975","01","17","Southern America","Brazil","Paraná","Morretes","Ilha do Malha","-48.834400177002","-25.476900100708",NA,"Arbusto 3m, mata, solo arenoso","MBM058122","MBM058122","Possete, R.F.S.; Possete, R.F.S.",NA,NA,"2009","02","10","30514","auto",NA,NA,NA,NA,NA
"45","2020-12-21 16:26:41-03","MBM","MBM","54237","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","edwallii","Inga edwallii","(Harms) Penn.","Hatschbach, G.","37958",NA,NA,NA,"Southern America","Brazil","Paraná","Morretes","Rio Pequeno, próximo a barra","-48.834400177002","-25.476900100708",NA,"Arbusto, 2m, fruto amarelo comestível. orla mangue. Carpoteca","MBM054237","MBM054237","Possette, R.F.S.",NA,NA,"2009","02","10","30514","auto",NA,NA,NA,NA,NA
"46","2020-12-21 16:26:41-03","MBM","MBM","44151","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","edwallii","Inga edwallii","(Harms) Penn.","Hatschbach, G.; Kummrow, R.; Kummrow, R.","35243",NA,NA,NA,"Southern America","Brazil","Paraná","Paranaguá","Ipanema","-48.5092010498047","-25.5200004577637",NA,NA,"MBM044151","MBM044151","Pennington, T.D.",NA,NA,NA,NA,NA,"24916","auto",NA,NA,NA,NA,NA
"47","2020-12-21 16:26:41-03","MBM","MBM","188161","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","edwallii","Inga edwallii","(Harms) Penn.","Ziller, S.R.; et al.; et al.","602","1994","11","04","Southern America","Brazil","Paraná","Paranaguá","Próximo a Praia de Leste","-48.5092010498047","-25.5200004577637",NA,NA,"MBM188161","MBM188161","Ribas, O.S.",NA,NA,NA,NA,NA,"24916","auto",NA,NA,NA,NA,NA
