"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLatitude","verbatimLongitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","minimumElevationInMeters","maximumElevationInMeters","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","01141714","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber","R. S. Cowan","G. T. Prance","58970","1964","08","30","South America","Brazil","Pará","Belém","30 km south of Gurupi, Belém-Brasília.","-48.5044","-1.45583","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1504290' target='other'> <mi>dwc_moreinfo</mi></a>","NY01141714","NY01141714_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01141716","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"W. A. Ducke","833","1941","11","11","South America","Brazil","Pará",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1504292' target='other'> <mi>dwc_moreinfo</mi></a>","NY01141716","NY01141716_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01141713","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"W. A. Ducke",NA,"1937","09","15","South America","Brazil","Amazonas",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1504289' target='other'> <mi>dwc_moreinfo</mi></a>","NY01141713","NY01141713_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01141710","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber","N. A. Rosa","N. A. Rosa","2227","1977","09","14","South America","Brazil","Pará","Benevides","Benfica, sítio do Dr. Muça Pires.","-48.3185577","-1.292522","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1504286' target='other'> <mi>dwc_moreinfo</mi></a>","NY01141710","NY01141710_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01141708","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"M. Kuhlmann","205","1959","09","07","South America","Brazil","Pará",NA,"Rodovia Belém-Brasília, km 95.","-47.6487887","-1.3271456","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1504283' target='other'> <mi>dwc_moreinfo</mi></a>","NY01141708","NY01141708_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01141717","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber","Standley","Y. E. J. Mexia","6033","1931","08","02","South America","Brazil","Pará",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1504293' target='other'> <mi>dwc_moreinfo</mi></a>","NY01141717","NY01141717_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01141718","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"J. M. Pires","3100","1951","02","23","South America","Brazil","Pará",NA,"Estrada de Ferro Belém-Bragança, km 25.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1504294' target='other'> <mi>dwc_moreinfo</mi></a>","NY01141718","NY01141718_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01141709","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"W. A. Ducke","17733","1923","09","27","South America","Brazil","Pará",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1504285' target='other'> <mi>dwc_moreinfo</mi></a>","NY01141709","NY01141709_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01141711","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"M. Kuhlmann","33","1959","08","17","South America","Brazil",NA,NA,"Rodovia Belém-Brasília, Km 93.","-47.6664913","-1.3240458","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1504287' target='other'> <mi>dwc_moreinfo</mi></a>","NY01141711","NY01141711_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01141712","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"A. P. Duarte","9805","1966","07","07","South America","Brazil","Pará",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1504288' target='other'> <mi>dwc_moreinfo</mi></a>","NY01141712","NY01141712_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01141719","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"B. Maguire","56041","1963","08","06","South America","Brazil",NA,NA,"Km 98, Belem-Brasilia Highway.","-47.6222456","-1.3318624","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1504296' target='other'> <mi>dwc_moreinfo</mi></a>","NY01141719","NY01141719_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01141715","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"M. Barbosa da Silva","144","1942","10","08","South America","Brazil","Pará",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1504291' target='other'> <mi>dwc_moreinfo</mi></a>","NY01141715","NY01141715_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-30 12:48:26-03","EAO","IAN","106869","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"Oliveira, E","921",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN106869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-30 12:48:26-03","EAO","IAN","105175","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"Oliveira, E","435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN105175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-30 12:48:26-03","EAO","IAN",NA,"PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"sc","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-30 12:48:26-03","EAO","IAN","98328","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"sc","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN098328",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-04-08 17:43:40-03","EAO","IAN","XILO4040","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"sc","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IANXILO4040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-30 12:48:26-03","EAO","IAN","106439","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"Oliveira, E","852",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN106439",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-30 12:48:26-03","EAO","IAN","102638","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"Kuhlmann, M","33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN102638",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-30 12:48:26-03","EAO","IAN","102744","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"Kuhlmann, M","205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN102744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-30 12:48:26-03","EAO","IAN","105099","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"Oliveira, E","351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN105099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-30 12:48:26-03","EAO","IAN","133572","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber","Maciel, UN","Oliveira, E","5505","1971","03","11","Southern America","Brasil","Pará",NA,"L. 1- Q. 2- Levantamento de Mosqueiro.",NA,NA,NA,"Árvore de 16m e 33cm circ.","IAN133572",NA,"1977","09","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-30 12:48:26-03","EAO","IAN","175800","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber","Cordeiro, MR","Carvalho, ACM; Ferreira, GC","24","2002","05","29","Southern America","Brasil","Pará","Paragominas","Estrada de acesso ao alojamento da FFT; terra firme; solo argiloso.",NA,"-3.749917",NA,"Árvore de 15m alt. x 25cm DAP; base circular; tronco reto, circular; ritidoma rugoso, marrom-amarelado-acinzentado, com desprendimento em placas cartáceas que ficam presas ao tronco apenas por um lado dando aspecto de folhas de papel,","IAN175800",NA,"2002","06",NA,"-3.749917",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-30 12:48:26-03","EAO","IAN","140534","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"sc","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN140534",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-30 12:48:26-03","EAO","IAN","153684","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"sc","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN153684",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-30 12:48:26-03","EAO","IAN","174918","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"Procópio, LC; Soler, JG","403","2001","06","15","Southern America","Brasil","Pará","Paragominas","Madeireira Grupo CIKEL Verde S.A. µrvore Ju/C-10. S 03 27'26.0 e W 048 38'46.0.","-48.633333","-3.45",NA,"µrvore derrubada de 28m x 90cm DAP. Base digitada (sapopemas de 50cm). Ritidoma marrom claro, com depressäes escamosas, casca morta marrom avermelhado (fina), casca viva amarelha (grossa), alburno amarelo claro. &nf;Botäes: c lice verde","IAN174918",NA,NA,NA,NA,"-3.45","-48.633333",NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-30 12:48:26-03","EAO","IAN","175810","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber","Cordeiro, MR","Ferreira, AM; Soler, JG","188","2002","08","10","Southern America","Brasil","Pará","Moju","Vicinal da 12, fazenda Santa Marta na margem esquerda do rio Moju.","-49.2065","-3.022222",NA,"Árvore de 28m alt. x 44,3cm DAP; base digitada; fuste reto com 6m alt.; ritidoma marrom-claro sujo escamoso e rugoso com leves estrias verticais; casca morta marrom-clara com 2mm espess.; casca viva castanho-avermelhada com de 1cm espe","IAN175810",NA,"2002","08",NA,"-3.022222","-49.2065",NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-30 12:48:26-03","EAO","IAN","175832","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber","Cordeiro, MR","Nascimento, MP do; Ferreira, GC","125","2002","08","21","Southern America","Brasil","Pará","Paragominas","Área experimental 2002.","-48.780361","-3.52375",NA,"Árvore 28m alt. x 55,1cm DAP; base reta; fuste tortuoso com 23m alt.; ritidoma marrom-alaranjado rogoso e escamoso; lenticelas não evidentes; casca morta marrom-amarelada com 1mm de espess.; casca viva amarela com 2mm espess.; alburno","IAN175832",NA,"2002","09",NA,"-3.52375","-48.780361",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-30 12:48:26-03","EAO","IAN","63651","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"Pires, JM","3100","1951","02","23","Southern America","Brasil","Pará",NA,"Estrada de Ferro Belém-Brgança, km 25.",NA,NA,NA,NA,"IAN063651","IAN063651 IAN063651_e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-30 12:48:26-03","EAO","IAN","197239","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber","Gomes, AO","Freitas, MA de; Gomes, AO","1130","2004","05","13","Southern America","Brasil","Pará","Melgaço","Caxiuanã. Platô.","-1.753611","-1.753611",NA,"Árvore, 49,6X27X15m de copa, tronco cilíndrico, casca soltando em placas grandes, cumpridas, casca externa dura, 5 mm, migalhosa. Interna amarela, dura, fibrosa,. Cerne cor de creme, cheiroso. Folhas abaxialmente amarelas, adaxial verd","IAN197239",NA,"2004","05",NA,"-1.753611","-1.753611",NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-30 12:48:26-03","EAO","IAN","176243","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"Ferreira, AM; Oliveira, JCL de","216","2002","09","23","Southern America","Brasil","Pará","Paragominas","Área de exploração 2002.","-48.782306","-3.4725",NA,"Árvore 28m alt. x 62cm DAP; base digitada; fuste tortuoso com 21m alt.; ritidoma marrom-amarelado, rugoso, escamoso, com presença de líquens verde-claro e de briófitas próximo à base, desprendimento em placas; casca morta marrom-claro","IAN176243",NA,NA,NA,NA,"-3.4725","-48.782306",NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-30 12:48:26-03","EAO","IAN","176248","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"Oliveira, JCL de; Ferreira, AM","375","2002","09","23","Southern America","Brasil","Pará","Paragominas","Área de exploração 2002.","-48.783083","-3.473111",NA,"Árvore 28m alt. x 68cm DAP; base um pouco digitada; fuste tortuoso com 20m alt.; ritidoma marrom-amarelado, escamoso, rugoso presença de líquens verde-claro de briófitas próximo à base, desprendimento de placas; casca morta marrom-clar","IAN176248",NA,NA,NA,NA,"-3.473111","-48.783083",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-30 12:48:26-03","EAO","IAN","176489","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber","Cordeiro, MR","Cordeiro, MR","MC-21-04100489","2002","01","29","Southern America","Brasil","Pará","Marituba","Fazenda Paula Maria, Solo argiloso, mata secundária de terra firme, luminosidade intensa, freqüência rara.","-48.318056","-1.362222",NA,"Árvore aprox. 30 m de altura por 128 cm de CAP. Frutos verdes.","IAN176489",NA,"2002",NA,NA,"-1.362222","-48.318056",NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-30 12:48:26-03","EAO","IAN","199286","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"Cruz, ED","1363","2019","06","26","Southern America","Brasil","Pará","Paragominas","Fazenda Cikel, ramal Paulo Malacá. Floresta de terra firme.","-48.766667","-3.559722",NA,"DAP=79 cm; AC=16 m; AT=30 m.","IAN199286",NA,NA,NA,NA,"-3.559722","-48.766667",NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-04-08 17:43:40-03","EAO","IAN","23001","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"Ducke, A","17733",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN023001","IAN023001_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-04-08 17:43:40-03","EAO","IAN","57731","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"sc","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN057731",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-30 12:48:26-03","EAO","IAN","84866","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"Ledoux, P","180","1952","10","09","Southern America","Brasil","Pará",NA,"Sítio Vivem vai quem quer, E.F.B, km 22.",NA,NA,NA,"Antese abundante, Árvore de maia ou menos 40m.","IAN084866",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-30 12:48:26-03","EAO","IAN","98286","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber","M; Groppo Jr, M","Pires, JM","6898","1958","07",NA,"Southern America","Brasil","Pará",NA,"Mata da Cia. Pirelli. Fazenda Uriboca. Terra firme.",NA,NA,NA,"Árvore de 30 m de altura.","IAN098286",NA,"2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-30 12:48:26-03","EAO","IAN","99833","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber","Oliveira, E","Fróes, RL","33630","1957","10","05","Southern America","Brasil","Pará",NA,"Região do Rio Candiru-Açu; mata virgem de terra firme..",NA,NA,NA,"Árvore, 20 metros","IAN099833",NA,"1976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-04-08 17:43:40-03","EAO","IAN","FLOR153","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"Procópio, LC; Soler, JG","403","2001","06","15","Southern America","Brasil","Pará","Paragominas","Madeireira Grupo CIKEL Verde S.A. µrvore Ju/C-10. S 03 27'26.0 e W 048 38'46.0.","-48.633333","-3.45",NA,"µrvore derrubada de 28m x 90cm DAP. Base digitada (sapopemas de 50cm). Ritidoma marrom claro, com depressäes escamosas, casca morta marrom avermelhado (fina), casca viva amarelha (grossa), alburno amarelo claro. &nf;Botäes: c lice verde","IANFLOR153",NA,NA,NA,NA,"-3.45","-48.633333",NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-04-08 17:43:40-03","EAO","IAN","FLOR201","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber","Cordeiro, MR","Nascimento, MP do; Ferreira, GC","125","2002","08","21","Southern America","Brasil","Pará","Paragominas","Área experimental 2002.","-48.780361","-3.52375",NA,"Árvore 28m alt. x 55,1cm DAP; base reta; fuste tortuoso com 23m alt.; ritidoma marrom-alaranjado rogoso e escamoso; lenticelas não evidentes; casca morta marrom-amarelada com 1mm de espess.; casca viva amarela com 2mm espess.; alburno","IANFLOR201",NA,"2002","09",NA,"-3.52375","-48.780361",NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-04-08 17:43:40-03","EAO","IAN","FLOR180","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber","Cordeiro, MR","Carvalho, ACM; Ferreira, GC","24","2002","05","29","Southern America","Brasil","Pará","Paragominas","Estrada de acesso ao alojamento da FFT; terra firme; solo argiloso.",NA,"-3.749917",NA,"Árvore de 15m alt. x 25cm DAP; base circular; tronco reto, circular; ritidoma rugoso, marrom-amarelado-acinzentado, com desprendimento em placas cartáceas que ficam presas ao tronco apenas por um lado dando aspecto de folhas de papel,","IANFLOR180",NA,"2002","06",NA,"-3.749917",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-04-08 17:43:40-03","EAO","IAN","FRUTO128","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"Oliveira, JCL de; Ferreira, AM","375","2002","09","23","Southern America","Brasil","Pará","Paragominas","Área de exploração 2002.","-48.783083","-3.473111",NA,"Árvore 28m alt. x 68cm DAP; base um pouco digitada; fuste tortuoso com 20m alt.; ritidoma marrom-amarelado, escamoso, rugoso presença de líquens verde-claro de briófitas próximo à base, desprendimento de placas; casca morta marrom-cl","IANFRUTO128",NA,NA,NA,NA,"-3.473111","-48.783083",NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-04-08 17:43:40-03","EAO","IAN","FRUTO130","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"Ferreira, AM; Oliveira, JCL de","216","2002","09","23","Southern America","Brasil","Pará","Paragominas","Área de exploração 2002.","-48.782306","-3.4725",NA,"Árvore 28m alt. x 62cm DAP; base digitada; fuste tortuoso com 21m alt.; ritidoma marrom-amarelado, rugoso, escamoso, com presença de líquens verde-claro e de briófitas próximo à base, desprendimento em placas; casca morta marrom-clar","IANFRUTO130",NA,NA,NA,NA,"-3.4725","-48.782306",NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-04-08 17:43:40-03","EAO","IAN","XILO4038","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber","M; Groppo Jr, M","Pires, JM","6898","1958","07",NA,"Southern America","Brasil","Pará",NA,"Mata da Cia. Pirelli. Fazenda Uriboca. Terra firme.",NA,NA,NA,"Árvore de 30 m de altura.","IANXILO4038",NA,"2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2021-04-08 17:43:40-03","EAO","IAN","XILO4039","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"sc","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IANXILO4039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2021-04-08 17:43:40-03","EAO","IAN","XILO4041","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"sc","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IANXILO4041",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2021-04-08 17:43:40-03","EAO","IAN","XILO4042","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"sc","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IANXILO4042",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2021-04-08 17:43:40-03","EAO","IAN","XILO5444X","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"sc","s.n.","1990","10","16","Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IANXILO5444X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2021-04-08 17:43:40-03","EAO","IAN","XILO5444X","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"sc","s.n.","1990","10","16","Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IANXILO5444X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2021-04-08 17:43:40-03","EAO","IAN","XILO5585X","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"sc","s.n.","1991","06","27","Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IANXILO5585X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2021-04-08 17:43:40-03","EAO","IAN","XILO5585X","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"sc","s.n.","1991","06","27","Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IANXILO5585X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2021-04-08 17:43:40-03","EAO","IAN","XILO5588X","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Euxylophora","paraensis","Euxylophora paraensis","Huber",NA,"sc","s.n.","1991","06","27","Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IANXILO5588X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
