"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","class","order","scientificNameAuthorship","year","month","day","imagecode","phylum","identifiedBy","yearIdentified","monthIdentified","recordNumber","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","dayIdentified","minimumElevationInMeters","maximumElevationInMeters"
"1","2020-09-23 10:37:17-03","E","E","322483","PreservedSpecimen","Plantae","Compositae","Acmella","pusilla","Acmella pusilla","Tweedie, John","Temperate South America","AR","Damp places of La Plata","herbarium specimen of unspecif","BGBASE:337154","<a href=http://data.rbge.org.uk/herb/E00322483 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00322483",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:47:31-03","NBC","NL-BOTANY","L.3010376","PreservedSpecimen","Plantae","Compositae","Acmella","pusilla","Acmella pusilla","Pedersen TM","Southern America","Argentina","Estancia 'Santa Teresa', Dep. Mourucuyà, Prov. Corrientes.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3010376 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3010376","Magnoliopsidae","Asterales","(Hook. & Arn.) R.K.Jansen","1954","09","25","NL-L3010376",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:47:31-03","NBC","NL-BOTANY","L.3010377","PreservedSpecimen","Plantae","Compositae","Acmella","pusilla","Acmella pusilla","Pedersen TM","Southern America","Argentina","Estancia 'Buena Esperanza', Dep. Federacion, Prov. Entre Rios.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3010377 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3010377","Magnoliopsidae","Asterales","(Hook. & Arn.) R.K.Jansen","1961","10","21","NL-L3010377",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:47:31-03","NBC","NL-BOTANY","L.3010378","PreservedSpecimen","Plantae","Compositae","Acmella","pusilla","Acmella pusilla","Pedersen TM","Southern America","Argentina","Estancia,,Las Tres Marias', Dep. Empedrado, Prov. Corrientes.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3010378 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3010378","Magnoliopsidae","Asterales","(Hook. & Arn.) R.K.Jansen","1961","09","23","NL-L3010378",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:47:31-03","NBC","NL-BOTANY","L.3010379","PreservedSpecimen","Plantae","Compositae","Acmella","pusilla","Acmella pusilla","Pedersen TM","Southern America","Argentina","Tacuaral, Dep. General Paz, Prov. Corrientes.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3010379 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3010379","Magnoliopsidae","Asterales","(Hook. & Arn.) R.K.Jansen","1961","12","22","NL-L3010379",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:47:31-03","NBC","NL-BOTANY","L.3010380","PreservedSpecimen","Plantae","Compositae","Acmella","pusilla","Acmella pusilla","Hassler E","Southern America","Paraguay","Paraguaria centralis: in regione lacus Ypacaray.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3010380 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3010380","Magnoliopsidae","Asterales","(Hook. & Arn.) R.K.Jansen","1913","11","01","NL-L3010380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:47:31-03","NBC","NL-BOTANY","L.3010381","PreservedSpecimen","Plantae","Compositae","Acmella","pusilla","Acmella pusilla","Fiebrig K","Southern America","Paraguay","Cordillera de Altos.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3010381 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3010381","Magnoliopsidae","Asterales","(Hook. & Arn.) R.K.Jansen","1902","10","29","NL-L3010381",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:47:31-03","NBC","NL-BOTANY","U.1105760","PreservedSpecimen","Plantae","Compositae","Acmella","pusilla","Acmella pusilla","Rodrigo AP","Southern America","Argentina","Flora de la Provincia de Corrientes, Esquina: Griltas del rio Corrientes.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1105760 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1105760","Magnoliopsidae","Asterales","(Hook. & Arn.) R.K.Jansen","1943","10","20","NL-U1105760",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-16 17:50:23-03","UCS","HUCS","25573","PreservedSpecimen","Plantae","Asteraceae","Acmella","pusilla","Acmella pusilla","Wasum, R.A.",NA,"Brasil","Margem do Rio Iguaçu.",NA,NA,"Em orla de mata.",NA,NA,"Asterales","(Hook. & Arn.) R.K. Jansen","2005","04","18",NA,"Angiospermae","Robinson, H.","2005","05","2627","Paraná","São Mateus do Sul","-50.3828010559082","-25.8742008209229","31353","auto",NA,NA,NA,NA,NA,NA,NA
"10","2015-09-04 05:35:46-03","MNHN","RECOLNAT_MNHN_P","P02704557","PreservedSpecimen",NA,"Asteraceae","Acmella","pusilla","Acmella pusilla","Balansa|Benjamin",NA,"Paraguay","L'Assomption, sur le bord des chemins.","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02704557' target='other'> <mi>dwc_moreinfo</mi></a>","P02704557",NA,NA,"(Hook. & Arn.) R.K.Jansen","1874","4","1","P02704557_01",NA,NA,NA,NA,NA,"Asunción - Distrito Capital",NA,"-57.6351","-25.2822",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-02-11 17:17:58-03","UFPR","UPCB","96834","PreservedSpecimen","Plantae","Asteraceae","Acmella","cf. pusilla","Acmella cf. pusilla","Graf, L.V.",NA,"Brasil","Parque Tanguá",NA,NA,"Local aberto, ensolarado e com acúmulo de água. Erva 40 cm altura. Capítulos com flores do disco e do raio amarelas.","UPCB0047156",NA,NA,"(Hook. & Arn.) R.K. Jansen","2018","04","13",NA,NA,"Meyer, F.S.","2020","01","215","Paraná","Curitiba","-49.28387","-25.37875",NA,NA,"-49.283870","-25.378750",NA,NA,NA,NA,NA
"12","2008-05-27 22:02:00-03","MO","MOBOT","567388","PreservedSpecimen","Plantae","Asteraceae","Acmella","pusilla","Acmella pusilla","Ramón A. Palacios","South America","Paraguay","Ruta Concepción-Pozo Colorado. A 28 km del puente.",NA,NA,NA,NA,NA,NA,"(Hook. & Arn.) R.K. Jansen","1990","2","18",NA,NA,"H. Robinson (US)",NA,NA,"Palacios 1863","Presidente Hayes",NA,NA,NA,NA,NA,NA,NA,"4","2",NA,NA,NA
"13","2012-02-29 13:41:00-03","MO","MOBOT","2192811","PreservedSpecimen","Plantae","Asteraceae","Acmella","pusilla","Acmella pusilla","C. Salgado","South America","Argentina","Paraje Lomas Norte , 5 km al N de Bella Vista, a unos 200 m al E de ruta 27",NA,NA,NA,NA,NA,NA,"(Hook. & Arn.) R.K. Jansen","1998","11","15",NA,NA,"Salgado, C. R.",NA,NA,"Salgado 120","Corrientes","Bella Vista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2011-03-26 10:53:00-03","MO","MOBOT","2438905","PreservedSpecimen","Plantae","Asteraceae","Acmella","pusilla","Acmella pusilla","Maria M. Arbo|Sara G. Tressens","South America","Argentina","Estancia Caa Guazu. Reserva Natural Provincial del Ibera",NA,NA,NA,NA,NA,NA,"(Hook. & Arn.) R.K. Jansen","1999","9","21",NA,NA,"Cristóbal, C. L., //",NA,NA,"Arbo 8340","Corrientes","San Roque","-58.5","-29.93333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2011-03-01 06:07:00-03","MO","MOBOT","2440733","PreservedSpecimen","Plantae","Asteraceae","Acmella","pusilla","Acmella pusilla","Nélida M. Bacigalupo|Elisa G. Nicora|Rosa Guaglianone","South America","Argentina","Balneario La Tortuga Alegre, al N de Concordia",NA,NA,NA,NA,NA,NA,"(Hook. & Arn.) R.K. Jansen","1988","11","28",NA,NA,"Sáenz, A. A.",NA,NA,"Bacigalupo 993","Entre Ríos","Concordia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2011-03-16 22:50:00-03","MO","MOBOT","3273141","PreservedSpecimen","Plantae","Asteraceae","Acmella","pusilla","Acmella pusilla","Aurelio Schinini|Ricardo O. Vanni|William R. Anderson|David M. Johnson","South America","Paraguay",NA,NA,NA,NA,NA,NA,NA,"(Hook. & Arn.) R.K. Jansen","1982",NA,NA,NA,NA,"R.K. Jansen",NA,NA,"Schinini Cacace 22003","Caaguazú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2010-03-01 18:55:00-03","MO","MOBOT","3273214","PreservedSpecimen","Plantae","Asteraceae","Acmella","pusilla","Acmella pusilla","F. Javier Fernández Casas|J. Molero","South America","Paraguay","Isla del Tebicuary cerca de Villaflorida, en arenas de ribera.",NA,NA,NA,NA,NA,NA,"(Hook. & Arn.) R.K. Jansen","1980","9","16",NA,NA,"H. Robinson",NA,NA,"Fernández Casas 3663","Misiones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2008-05-27 22:02:00-03","MO","MOBOT","3273276","PreservedSpecimen","Plantae","Asteraceae","Acmella","pusilla","Acmella pusilla","Aurelio Schinini","South America","Argentina","Camino a Santa Ana, Laguna Soto.",NA,NA,NA,NA,NA,NA,"(Hook. & Arn.) R.K. Jansen","1975","11","1",NA,NA,NA,NA,NA,"Schinini Cacace 12122","Corrientes","Capital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
